event_id	display_name	kind	format	year	participants	games	source
wch-2010-hou-ruan	WCh Women playoff	wch_match_women	match	2010	hou|ruan	4	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2011-hou-koneru	WCh women	wch_match_women	match	2011	hou|koneru	6	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2012-anand-gelfand	WCh 2012	wch_match	match	2012	anand|gelfand	10	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2014-anand-carlsen	WCh 2014	wch_match	match	2014	anand|carlsen	10	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2016-carlsen-karjakin	WCh 2016	wch_match	match	2016	carlsen|karjakin	12	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2016-hou-muzychuk	WCh Women 2016	wch_match_women	match	2016	hou|muzychuk	9	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2018-carlsen-caruana	WCh 2018	wch_match	match	2018	carlsen|caruana	12	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2020-goryachkina-ju	WCh Women 2020	wch_match_women	match	2020	goryachkina|ju	16	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2021-carlsen-nepomniachtchi	WCh 2021	wch_match	match	2021	carlsen|nepomniachtchi	11	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2023-ding-nepomniachtchi	WCh 2023	wch_match	match	2023	ding|nepomniachtchi	14	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2023-ju-lei	WCh Women 2023	wch_match_women	match	2023	ju|lei	12	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2024-ding-gukesh-d	WCh 2024	wch_match	match	2024	ding|gukesh-d	14	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-2025-ju-tan	WCh Women 2025	wch_match_women	match	2025	ju|tan	9	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
