ocn1	eco	seq
E.Ben.Old	A44	1
E.Ben.Mod.Fch	A61	0
E.Ben.Mod.Fch	A62	1
E.Ben.Mod.Fch	A63	2
E.Ben.Mod.Fch	A64	3
E.Ben.Mod.Fou	A68	0
E.Ben.Mod.Fou	A69	1
E.Ben.Mod.Cls	A70	0
E.Ben.Mod.Cls	A71	1
E.Ben.Mod.Cls	A72	2
E.Ben.Mod.Cls	A73	3
E.Ben.Mod.Cls	A74	4
E.Ben.Mod.Cls	A75	5
E.Ben.Mod.Cls	A76	6
E.Ben.Mod.Cls	A77	7
E.Ben.Mod.Cls	A78	8
E.Ben.Mod.Cls	A79	9
D.Chi	D07	0
D.QGA.Cen	D20	0
D.Sla.Sml	D16	0
D.Sem.AMe.Shr	D45	0
D.Cat.Ope.Qa4.Ale	E03	0
D.Cat.Cls.Bot	E07	0
D.Cat.Cls.Rab	E09	0
D.QGD.Alt	D31	0
E.Bog.Exc	E11	0
E.Bog.Ret	E11	0
E.Bog.Hai	E11	0
E.QID.Kas	E12	0
E.QID.Kas	E13	1
E.QID.Sps	E14	0
E.QID.Mod.Trd	E15	0
E.Nim.Rom	E20	0
E.Nim.Spl	E22	0
E.Nim.Spl	E23	1
E.Nim.Mik	E20	0
E.Nim.Cls.Ker	E32	0
E.Nim.Sml.Bot	E24	0
E.Nim.Sml.Bot	E25	1
E.Gru.Thr	D70	0
E.Gru.Thr	D71	1
E.Gru.Hng	D80	0
E.Gru.Exc.Sps	D87	0
E.KID.Fch.Yug	E64	0
E.KID.Fch.Yug	E65	1
E.KID.Fch.Yug	E66	2
E.KID.Fch.Uhl	E62	0
E.KID.Sml.Byr	E81	0
E.KID.Sml.Ort	E85	0
E.KID.Sml.Ort	E86	1
E.KID.Sml.Ort	E87	2
E.KID.Sml.Ort	E88	3
E.KID.Sml.Ort	E89	4
E.KID.Fou.Dyn	E76	0
E.KID.Avk.Ben	E74	0
E.KID.Avk.Ben	E75	1
A.Ret.Lis	A04	0
A.Hol.Hop	A80	0
E.QID.Mil	E12	0
B.Sic.Acc	B34	0
B.Sic.Acc	B35	1
B.Sic.Acc	B36	2
B.Sic.Acc	B37	3
B.Sic.Acc	B38	4
B.Sic.Acc	B39	5
B.Sic.Acc.Mar	B38	0
B.Sic.Acc.Mar	B39	1
B.Sic.HAc	B27	0
B.Sic.Kal	B32	0
B.Sic.Loe	B32	0
B.Sic.OKe	B28	0
B.Sic.Nim	B29	0
B.Sic.Pin	B40	0
B.Sic.Dra.Cls	B70	0
B.Sic.Dra.Cls	B71	1
B.Sic.Dra.Cls	B72	2
B.Sic.Dra.Cls	B73	3
B.Sic.Dra.Cls	B74	4
B.Sic.Dra.Lev	B71	0
B.Sic.Sch.Eng	B80	0
B.Sic.Sch.Eng	B81	1
B.Sic.Tay.Eng	B48	0
B.Sic.Kan.Mar	B41	0
B.Fre.Adv.Mil	C02	0
B.Fre.Win.Psn	C18	0
B.Fre.Tar.Ope	C07	0
B.Fre.Tar.Ope	C08	1
B.Fre.Tar.Cls	C03	0
B.Fre.Tar.Cls	C04	1
B.Fre.Tar.Cls	C05	2
B.Fre.Tar.Cls	C06	3
B.CaK.Adv.Sht	B12	0
B.CaK.Adv.Tal	B12	0
B.CaK.Tar	B15	0
B.CaK.Gur	B15	0
B.Ale.Mod	B04	0
B.Ale.Chs	B03	0
B.Ale.Bal	B02	0
B.Pir.Cze	B07	0
B.Mod.Tig	B06	0
B.Mod.Pte	B06	0
C.RyL.Ber.Rio	C67	0
C.RyL.Exc.Alk	C68	0
C.RyL.Mor.Opn.Dil	C82	0
C.RyL.Mor.Opn.Hwl	C81	0
C.RyL.Mor.Opn.Rig	C80	0
C.RyL.Mor.StD.Sie	C74	0
C.RyL.Mor.ClD	C70	0
C.RyL.Mor.Fch	C70	0
C.RyL.Mor.Car	C70	0
C.Ita.Giu.Grc	C54	0
C.Ita.Two.Ng5.Frt	C57	0
C.Ita.Two.Ng5.Lol	C57	0
C.KGm.Acc.Kie	C39	0
C.KGm.Acc.Muz	C37	0
C.KGm.Acc.Bsh	C33	0
C.KGm.Acc.All	C39	0
C.KGm.Dec.Fal	C31	0
C.Sco.Pot	C45	0
C.Sco.Gor.Dbl	C44	0
C.Vie.Gbt.Fal	C29	0
C.Vie.Gbt.Hmp	C25	0
C.Vie.Cls	C25	0
C.Vie.Cls	C26	1
C.Fou.Sco.Bel	C47	0
C.Fou.Spa.Dbl	C49	0
C.Fou.Spa.Cls	C48	0
D.QGD.Jan	D31	0
A.Kad	A00	0
A.War	A00	0
A.VtK	A00	0
A.Mie	A00	0
A.And	A00	0
A.Clm	A00	0
A.Ama	A00	0
A.Sod	A00	0
A.Eng.Org	A15	0
A.Owe.Eng	A40	0
A.Mik	A40	0
A.Hor	A40	0
A.Kan	A40	0
A.Egl	A40	0
A.Egl.Dec	A40	0
D.QPG	D00	0
D.QPG.Ama	D00	0
D.QPG.Lev	D00	0
D.Bgm.Acc	D00	0
D.Bgm.Dec	D00	0
D.Rub	D05	0
D.Chi.Jan	D07	0
C.Thr	C46	0
C.Thr.Stn	C46	0
C.Ele	C40	0
C.Dam	C40	0
C.Cen.Dsh.Acc	C21	0
C.LtO.Acc	C40	0
C.KPO	C20	0
C.KPO.Nap	C20	0
C.KPO.Prt	C20	0
C.KPO.Kgt	C40	0
B.Brg	B00	0
B.StG	B00	0
B.Lio	B00	0
B.Rat	B00	0
B.Car	B00	0
B.Gld	B00	0
B.Hip	B00	0
B.War	B00	0
B.OwM.Eng	B00	0
E.Blf	E10	0
E.Blf.Acc	E10	0
E.Gru.Neo	D70	0
E.Gru.Neo	D71	1
E.Gru.Neo	D72	2
E.Gru.Neo	D73	3
E.Gru.Neo	D74	4
E.Gru.Neo	D75	5
E.Gru.Neo	D76	6
E.Gru.Neo	D77	7
E.Gru.Neo	D78	8
E.Gru.Neo	D79	9
E.Ben.Bnk.Acc	A57	0
E.Ben.Bnk.Acc	A58	1
E.Ben.Bnk.Dec	A57	0
E.Gru.Brn.Nad	D80	0
D.QGA.Old	D20	0
D.QGA.Ale	D20	0
D.QGA.Flo	D20	0
D.QGA.Bog	D24	0
D.Sla.Sch	D10	0
D.Sla.Qui	D10	0
D.Sla.Cze	D17	0
D.Sla.Stn	D10	0
D.Sem.Not	D31	0
D.Sem.Mer.Rab	D48	0
D.Sem.Mer.Lun	D48	0
D.Sem.Bg5.Mos.Qxf6	D43	0
D.QGD.Ort.Rub	D60	0
D.QGD.Ort.Cap	D63	0
D.QGD.Exc.Car	D35	0
D.QGD.Exc.Min	D36	0
D.Cat.Ope.Yug	E04	0
D.Cat.Ope.Bb4	E04	0
D.Cat.Cls.Kor	E08	0
D.Tar.HSc	D32	0
D.STa.Kmo	D41	0
E.KID.Cls.Bol	E94	0
E.KID.Cls.Ort	E94	0
E.KID.Cls.Ort	E95	1
E.KID.Cls.Arb	E97	0
E.KID.Sml.Bob	E84	0
E.KID.Sml.Krs	E80	0
E.KID.Fch.Sim	E62	0
E.KID.Fch.Kav	E62	0
E.KID.Avk.Fle	E73	0
E.Nim.Rub.Flo	E40	0
E.Nim.Rub.Res	E46	0
E.Nim.Rub.Kmo	E40	0
E.Nim.Cls.Noa	E34	0
E.Nim.Cls.Bot	E32	0
E.Nim.Cls.Mil	E33	0
E.Nim.Sml.Kmo	E26	0
E.QID.Pet.Kas	E12	0
E.QID.Mod.Fch	E15	0
E.QID.Euw	E17	0
E.Bog.Rom	E11	0
E.Bog.Ret.Fch	E11	0
E.OldI.Cls	A54	0
E.OldI.Jan	A53	0
E.Gru.Rus.Prz	D97	0
E.Gru.Rus.Szs	D97	0
E.Gru.Exc.SeV	D87	0
E.Gru.Exc.Mod	D85	0
E.Gru.Fch.Pac	D78	0
E.Blf.Dec	E10	0
A.Pol.Cen	A00	0
A.Pol.Bhm	A00	0
A.Pol.Cze	A00	0
A.Gro.Gbt	A00	0
A.Gro.Zil	A00	0
A.Hng.Cat	A00	0
A.Hng.Sic	A00	0
A.Van.ReN	A00	0
A.Van.ReS	A00	0
A.Van.Tub	A00	0
A.Bir.Dut	A03	0
A.Bir.Fro.Lsk	A02	0
D.QPG.Lon	D00	0
D.QPG.Chi	D00	0
D.QPG.Mas	D00	0
D.QPG.Sto	D00	0
D.QPG.Zuk	D02	0
D.QPG.Tor	D03	0
D.Bgm.Acc.Bog	D00	0
D.Bgm.Acc.Euw	D00	0
D.Bgm.Acc.Tei	D00	0
D.Chi.Exc	D07	0
D.Chi.Laz	D07	0
D.Chi.MLn	D07	0
D.Sla.Dim	D10	0
D.Sla.Win	D10	0
D.Sla.Exc.Boo	D10	0
D.Sla.Che.Adv	D15	0
D.Sla.Cls.Bld	D17	0
D.Tar.Mar	D32	0
D.Tar.Prg	D33	0
D.Tar.Cls	D34	0
D.STa.Pil	D40	0
D.STa.Sym	D40	0
E.Bog.NEn	E11	0
E.QID.Pet.And	E12	0
E.QID.Pet.Hdg	E12	0
E.Nim.Kas.Kor	E21	0
E.Nim.Spl.Rom	E23	0
E.Nim.Lng.Avg	E30	0
E.Nim.Cls.Zur	E33	0
E.Nim.Rub.Tai	E40	0
E.Nim.Rub.StP	E43	0
E.QID.Mod.Sms	E15	0
E.Gru.Fch.Euw	D78	0
E.Blf.Spl	E10	0
C.Ita.Evn.Acc	C51	0
C.Ita.Evn.Dec	C52	0
C.RyL.Shl.Jae	C63	0
C.Pet.Thr	C42	0
A.Gro.Dbl	A00	0
A.Gro.Als	A00	0
A.Gro.Kee	A00	0
A.Gro.Spk	A00	0
A.Hng.Sym	A00	0
A.Hng.Sla	A00	0
A.Hng.ReM	A00	0
A.Hng.ReA	A00	0
A.Pol.Dut	A00	0
A.Pol.Bug	A00	0
A.Pol.Bal	A00	0
A.Bir.Hob	A02	0
A.Bir.Hor	A02	0
A.Bir.Muj	A02	0
A.Bir.Wil	A03	0
D.QPG.Lev.Wel	D00	0
D.QPG.Lon.Stn	D00	0
D.QPG.Chi.Alb	D00	0
D.QPG.Chi.Iri	D00	0
D.QPG.Zur	D00	0
D.QPG.Tor.Gos	D03	0
D.Bgm.Acc.Gun	D00	0
D.Bgm.Acc.Zie	D00	0
D.Bgm.Dec.Elb	D00	0
D.Bgm.Dec.Lam	D00	0
D.Chi.Tar	D07	0
D.Chi.Jan.Mod	D07	0
D.Sla.Qui.Pin	D11	0
D.Sla.Exc.Sym	D14	0
D.Sla.Che.Bf5	D15	0
D.Sem.Not.Abr	D31	0
D.Sem.Bg5.Mos.Hst	D43	0
B.Sca.MLn	B01	0
B.Sca.Mod.Mie	B01	0
B.Sca.Nf6	B01	0
B.Sca.Nf6.Mar	B01	0
B.Fre.Win.Arm	C18	0
B.Fre.Tar.Gui	C03	0
B.Fre.Adv.Nim	C02	0
B.CaK.Adv.Bot	B12	0
B.Pir.Aus.Drg	B09	0
C.Ita.Evn.Acc.Stn	C51	0
C.Bsh.Ber	C24	0
C.Bsh.Cal	C23	0
C.Pet.Thr.Fou	C42	0
E.QID.Nim.NAt	E15	0
E.QID.Nim.Qui	E15	0
E.QID.Cls.Krm	E17	0
E.Gru.Neo.Exc	D76	0
E.Bog.Grn	E11	0
A.Ama.Par	A00	0
A.And.Pol	A00	0
A.Clm.Spk	A00	0
A.Kad.Beg	A00	0
A.Kad.Koo	A00	0
A.Kad.Sch	A00	0
A.Mie.ReR	A00	0
A.Mie.Ven	A00	0
A.Lar.Mod	A01	0
A.Lon.Psn	D02	0
A.Tor.Nim	A46	0
A.Pol.Out	A00	0
B.Sic.Ros.Cls	B31	0
B.Sic.Ros.Nim	B30	0
B.Sic.Alp.Nf6	B22	0
B.Sic.Alp.Cen	B22	0
B.Sic.SmM.Acc	B21	0
B.Sic.SmM.Dec	B21	0
B.Sic.OKe.MLn	B28	0
B.CaK.Pmv.Fch	B14	0
B.CaK.Pmv.Nc6	B14	0
B.Ale.Fou.Trd	B03	0
B.Pir.Aus.Unz	B09	0
B.Fre.Exc.Mon	C01	0
C.RyL.Ber.Cls	C67	0
C.RyL.Mor.Ark.Ctr	C78	0
C.Ita.Pia.Nf6	C50	0
C.Ita.Pia.Wai	C50	0
C.Sco.Cls.Sch	C45	0
C.Sco.Mie.Ste	C45	0
C.Pet.Mod.Stn	C43	0
C.PhD.Exc	C41	0
C.Bsh.Urs.Kei	C24	0
C.KGm.Dec.Cls	C30	0
D.QGA.Cen.McD	D20	0
D.QGA.Cen.Gre	D20	0
D.QGA.Cen.Mod	D20	0
D.QGA.Cls.Rub	D27	0
D.QGA.Cls.Ale	D28	0
D.Sem.Mar	D31	0
D.Sem.Mar.MLn	D31	0
D.Sem.Bg5.Bot.MLn	D44	0
D.STa.End	D41	0
D.QGD.Rag.Bg5	D38	0
E.Nim.Kas.Euw	E21	0
E.Nim.Sml.OKe	E26	0
E.QID.Mod.Brg	E15	0
E.QID.Cls.Tiv	E18	0
E.KID.Cls.Kor	E97	0
E.OldI.Fch	A53	0
E.Ben.Old.Adv	A43	0
E.Ben.Old.Sch	A43	0
E.Ben.Old.Sna	A43	0
E.Ben.Old.Zil	A43	0
E.Ben.Mod.Snk	A60	0
E.Ben.Mod.Tai	A67	0
A.Hol.Rap	A80	0
A.Hol.Kre	A80	0
A.Hol.Alp	A80	0
A.Eng.Sym.Rub	A34	0
B.Sic.Dra.Yug.Sol	B78	0
B.Sic.Dra.Yug.Chn	B78	0
B.Sic.Cls.Soz	B57	0
B.Sic.Cls.Bol	B59	0
B.Sic.Kan.Tal	B41	0
B.Sic.Kan.Koc	B41	0
B.CaK.Cls.Spd	B18	0
B.CaK.Kar.Sml	B17	0
B.Ale.Mod.KID	B04	0
B.Pir.150.Arg	B07	0
C.RyL.Ber.Wal	C67	0
C.RyL.Mor.Ark.Qe2	C78	0
C.RyL.Mor.NeA.Ctr	C78	0
C.Ita.Evn.Acc.Mor	C52	0
C.Ita.Two.Ng5.Nxd	C57	0
C.Sco.Gor.Nc3	C44	0
C.Sco.Gbt.Max	C44	0
C.Vie.Gbt.Pie	C29	0
C.Pet.Coc.Kin	C42	0
C.KGm.Acc.Muz.Dbl	C37	0
D.QGA.Jan.Fur	D21	0
D.QGA.Man.MLn	D23	0
D.QGD.Cmb.Yug	D52	0
D.QGD.Lsk.MLn	D56	0
D.QGD.Tar.Mak	D59	0
D.Sem.AMe.Bd3	D45	0
D.Sem.Not.Ant	D31	0
D.Sla.Cze.Kra	D17	0
D.Cat.Cls.Qc2.Btr	E08	0
D.Cat.Ope.Bb4.Mod	E04	0
E.Nim.Cls.Zur.Mil	E33	0
E.Nim.Rub.Hub.MLn	E41	0
E.Nim.Sml.Bot.MLn	E25	0
E.QID.Nim.Tim	E15	0
E.QID.Nim.Int	E15	0
E.KID.Mak.Krs	E71	0
E.KID.Cls.Byn.Nd2	E97	0
E.KID.Fou.MLn	E76	0
E.Blf.Acc.MLn	E10	0
E.OldI.Cls.Cze	A54	0
A.OID	A41	0
A.OID.Wad	A41	0
A.OID.Nf6	A41	0
A.Mod	A42	0
A.Mod.Avk	A42	0
A.Mod.Ran	A42	0
A.Mod.Pte	A42	0
A.PQI	A47	0
A.PQI.Bf4	A47	0
A.PQI.Fch	A47	0
A.PQI.Tor	A47	0
A.EID	A48	0
A.EID	A49	1
A.EID.Fch	A49	0
A.EID.Prz	A49	0
A.EID.Col	A48	0
E.Ind	A50	0
E.Ind.Tgo	A50	0
E.Ind.Tgo.Nf3	A50	0
E.Ind.QID	A50	0
E.Bud	A51	0
E.Bud	A52	1
E.Bud.Faj	A51	0
E.Bud.Faj.Bns	A51	0
E.Bud.Faj.Ste	A51	0
E.Bud.Adl	A52	0
E.Bud.Rub	A52	0
E.Bud.Alk	A52	0
D.QGD.Mar	D06	0
D.QGD.Mar.Exc	D06	0
D.QGD.Mar.e4	D06	0
D.QGD.Bal	D06	0
D.QGD.Bal.Que	D06	0
D.QGD.Bal.Nc3	D06	0
A.Tro.Cls	A45	0
A.Tro.Rap	A45	0
A.Tro.Psn	A45	0
A.Tor.ClD	A46	0
A.Tor.Yus	A46	0
A.Col.Kol	D04	0
A.Col.Zuk	D05	0
A.Col.Phn	D05	0
A.Lon.Cls	D02	0
A.Lon.Msn	D02	0
A.Lon.Job.Nc6	A45	0
A.Ret.KIA	A07	0
A.Ret.Nim	A06	0
A.Ret.Eng	A05	0
A.KIA.Sic	A07	0
A.KIA.Car	A07	0
D.QPG.Zuk.Col	D02	0
D.QPG.Ver	D01	0
C.RyL.Cls.Smy	C93	0
C.RyL.Cls.Kho	C92	0
C.RyL.Cls.Cen	C84	0
C.RyL.Brk.Qui	C94	0
C.RyL.Brk.MLn	C95	0
C.RyL.Brk.Nh4	C95	0
C.RyL.Brk.ZHy	C95	0
C.RyL.Zai.MLn	C92	0
C.RyL.Zai.MLn	C93	1
C.RyL.Zai.Flo	C92	0
C.RyL.Zai.SmB	C92	0
C.RyL.Cha.MLn	C96	0
C.RyL.Cha.MLn	C97	1
C.RyL.Cha.Gaj	C96	0
C.RyL.Cha.Ker	C96	0
C.RyL.Cha.Ros	C96	0
C.RyL.Cha.Pan	C99	0
C.RyL.Cha.Yug	C97	0
B.Sic.Cls.Rch.MLn	B60	0
B.Sic.Cls.Rch.MLn	B61	1
B.Sic.Cls.Rch.Lip	B62	0
B.Sic.Cls.Rch.Psn	B63	0
B.Sic.Cls.Rch.Drg	B60	0
B.Sic.Cls.Rch.Bc4	B64	0
B.Sic.Cls.Soz.Vel	B89	0
B.Sic.Cls.Soz.Fis	B57	0
B.Sic.Cls.Bol.MLn	B59	0
B.Sic.Dra.Cls.Nrm	B72	0
B.Sic.Dra.Cls.Ams	B72	0
E.Ben.Mod.Cls.MLn	A70	0
E.Ben.Mod.Cls.MLn	A71	1
E.Ben.Mod.Cls.Nd2	A72	0
E.Ben.Mod.Cls.Bg5	A73	0
E.Ben.Mod.Cls.Rb1	A74	0
E.Ben.Mod.Cls.h3	A75	0
E.Ben.Mod.Fch.MLn	A62	0
E.Ben.Mod.Fch.Nd2	A63	0
E.Ben.Mod.Fch.Bf4	A64	0
E.Ben.Mod.Fou.MLn	A68	0
D.QGD.Vie.Fur	D39	0
D.QGD.Vie.Que	D37	0
D.QGD.Vie.MLn	D39	0
D.QGD.Vie.Qa4	D38	0
D.QGD.Ort.MLn	D60	0
D.QGD.Ort.MLn	D61	1
D.QGD.Ort.Pil	D63	0
D.QGD.Ort.Te7	D61	0
D.QGD.Ort.Hne	D68	0
D.Sla.Cls.MLn	D17	0
D.Sla.Cls.MLn	D18	1
D.Sem.Mer.MLn	D48	0
E.KID.Sml.Ort.MLn	E87	0
E.KID.Sml.Ort.d5	E85	0
E.KID.Sml.Ort.Exc	E86	0
E.KID.Fch.Yug.MLn	E65	0
E.KID.Fch.Yug.Exc	E66	0
A.Hol.Lng.MLn	A87	0
A.Hol.Lng.War	A88	0
A.Hol.Lng.Mat	A89	0
A.Hol.Cls.IZh.Win	A97	0
A.Hol.Cls.IZh.Ala	A98	0
A.Ver.Cls	D01	0
A.Ver.Ric	D01	0
A.Mik.Eng	A40	0
A.Hor.Ker	A40	0
A.Egl.Cha	A40	0
B.Fre.Tar.Cls.MLn	C05	0
B.Fre.Tar.Cls.Be7	C06	0
B.Fre.Tar.Cls.c5	C04	0
B.Fre.Tar.Cls.Kor	C06	0
B.Sic.Clo.Fch.MLn	B24	0
B.Sic.Clo.Fch.Bot	B25	0
B.Sic.Clo.Fch.Eng	B26	0
B.Nim.Col	B00	0
B.OwM.Mat	B00	0
B.Pir.Aus.Byr	B09	0
C.KGm.Acc.Kie.Lon	C39	0
C.KGm.Acc.Bsh.Ble	C33	0
C.LtO.Gre	C40	0
C.Ele.Pau	C40	0
C.Pon.Ste	C44	0
C.Cen.Ber	C22	0
C.Thr.Win	C46	0
C.PhD.Nim	C41	0
C.Bsh.Lew	C23	0
C.Sco.Mie.Pot	C45	0
D.Alb.Las	D08	0
D.Alb.Nrm	D09	0
D.Bgm.Acc.Ryd	D00	0
D.Rub.Col	D05	0
D.QGD.Rag.Vie	D39	0
D.QGD.Tar.MLn	D58	0
D.QGD.Lsk.Te7	D56	0
D.Sla.Exc.MLn	D13	0
D.Sla.Che.MLn	D15	0
D.Sem.Bg5.Bot.Ekf	D44	0
E.Gru.Rus.Hng	D97	0
E.Gru.Rus.Leo	D98	0
E.Gru.Fch.MLn	D79	0
E.Gru.Neo.Kem	D75	0
E.Nim.Lng.MLn	E31	0
E.Nim.Rub.Hub.Rau	E41	0
E.KID.Cls.Mar.MLn	E97	0
E.KID.Cls.Pet.MLn	E92	0
E.KID.Fch.Pan.MLn	E63	0
E.KID.Avk.Fle.MLn	E73	0
A.Lar.Cls	A01	0
A.Lar.Fch	A01	0
A.Owe.Fch	B00	0
A.War.Mad	A00	0
A.VtK.FrD	A00	0
A.VtK.Sic	A00	0
A.Sod.Dur	A00	0
A.Mik.Ker	A40	0
A.Hor.Fch	A40	0
A.Kan.MLn	A40	0
A.Kan.Nf3	A40	0
A.Egl.Har	A40	0
A.OID.Mod	A53	0
A.OID.Nf6.e4	A53	0
A.Ver.Hub	D01	0
B.Brg.Gro	B00	0
B.StG.Bas	B00	0
B.Lio.Han	B07	0
B.Rat.Sma	B07	0
B.Car.Ham	B00	0
B.Gld.Pck	B00	0
B.Hip.Ama	B00	0
B.War.Mat	B00	0
B.Nim.ScD	B00	0
B.OwM.Smi	B00	0
C.Dam.Nim	C40	0
C.Dam.Ger	C40	0
C.Ele.Nor	C40	0
C.LtO.Bil	C40	0
C.Thr.Stn.MLn	C46	0
C.KGm.Dec.Fal.MLn	C31	0
C.KGm.Acc.All.MLn	C39	0
C.KGm.Acc.Muz.Coc	C37	0
C.LtO.Acc.MLn	C40	0
C.Ele.Pau.MLn	C40	0
D.Alb.Las.MLn	D08	0
D.Alb.Nrm.MLn	D09	0
D.Bgm.Acc.Ryd.MLn	D00	0
D.Bgm.Dec.Lam.MLn	D00	0
D.Rub.Col.MLn	D05	0
D.QGD.Jan.MLn	D31	0
D.QGD.Bal.MLn	D06	0
D.Sla.Qui.MLn	D11	0
D.Sla.Sch.MLn	D11	0
D.QGD.Mar.MLn	D06	0
E.Ind.QID.MLn	E12	0
E.Ind.Tgo.MLn	A50	0
E.Gru.Brn.MLn	D80	0
E.Nim.Rom.MLn	E20	0
E.KID.Mak.MLn	E71	0
A.Eng.Sym.Hdg.MLn	A30	0
A.Eng.Sym.Rub.MLn	A34	0
A.Eng.Rev.Fou.MLn	A28	0
A.Eng.Rev.Bot.MLn	A22	0
A.Eng.Mik.MLn	A18	0
A.Ret.KIA.MLn	A07	0
A.Ret.Nim.MLn	A06	0
A.Lon.Cls.MLn	D02	0
A.Col.Kol.MLn	D04	0
A.Pol.Cen.MLn	A00	0
B.Sic.Naj.Eng.MLn	B90	0
B.Sic.Naj.Pol.MLn	B96	0
B.Sic.Dra.Yug.Sol.MLn	B78	0
B.Sic.Dra.Cls.Nrm.MLn	B72	0
B.Sic.Acc.Mar.MLn	B38	0
B.Sic.Sch.Eng.MLn	B80	0
B.Sic.Kan.Tal.MLn	B43	0
B.Sic.Ros.Nim.MLn	B30	0
B.Fre.Win.Psn.MLn	C18	0
B.CaK.Adv.Sht.MLn	B12	0
C.RyL.Mar.MLn	C89	0
C.RyL.Ber.Wal.End.MLn	C67	0
C.RyL.Mor.Opn.Rig.MLn	C80	0
C.RyL.Exc.Alk.MLn	C68	0
C.Ita.Giu.Cls.MLn	C54	0
C.Ita.Evn.Dec.MLn	C52	0
C.Ita.Pia.Nf6.MLn	C50	0
C.Pet.Cls.MLn	C42	0
C.Pet.Mod.Stn.MLn	C43	0
C.Sco.Mie.Pot.MLn	C45	0
D.QGD.Ort.Rub.MLn	D60	0
D.QGD.Ort.Cap.MLn	D63	0
D.QGD.Tar.Mak.MLn	D58	0
D.QGD.Lsk.Te7.MLn	D56	0
D.Sla.Exc.MLn.e3	D13	0
D.Sla.Che.MLn.a4	D15	0
D.Sem.Mer.Rab.MLn	D48	0
D.Sem.Bg5.AMo.MLn	D44	0
D.QGA.Cls.Rub.MLn	D27	0
D.Cat.Ope.Yug.MLn	E04	0
E.Bog.Nim.MLn	E11	0
E.Bog.WSm.MLn	E11	0
E.Bud.Adl.MLn	A52	0
E.Bud.Rub.MLn	A52	0
E.OldI.Cls.MLn	A54	0
E.OldI.Fch.MLn	A54	0
E.Blf.Dec.MLn	A57	0
E.Blf.Spl.MLn	A57	0
E.Nim.Rub.Tai.MLn	E40	0
E.QID.Pet.Kas.MLn	E12	0
A.War.Cre	A00	0
A.War.Mad.MLn	A00	0
A.And.Cre	A00	0
A.Clm.Glo	A00	0
A.Ama.Par.MLn	A00	0
A.Sod.Dur.MLn	A00	0
A.Mie.ReR.MLn	A00	0
A.Mie.Ven.MLn	A00	0
A.Mik.Ker.MLn	A40	0
A.Kan.MLn.e3	A40	0
B.Brg.Gro.MLn	B00	0
B.StG.Bas.MLn	B00	0
B.Lio.Han.MLn	B07	0
B.Rat.Sma.MLn	B07	0
B.Car.Ham.MLn	B00	0
B.Gld.Pck.MLn	B00	0
B.Hip.Ama.MLn	B00	0
B.War.Mat.MLn	B00	0
B.Mod.Avk.MLn	B06	0
B.OwM.Smi.MLn	B00	0
C.Dam.Nim.MLn	C40	0
C.Dam.Ger.MLn	C40	0
C.Pon.Jae.MLn	C44	0
C.Pon.Ste.MLn	C44	0
C.Thr.Win.MLn	C46	0
C.Ele.Nor.MLn	C40	0
C.Cen.Dsh.Acc.MLn	C21	0
C.Bsh.Urs.Kei.MLn	C24	0
C.PhD.Nim.MLn	C41	0
C.Vie.Gbt.Fal.MLn	C29	0
D.QGD.Ort.Hne.Cap	D63	0
D.QGD.Tar.MLn.Bd3	D58	0
D.Sla.Cls.MLn.e4	D18	0
D.Sla.Qui.MLn.Bd3	D11	0
D.Sem.Bg5.Bot.Ekf.MLn	D44	0
D.Sem.Mer.Lun.MLn	D48	0
D.QGA.Cen.Mod.MLn	D20	0
D.Cat.Cls.Kor.MLn	E08	0
D.QPG.Zuk.Col.MLn	D02	0
D.Bgm.Acc.Ryd.MLn.Be3	D00	0
E.Bog.Nim.MLn.Be2	E11	0
E.Bud.Adl.MLn.e3	A52	0
E.OldI.Cls.MLn.Re1	A54	0
E.Blf.Dec.MLn.e3	A57	0
E.Nim.Rub.Tai.MLn.Qc2	E40	0
E.QID.Pet.Kas.MLn.e4	E12	0
E.KID.Mak.MLn.Be2	E71	0
E.Gru.Brn.MLn.Be2	D80	0
E.Nim.Rom.MLn.Nf3	E20	0
E.Ind.Tgo.MLn.Nc3	A50	0
A.Owe.Fch.MLn	B00	0
A.VtK.FrD.MLn	A00	0
A.VtK.Sic.MLn	A00	0
A.Hor.Ker.MLn	A40	0
A.Hor.Fch.MLn	A40	0
A.And.Pol.MLn	A00	0
A.Clm.Spk.MLn	A00	0
A.Egl.Har.MLn	A40	0
A.OID.Mod.MLn	A53	0
A.Ret.KIA.MLn.e4	A07	0
B.Nim.Ken.MLn	B00	0
B.Nim.ScD.MLn	B00	0
B.Nim.Col.MLn	B00	0
B.Mod.Tig.MLn	B06	0
B.Mod.Pte.MLn	B06	0
B.OwM.Mat.MLn	B00	0
B.OwM.Eng.MLn	B00	0
B.Sca.Mod.Mie.MLn	B01	0
B.Ale.Mod.KID.MLn	B04	0
B.Pir.150.Arg.MLn	B07	0
C.KPO.Kgt.MLn	C40	0
C.KPO.Nap.MLn	C20	0
C.KPO.Prt.MLn	C20	0
C.Fou.Glk.MLn	C47	0
C.Fou.Sco.Bel.MLn	C47	0
C.Fou.Spa.Rub.MLn	C48	0
C.Sco.Gor.Nc3.MLn	C44	0
C.Sco.Gbt.Max.MLn	C44	0
C.KGm.Dec.Cls.MLn	C30	0
C.KGm.Acc.Muz.Dbl.MLn	C37	0
D.Chi.MLn.e3	D07	0
