ocn1	eco	seq
B.Sic.Dra	B74	4
B.Sic.Dra	B75	5
B.Sic.Dra	B76	6
B.Sic.Dra	B77	7
B.Sic.Dra	B78	8
B.Sic.Dra	B79	9
B.Sic.Dra.Yug	B76	0
B.Sic.Dra.Yug	B77	1
B.Sic.Dra.Yug	B78	2
B.Sic.Dra.Yug	B79	3
B.Sic.Sch	B80	0
B.Sic.Sch	B81	1
B.Sic.Sch	B82	2
B.Sic.Sch	B83	3
B.Sic.Sch	B84	4
B.Sic.Sch	B85	5
B.Sic.Sch	B86	6
B.Sic.Sch	B87	7
B.Sic.Sch	B88	8
B.Sic.Sch	B89	9
B.Sic.Sch.Krs	B81	0
B.Sic.Tay	B40	0
B.Sic.Tay	B41	1
B.Sic.Tay	B42	2
B.Sic.Tay	B43	3
B.Sic.Tay	B44	4
B.Sic.Tay	B45	5
B.Sic.Tay	B46	6
B.Sic.Tay	B47	7
B.Sic.Tay	B48	8
B.Sic.Tay	B49	9
B.Sic.Kan	B41	0
B.Sic.Kan	B42	1
B.Sic.Kan	B43	2
B.Sic.Cls	B56	0
B.Sic.Cls	B57	1
B.Sic.Cls	B58	2
B.Sic.Cls	B59	3
B.Sic.Cls	B60	4
B.Sic.Cls	B61	5
B.Sic.Cls	B62	6
B.Sic.Cls	B63	7
B.Sic.Cls	B64	8
B.Sic.Cls	B65	9
B.Sic.Cls	B66	10
B.Sic.Cls	B67	11
B.Sic.Cls	B68	12
B.Sic.Cls	B69	13
B.Sic.Ros	B30	0
B.Sic.Ros	B31	1
B.Sic.Mor	B51	0
B.Sic.Mor	B52	1
B.Sic.Alp	B22	0
B.Sic.SmM	B21	0
B.Sic.Cls.Rch	B60	0
B.Sic.Cls.Rch	B61	1
B.Sic.Cls.Rch	B62	2
B.Sic.Cls.Rch	B63	3
B.Sic.Cls.Rch	B64	4
B.Sic.Cls.Rch	B65	5
B.Sic.Cls.Rch	B66	6
B.Sic.Cls.Rch	B67	7
B.Sic.Cls.Rch	B68	8
B.Sic.Cls.Rch	B69	9
B.Sic.OKn	B50	0
B.CaK	B10	0
B.CaK	B11	1
B.CaK	B12	2
B.CaK	B13	3
B.CaK	B14	4
B.CaK	B15	5
B.CaK	B16	6
B.CaK	B17	7
B.CaK	B18	8
B.CaK	B19	9
B.CaK.Adv	B12	0
B.CaK.Cls	B18	0
B.CaK.Cls	B19	1
B.CaK.Pmv	B13	0
B.CaK.Pmv	B14	1
B.CaK.Two	B11	0
B.Fre	C00	0
B.Fre	C01	1
B.Fre	C02	2
B.Fre	C03	3
B.Fre	C04	4
B.Fre	C05	5
B.Fre	C06	6
B.Fre	C07	7
B.Fre	C08	8
B.Fre	C09	9
B.Fre	C10	10
B.Fre	C11	11
B.Fre	C12	12
B.Fre	C13	13
B.Fre	C14	14
B.Fre	C15	15
B.Fre	C16	16
B.Fre	C17	17
B.Fre	C18	18
B.Fre	C19	19
B.Fre.Win	C15	0
B.Fre.Win	C16	1
B.Fre.Win	C17	2
B.Fre.Win	C18	3
B.Fre.Win	C19	4
B.Fre.Tar	C03	0
B.Fre.Tar	C04	1
B.Fre.Tar	C05	2
B.Fre.Tar	C06	3
B.Fre.Tar	C07	4
B.Fre.Tar	C08	5
B.Fre.Tar	C09	6
B.Fre.Adv	C02	0
B.Fre.Cls	C13	0
B.Fre.Cls	C14	1
B.Fre.Exc	C01	0
B.Pir	B07	0
B.Pir	B08	1
B.Pir	B09	2
B.Mod	B06	0
B.Sca	B01	0
B.Ale	B02	0
B.Ale	B03	1
B.Ale	B04	2
B.Ale	B05	3
B.OwM	B00	0
C.RyL	C60	0
C.RyL	C61	1
C.RyL	C62	2
C.RyL	C63	3
C.RyL	C64	4
C.RyL	C65	5
C.RyL	C66	6
C.RyL	C67	7
C.RyL	C68	8
C.RyL	C69	9
C.RyL	C70	10
C.RyL	C71	11
C.RyL	C72	12
C.RyL	C73	13
C.RyL	C74	14
C.RyL	C75	15
C.RyL	C76	16
C.RyL	C77	17
C.RyL	C78	18
C.RyL	C79	19
C.RyL	C80	20
C.RyL	C81	21
C.RyL	C82	22
C.RyL	C83	23
C.RyL	C84	24
C.RyL	C85	25
C.RyL	C86	26
C.RyL	C87	27
C.RyL	C88	28
C.RyL	C89	29
C.RyL	C90	30
C.RyL	C91	31
C.RyL	C92	32
C.RyL	C93	33
C.RyL	C94	34
C.RyL	C95	35
C.RyL	C96	36
C.RyL	C97	37
C.RyL	C98	38
C.RyL	C99	39
C.RyL.Ber	C65	0
C.RyL.Ber	C66	1
C.RyL.Ber	C67	2
C.RyL.Ber.Wal.End	C67	0
C.RyL.Mar	C89	0
C.RyL.AntM	C88	0
C.RyL.Cls	C84	0
C.RyL.Cls	C85	1
C.RyL.Cls	C86	2
C.RyL.Cls	C87	3
C.RyL.Cls	C88	4
C.RyL.Cls	C89	5
C.RyL.Cls	C90	6
C.RyL.Cls	C91	7
C.RyL.Cls	C92	8
