ocn1	match_kind	matched_plies	total_plies	lichess_eco	lichess_name
D.QGA.Bog.MLn	prefix	8	10	D25	Queen's Gambit Accepted: Janowski-Larsen Variation
D.QGA.Flo.MLn	exact	8	8	D22	Queen's Gambit Accepted: Alekhine Defense, Haberditz Variation
D.QGA.Jan.MLn	prefix	6	10	D22	Queen's Gambit Accepted: Alekhine Defense
D.QGD.Har.MLn	prefix	6	11	D35	Queen's Gambit Declined: Normal Defense
D.QGD.Alt.MLn	prefix	6	10	D31	Queen's Gambit Declined: Charousek Variation
D.QGD.Cls	prefix	8	11	D53	Queen's Gambit Declined
D.QGD.Cls.MLn	prefix	8	12	D53	Queen's Gambit Declined
D.QGD.Cls.MLn.Bh4	prefix	8	13	D53	Queen's Gambit Declined
D.QGD.Cls.Bd3	prefix	8	15	D53	Queen's Gambit Declined
D.QGD.Cls.Nf3	prefix	4	11	D30	Queen's Gambit Declined
D.QGD.Cls.Nf3.c5	prefix	4	12	D30	Queen's Gambit Declined
D.QGA.Cls.MLn	exact	12	12	D27	Queen's Gambit Accepted: Classical Defense, Main Line
D.QGA.Cls.MLn.a4	prefix	13	17	D27	Queen's Gambit Accepted: Classical Defense, Rubinstein Variation
D.QGA.Cls.Ale.MLn	exact	14	14	D28	Queen's Gambit Accepted: Classical Defense, Alekhine System
D.Sla.Cls.MLn.Nh4	prefix	11	15	D18	Slav Defense: Czech Variation, Classical System
D.Sla.Cls.MLn.Qe2	prefix	11	15	D18	Slav Defense: Czech Variation, Classical System
D.Sla.Dim.MLn	prefix	5	8	D10	Slav Defense: Diemer Gambit
D.Sla.Win.MLn	prefix	6	8	D10	Slav Defense: Winawer Countergambit
D.Tar.Rub.MLn	exact	14	14	D34	Tarrasch Defense: Prague Variation, Main Line
D.Tar.Rub.MLn.O-O	prefix	14	15	D34	Tarrasch Defense: Prague Variation, Main Line
D.Tar.HSc.MLn	prefix	8	10	D32	Tarrasch Defense: Schara Gambit
D.Tar.Mar.MLn	prefix	9	11	D32	Tarrasch Defense: Marshall Gambit
D.STa.Kmo.MLn	prefix	6	15	D35	Queen's Gambit Declined: Normal Defense
D.STa.Sym.MLn	prefix	14	15	D40	Queen's Gambit Declined: Semi-Tarrasch Defense, Symmetrical Variation
D.STa.End.MLn	prefix	6	16	D35	Queen's Gambit Declined: Normal Defense
D.Chi.Laz.MLn	prefix	6	8	D07	Queen's Gambit Declined: Chigorin Defense, Lazard Gambit
D.Chi.Tar.MLn	prefix	6	8	D07	Queen's Gambit Declined: Chigorin Defense, Tartakower Gambit
D.QPG.Ver.MLn	prefix	3	7	D00	Queen's Pawn Game: Chigorin Variation
D.QPG.Ama.MLn	prefix	3	5	D00	Amazon Attack
D.QPG.Mas.MLn	prefix	3	5	D00	Queen's Pawn Game: Mason Attack
D.QPG.Sto.MLn	prefix	5	7	D00	Queen's Pawn Game: Stonewall Attack
D.QPG.Zur.MLn	prefix	3	4	D00	Queen's Pawn Game: Zurich Gambit
E.Ben.Czk.MLn	prefix	6	9	A56	Benoni Defense: Czech Benoni Defense
E.Ben.Czk.MLn.Be7	prefix	6	10	A56	Benoni Defense: Czech Benoni Defense
E.Gru.Sml.MLn	prefix	7	9	D80	Grünfeld Defense: Lutikov Variation
E.Gru.Sml.MLn.c5	prefix	7	10	D80	Grünfeld Defense: Lutikov Variation
E.OldI.Ukr.MLn	prefix	7	9	A54	Old Indian Defense: Two Knights Variation
E.OldI.Jan.MLn	prefix	6	8	A53	Old Indian Defense: Janowski Variation
E.Nim.Fou.MLn	prefix	7	8	E20	Nimzo-Indian Defense: Kmoch Variation
E.Nim.Fou.MLn.e4	prefix	7	9	E20	Nimzo-Indian Defense: Kmoch Variation
E.Nim.Mik.MLn	prefix	7	8	E20	Nimzo-Indian Defense: Mikenas Attack
E.Nim.Mik.MLn.Nf3	prefix	7	9	E20	Nimzo-Indian Defense: Mikenas Attack
E.Bog.Exc.MLn	prefix	8	10	E11	Bogo-Indian Defense: Exchange Variation
