ocn1	match_kind	matched_plies	total_plies	lichess_eco	lichess_name
A	root	0	0		
B	root	0	0		
C	root	0	0		
D	root	0	0		
E	root	0	0		
A.Eng	exact	1	1	A10	English Opening
A.Eng.Sym	exact	2	2	A30	English Opening: Symmetrical Variation
A.Eng.Rev	exact	2	2	A20	English Opening: King's English Variation
A.Hol	exact	2	2	A80	Dutch Defense
A.Hol.Lng	exact	6	6	A81	Dutch Defense: Semi-Leningrad Variation
A.Hol.Sto	prefix	3	8	A81	Dutch Defense: Fianchetto Attack
A.Hol.Cls	prefix	3	8	A81	Dutch Defense: Fianchetto Attack
E.Ben	exact	4	4	A56	Benoni Defense
E.Ben.Mod	prefix	11	12	A65	Benoni Defense: King's Pawn Line
E.Ben.Bnk	exact	6	6	A57	Benko Gambit
E.Ben.Czk	exact	6	6	A56	Benoni Defense: Czech Benoni Defense
A.Tro	exact	3	3	A45	Trompowsky Attack
A.Lon	exact	5	5	D02	Queen's Pawn Game: London System
A.Bir	exact	1	1	A02	Bird Opening
A.Lar	exact	1	1	A01	Nimzo-Larsen Attack
A.Ret	exact	1	1	A04	Zukertort Opening
A.Owe	exact	2	2	A40	English Defense
A.Pol	exact	1	1	A00	Polish Opening
B.Sic	exact	2	2	B20	Sicilian Defense
B.Sic.Naj	exact	10	10	B90	Sicilian Defense: Najdorf Variation
B.Sic.Naj.Eng	exact	11	11	B90	Sicilian Defense: Najdorf Variation, English Attack
B.Sic.Naj.Sch	exact	12	12	B84	Sicilian Defense: Scheveningen Variation, Classical Variation
B.Sic.Naj.Adm	exact	11	11	B90	Sicilian Defense: Najdorf Variation, Adams Attack
B.Sic.Naj.Pol	exact	14	14	B96	Sicilian Defense: Najdorf Variation, Polugaevsky Variation
B.Sic.Naj.Pst	exact	14	14	B97	Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation
B.Sic.Sve	exact	10	10	B33	Sicilian Defense: Lasker-Pelikan Variation
B.Sic.Sve.Nd5	exact	17	17	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation
B.Sic.Sve.Nd5.Be7	prefix	17	18	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation
B.Sic.Sve.Nd5.Be7.Bxf6	prefix	17	20	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation
B.Sic.Sve.Nd5.Qa5	prefix	17	18	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation
B.Sic.Sve.Bxf6	prefix	16	18	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation
B.Sic.Sve.Bxf6.Nd5	prefix	16	19	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation
B.Sic.Sve.Bxf6.Nd5.Bg7	exact	20	20	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation
B.Sic.Sve.Bxf6.Nd5.f5	exact	20	20	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation
B.Sic.Dra	exact	10	10	B70	Sicilian Defense: Dragon Variation
B.Sic.Dra.Yug	exact	17	17	B77	Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line
B.Sic.Sch	prefix	8	10	B54	Sicilian Defense: Modern Variations, Main Line
B.Sic.Sch.Krs	prefix	8	11	B54	Sicilian Defense: Modern Variations, Main Line
B.Sic.Tay	exact	8	8	B44	Sicilian Defense: Taimanov Variation
B.Sic.Kan	exact	8	8	B41	Sicilian Defense: Kan Variation
B.Sic.Cls	exact	10	10	B56	Sicilian Defense: Classical Variation
B.Sic.Ros	exact	5	5	B30	Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
B.Sic.Mor	exact	5	5	B51	Sicilian Defense: Moscow Variation
B.Sic.Alp	exact	3	3	B22	Sicilian Defense: Alapin Variation
B.Sic.SmM	exact	5	5	B21	Sicilian Defense: Smith-Morra Gambit
B.Sic.Cls.Rch	exact	11	11	B60	Sicilian Defense: Richter-Rauzer Variation
B.Sic.OKn	prefix	6	7	B50	Sicilian Defense
B.CaK	exact	2	2	B10	Caro-Kann Defense
B.CaK.Adv	exact	5	5	B12	Caro-Kann Defense: Advance Variation
B.CaK.Cls	prefix	6	8	B15	Caro-Kann Defense
B.CaK.Pmv	exact	7	7	B13	Caro-Kann Defense: Panov Attack
B.CaK.Two	exact	5	5	B10	Caro-Kann Defense: Two Knights Attack
B.Fre	exact	2	2	C00	French Defense
B.Fre.Win	exact	6	6	C15	French Defense: Winawer Variation
B.Fre.Tar	exact	5	5	C03	French Defense: Tarrasch Variation
B.Fre.Adv	exact	5	5	C02	French Defense: Advance Variation
B.Fre.Cls	exact	6	6	C11	French Defense: Classical Variation
B.Fre.Exc	prefix	5	6	C01	French Defense: Exchange Variation
B.Pir	exact	6	6	B07	Pirc Defense
B.Mod	exact	2	2	B06	Modern Defense
B.Sca	exact	2	2	B01	Scandinavian Defense
B.Ale	exact	2	2	B02	Alekhine Defense
B.OwM	exact	2	2	B00	Owen Defense
C.RyL	exact	5	5	C60	Ruy Lopez
C.RyL.Ber	exact	6	6	C65	Ruy Lopez: Berlin Defense
C.RyL.Ber.Wal.End	exact	16	16	C67	Ruy Lopez: Berlin Defense, l'Hermet Variation, Berlin Wall Defense
C.RyL.Mar	exact	16	16	C89	Ruy Lopez: Marshall Attack
C.RyL.AntM	exact	14	14	C88	Ruy Lopez: Closed
C.RyL.Cls	prefix	13	14	C88	Ruy Lopez: Closed
C.RyL.Brk	exact	18	18	C94	Ruy Lopez: Closed, Breyer Defense
C.RyL.Zai	prefix	18	20	C92	Ruy Lopez: Closed, Flohr System
C.RyL.Cha	exact	18	18	C97	Ruy Lopez: Closed, Chigorin Defense
C.RyL.Exc	exact	7	7	C68	Ruy Lopez: Exchange Variation
C.Ita	exact	5	5	C50	Italian Game
C.Ita.Two	exact	6	6	C55	Italian Game: Two Knights Defense
C.Ita.Evn	exact	7	7	C51	Italian Game: Evans Gambit
C.Ita.Pia	exact	7	7	C50	Italian Game: Giuoco Pianissimo
C.KGm	exact	3	3	C30	King's Gambit
C.KGm.Acc	exact	4	4	C33	King's Gambit Accepted
C.KGm.Dec	exact	4	4	C30	King's Gambit Declined: Classical Variation
C.Pet	exact	4	4	C42	Petrov's Defense
C.Sco	exact	5	5	C44	Scotch Game
C.Sco.Mie	exact	8	8	C45	Scotch Game: Schmidt Variation
C.Vie	exact	3	3	C25	Vienna Game
C.PhD	exact	4	4	C41	Philidor Defense
C.LtO	exact	4	4	C40	Latvian Gambit
D.QGD	exact	4	4	D30	Queen's Gambit Declined
D.QGD.Ort	prefix	8	10	D53	Queen's Gambit Declined
D.QGD.Tar	prefix	8	12	D53	Queen's Gambit Declined
D.QGD.Lsk	prefix	8	14	D53	Queen's Gambit Declined
D.QGD.Cmb	prefix	10	12	D51	Queen's Gambit Declined: Modern Variation, Knight Defense
D.QGD.Exc	prefix	6	8	D35	Queen's Gambit Declined: Normal Defense
D.QGA	exact	4	4	D20	Queen's Gambit Accepted
D.Sla	exact	4	4	D10	Slav Defense
D.Sem	exact	8	8	D43	Semi-Slav Defense
D.Sem.Mer	prefix	8	14	D43	Semi-Slav Defense
D.Sem.Bg5	prefix	8	9	D43	Semi-Slav Defense
D.Sem.Bg5.Mos	prefix	8	11	D43	Semi-Slav Defense
D.Sem.Bg5.AMo	exact	11	11	D43	Semi-Slav Defense: Anti-Moscow Gambit
D.Sem.Bg5.Bot	prefix	11	12	D44	Semi-Slav Defense: Botvinnik Variation
D.Sla.Exc	prefix	5	6	D10	Slav Defense: Exchange Variation
D.Sla.Cls	exact	10	10	D17	Slav Defense: Czech Variation
D.Cat	prefix	4	7	D30	Queen's Gambit Declined
D.Cat.Ope	prefix	4	8	D30	Queen's Gambit Declined
D.Cat.Cls	prefix	4	12	D30	Queen's Gambit Declined
D.Tar	exact	6	6	D32	Tarrasch Defense
D.STa	prefix	6	8	D35	Queen's Gambit Declined: Normal Defense
D.QGD.Vie	prefix	6	8	D35	Queen's Gambit Declined: Normal Defense
D.QGD.Rag	prefix	6	8	D35	Queen's Gambit Declined: Normal Defense
D.Alb	exact	4	4	D08	Queen's Gambit Declined: Albin Countergambit
D.Bgm	exact	3	3	D00	Blackmar-Diemer Gambit
E.KID	prefix	5	6	E61	King's Indian Defense
E.KID.Sml	exact	9	9	E80	King's Indian Defense: Sämisch Variation
E.KID.Cls	exact	9	9	E90	King's Indian Defense: Normal Variation, Rare Defenses
E.KID.Cls.Mar	prefix	14	16	E97	King's Indian Defense: Orthodox Variation, Aronin-Taimanov Defense
E.KID.Fch	prefix	5	10	E61	King's Indian Defense
E.KID.Avk	exact	11	11	E73	King's Indian Defense: Averbakh Variation
E.KID.Fou	exact	9	9	E76	King's Indian Defense: Four Pawns Attack
E.Nim	exact	6	6	E20	Nimzo-Indian Defense
E.Nim.Rub	exact	7	7	E40	Nimzo-Indian Defense: Rubinstein System
E.Nim.Cls	exact	7	7	E32	Nimzo-Indian Defense: Classical Variation
E.Nim.Sml	exact	7	7	E24	Nimzo-Indian Defense: Sämisch Variation
E.Nim.Lng	exact	7	7	E30	Nimzo-Indian Defense: Leningrad Variation
E.QID	exact	6	6	E12	Queen's Indian Defense
E.QID.Pet	exact	7	7	E12	Queen's Indian Defense: Petrosian Variation
E.QID.Mod	exact	8	8	E15	Queen's Indian Defense: Fianchetto Variation, Traditional Line
E.Bog	exact	6	6	E11	Bogo-Indian Defense
E.OldI	exact	4	4	A53	Old Indian Defense
E.Gru	exact	6	6	D80	Grünfeld Defense
E.Gru.Exc	prefix	8	9	D85	Grünfeld Defense: Exchange Variation
E.Gru.Rus	exact	9	9	D96	Grünfeld Defense: Russian Variation
E.Gru.Fch	prefix	8	9	D90	Grünfeld Defense: Three Knights Variation
A.KIA	exact	4	4	A05	King's Indian Attack
A.KIA.Fre	prefix	3	7	C00	French Defense: King's Indian Attack
A.Ret.Acc	exact	4	4	A09	Réti Opening: Réti Accepted
A.Ret.Adv	exact	4	4	A09	Réti Opening: Advance Variation
A.Ret.Fch	prefix	4	7	A05	King's Indian Attack: Symmetrical Defense
A.Eng.Rev.Fou	exact	6	6	A28	English Opening: King's English Variation, Four Knights Variation
A.Hng	exact	1	1	A00	Hungarian Opening
A.Gro	exact	1	1	A00	Grob Opening
A.Van	exact	1	1	A00	Van Geet Opening
A.Bir.Fro	exact	2	2	A02	Bird Opening: From's Gambit
A.Tor	exact	5	5	A46	Torre Attack: Classical Defense
A.Ver	exact	5	5	D01	Richter-Veresov Attack
A.Col	exact	7	7	D05	Queen's Pawn Game: Colle System
A.Lon.Job	exact	5	5	D01	Rapport-Jobava System
B.Nim	exact	2	2	B00	Nimzowitsch Defense
B.Nim.Ken	exact	4	4	B00	Nimzowitsch Defense: Kennedy Variation
B.Sca.Mod	exact	6	6	B01	Scandinavian Defense: Main Line
B.Sca.Por	exact	6	6	B01	Scandinavian Defense: Portuguese Gambit
B.Sca.Ice	exact	6	6	B01	Scandinavian Defense: Icelandic-Palme Gambit
B.Ale.Fou	exact	9	9	B03	Alekhine Defense: Four Pawns Attack
B.Ale.Exc	exact	9	9	B03	Alekhine Defense: Exchange Variation
B.Pir.Aus	exact	7	7	B09	Pirc Defense: Austrian Attack
B.Pir.Cls	exact	7	7	B08	Pirc Defense: Classical Variation
B.Pir.Fch	exact	7	7	B07	Pirc Defense: Sveshnikov System
B.Mod.Avk	prefix	4	7	B06	Modern Defense
B.Fre.Rub	exact	6	6	C10	French Defense: Rubinstein Variation
B.Fre.Bur	exact	8	8	C11	French Defense: Classical Variation, Burn Variation
B.Fre.Mac	exact	8	8	C12	French Defense: McCutcheon Variation
B.CaK.Exc	exact	6	6	B13	Caro-Kann Defense: Exchange Variation
B.CaK.Kar	prefix	6	8	B15	Caro-Kann Defense
C.Fou	exact	6	6	C47	Four Knights Game
C.Fou.Glk	exact	7	7	C47	Four Knights Game: Glek System
C.Fou.Sco	exact	7	7	C47	Four Knights Game: Scotch Variation
C.Fou.Spa	exact	7	7	C48	Four Knights Game: Spanish Variation
C.Fou.Spa.Rub	exact	8	8	C48	Four Knights Game: Spanish Variation, Rubinstein Variation
C.Fou.Hal	exact	7	7	C47	Four Knights Game: Halloween Gambit
C.Bsh	exact	3	3	C23	Bishop's Opening
C.Bsh.Urs	exact	7	7	C43	Bishop's Opening: Urusov Gambit
C.Pon	exact	5	5	C44	Ponziani Opening
C.Pon.Jae	exact	6	6	C44	Ponziani Opening: Jaenisch Counterattack
C.Pon.CGm	exact	6	6	C44	Ponziani Opening: Ponziani Countergambit
C.Cen	exact	3	3	C20	Center Game
C.Cen.Dsh	exact	5	5	C21	Danish Gambit
C.Cen.Pau	exact	7	7	C22	Center Game: Paulsen Attack Variation
C.Ita.Giu	exact	6	6	C50	Italian Game: Giuoco Piano
C.Ita.Two.Ng5	exact	7	7	C57	Italian Game: Two Knights Defense, Knight Attack
C.Ita.Two.Ng5.Trx	exact	8	8	C57	Italian Game: Two Knights Defense, Traxler Counterattack
C.Pet.Coc	exact	7	7	C42	Petrov's Defense: Cochrane Gambit
C.Pet.Mod	exact	5	5	C43	Petrov's Defense: Modern Attack
C.Sco.Gbt	exact	7	7	C44	Scotch Game: Scotch Gambit
C.Vie.Gbt	exact	5	5	C29	Vienna Game: Vienna Gambit
C.PhD.Han	exact	8	8	C41	Philidor Defense: Lion Variation
D.QGA.Cls	exact	10	10	D26	Queen's Gambit Accepted: Classical Defense
D.Sla.Che	exact	8	8	D15	Slav Defense: Chebanenko Variation
D.Sem.AMe	prefix	8	11	D43	Semi-Slav Defense
D.QGD.Har	prefix	4	9	D30	Queen's Gambit Declined
D.Cat.Fch	prefix	4	10	D30	Queen's Gambit Declined
E.KID.Cls.Pet	exact	13	13	E92	King's Indian Defense: Petrosian Variation
E.KID.Cls.Byn	exact	17	17	E97	King's Indian Defense: Orthodox Variation, Bayonet Attack
E.KID.Mak	exact	9	9	E71	King's Indian Defense: Makogonov Variation
E.Nim.Rub.Hub	prefix	8	12	E41	Nimzo-Indian Defense: Rubinstein System
E.Bog.Nim	exact	8	8	E11	Bogo-Indian Defense: Nimzowitsch Variation
E.Bog.WSm	exact	8	8	E11	Bogo-Indian Defense: Wade-Smyslov Variation
E.QID.Cls	exact	10	10	E17	Queen's Indian Defense: Traditional Variation
E.Gru.Sml	exact	7	7	D80	Grünfeld Defense: Lutikov Variation
E.Gru.Brn	exact	7	7	D82	Grünfeld Defense: Brinckmann Attack
E.OldI.Ukr	exact	6	6	A54	Old Indian Defense: Ukrainian Variation
B.Sic.Clo	exact	3	3	B23	Sicilian Defense: Closed
B.Sic.Clo.GPr	exact	5	5	B23	Sicilian Defense: Grand Prix Attack
B.Sic.Clo.Fch	exact	5	5	B24	Sicilian Defense: Closed, Fianchetto Variation
B.Sic.Win	exact	3	3	B20	Sicilian Defense: Wing Gambit
B.Sic.Bow	exact	3	3	B20	Sicilian Defense: Bowdler Attack
B.CaK.Fan	exact	5	5	B12	Caro-Kann Defense: Maróczy Variation
B.CaK.Brn	exact	10	10	B16	Caro-Kann Defense: Bronstein-Larsen Variation
B.CaK.Sml	exact	7	7	B12	Caro-Kann Defense: Advance Variation, Bayonet Attack
B.Fre.Stn	exact	7	7	C11	French Defense: Classical Variation, Steinitz Variation
B.Fre.FKn	prefix	6	8	C10	French Defense: Rubinstein Variation
B.Pir.Byr	exact	7	7	B07	Pirc Defense: Byrne Variation
B.Pir.150	prefix	6	7	B07	Pirc Defense
C.RyL.Coz	exact	6	6	C60	Ruy Lopez: Cozio Defense
C.RyL.Shl	exact	6	6	C63	Ruy Lopez: Schliemann Defense
C.RyL.Mor	exact	6	6	C70	Ruy Lopez: Morphy Defense
C.RyL.Mor.Opn	exact	10	10	C80	Ruy Lopez: Open
C.RyL.Mor.StD	exact	8	8	C71	Ruy Lopez: Morphy Defense, Modern Steinitz Defense
C.RyL.Mor.Ark	exact	12	12	C78	Ruy Lopez: Morphy Defense, Arkhangelsk Variation
C.RyL.Mor.NeA	exact	10	10	C78	Ruy Lopez: Morphy Defense, Neo-Arkhangelsk Variation
C.RyL.Mor.Nor	exact	10	10	C70	Ruy Lopez: Morphy Defense, Norwegian Variation
C.RyL.Mor.Wor	exact	9	9	C77	Ruy Lopez: Morphy Defense, Wormald Attack
C.Ita.Giu.Cls	exact	11	11	C54	Italian Game: Classical Variation, Greco Gambit, Traditional Line
C.Ita.Giu.Mol	prefix	11	12	C54	Italian Game: Classical Variation, Greco Gambit, Traditional Line
C.Ita.Two.Opn	exact	7	7	C56	Italian Game: Two Knights Defense, Open Variation
C.Ita.Two.Max	prefix	9	11	C56	Italian Game: Scotch Gambit
C.Ita.Two.Ng5.Feg	exact	11	11	C57	Italian Game: Two Knights Defense, Fried Liver Attack
C.Ita.Two.Ng5.Ulv	exact	10	10	C57	Italian Game: Two Knights Defense, Ulvestad Variation
C.Ita.Two.Ng5.Pol	exact	10	10	C58	Italian Game: Two Knights Defense, Polerio Defense
C.Sco.Gor	exact	7	7	C44	Scotch Game: Göring Gambit
C.Sco.Cls	exact	8	8	C45	Scotch Game: Classical Variation
C.Vie.Mie	exact	5	5	C26	Vienna Game: Mieses Variation
C.Vie.Fal	exact	4	4	C26	Vienna Game: Falkbeer Variation
C.Pet.Cls	prefix	9	10	C42	Petrov's Defense: Classical Attack
C.Pet.Stf	exact	6	6	C42	Petrov's Defense: Stafford Gambit
C.PhD.Lio	prefix	8	10	C41	Philidor Defense: Lion Variation
D.QGA.Jan	exact	6	6	D22	Queen's Gambit Accepted: Alekhine Defense
D.QGA.Man	exact	7	7	D23	Queen's Gambit Accepted: Mannheim Variation
D.Sla.Not	prefix	5	8	D11	Slav Defense: Modern Line
D.Sla.Ala	exact	9	9	D15	Slav Defense: Geller Gambit
D.Tar.Rub	exact	11	11	D33	Tarrasch Defense: Rubinstein System
D.STa.Exc	prefix	6	10	D35	Queen's Gambit Declined: Normal Defense
D.Cat.Ope.Qa4	prefix	4	9	D30	Queen's Gambit Declined
D.Cat.Cls.Qc2	prefix	4	13	D30	Queen's Gambit Declined
E.KID.Fch.Pan	prefix	5	14	E61	King's Indian Defense
E.KID.Sml.Pan	exact	14	14	E83	King's Indian Defense: Sämisch Variation, Panno Formation
E.KID.Cls.Glg	exact	13	13	E92	King's Indian Defense: Orthodox Variation, Gligoric-Taimanov System
E.KID.Cls.Exc	exact	13	13	E92	King's Indian Defense: Exchange Variation
E.Nim.Kas	exact	7	7	E21	Nimzo-Indian Defense: Three Knights Variation
E.Nim.Fou	exact	7	7	E20	Nimzo-Indian Defense: Kmoch Variation
E.QID.Nim	exact	8	8	E15	Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation
E.QID.Fch	exact	7	7	E15	Queen's Indian Defense: Fianchetto Variation
E.Gru.Exc.Cla	exact	14	14	D85	Grünfeld Defense: Exchange Variation, Modern Exchange Variation
E.Gru.Exc.Sev	prefix	14	17	D85	Grünfeld Defense: Exchange Variation, Modern Exchange Variation
A.Eng.Sym.Hdg	prefix	3	12	A30	English Opening: Symmetrical Variation
A.Eng.Rev.Bot	prefix	8	11	A25	English Opening: King's English Variation, Taimanov Variation
A.Eng.Mik	prefix	4	5	A17	English Opening: Anglo-Indian Defense, Hedgehog System
A.Ret.Ang	prefix	3	4	A09	Réti Opening
A.Ret.QGI	prefix	3	4	A09	Réti Opening
A.Hol.Fch	exact	3	3	A81	Dutch Defense: Fianchetto Attack
A.Hol.Sta	exact	3	3	A82	Dutch Defense: Staunton Gambit
A.Hol.Sto.Bot	exact	13	13	A93	Dutch Defense: Stonewall Variation, Botvinnik Variation
A.Hol.Cls.IZh	exact	14	14	A97	Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation
E.Ben.Old	exact	2	2	A43	Benoni Defense: Old Benoni
E.Ben.Mod.Fch	prefix	6	12	A60	Benoni Defense: Modern Variation
E.Ben.Mod.Fou	exact	13	13	A66	Benoni Defense: Pawn Storm Variation
E.Ben.Mod.Cls	prefix	11	15	A65	Benoni Defense: King's Pawn Line
D.Chi	exact	4	4	D07	Queen's Gambit Declined: Chigorin Defense
D.QGA.Cen	exact	5	5	D20	Queen's Gambit Accepted: Saduleto Variation
D.Sla.Sml	exact	10	10	D16	Slav Defense: Smyslov Variation
D.Sem.AMe.Shr	exact	13	13	D45	Semi-Slav Defense: Stoltz Variation, Shabalov Attack
D.Cat.Ope.Qa4.Ale	prefix	4	13	D30	Queen's Gambit Declined
D.Cat.Cls.Bot	prefix	4	15	D30	Queen's Gambit Declined
D.Cat.Cls.Rab	exact	16	16	E09	Catalan Opening: Closed Variation, Rabinovich Variation
D.QGD.Alt	exact	6	6	D31	Queen's Gambit Declined: Charousek Variation
E.Bog.Exc	exact	8	8	E11	Bogo-Indian Defense: Exchange Variation
E.Bog.Ret	exact	8	8	E11	Bogo-Indian Defense: Retreat Variation
E.Bog.Hai	exact	8	8	E11	Bogo-Indian Defense: Haiti Variation
E.QID.Kas	exact	7	7	E12	Queen's Indian Defense: Kasparov Variation
E.QID.Sps	exact	7	7	E14	Queen's Indian Defense: Spassky System
E.QID.Mod.Trd	prefix	8	9	E15	Queen's Indian Defense: Fianchetto Variation, Traditional Line
E.Nim.Rom	exact	7	7	E20	Nimzo-Indian Defense: Romanishin Variation
E.Nim.Spl	exact	7	7	E22	Nimzo-Indian Defense: Spielmann Variation
E.Nim.Mik	exact	7	7	E20	Nimzo-Indian Defense: Mikenas Attack
E.Nim.Cls.Ker	exact	12	12	E32	Nimzo-Indian Defense: Classical Variation, Keres Defense
E.Nim.Sml.Bot	prefix	7	12	E20	Nimzo-Indian Defense: Kmoch Variation
E.Gru.Thr	exact	8	8	D90	Grünfeld Defense: Three Knights Variation
E.Gru.Hng	exact	10	10	D83	Grünfeld Defense: Brinckmann Attack, Grünfeld Gambit
E.Gru.Exc.Sps	exact	16	16	D87	Grünfeld Defense: Exchange Variation, Spassky Variation
E.KID.Fch.Yug	prefix	7	12	E60	King's Indian Defense: Fianchetto Variation
E.KID.Fch.Uhl	exact	14	14	E62	King's Indian Defense: Fianchetto Variation, Uhlmann-Szabo System
E.KID.Sml.Byr	exact	14	14	E81	King's Indian Defense: Sämisch Variation, Byrne Defense
E.KID.Sml.Ort	exact	12	12	E85	King's Indian Defense: Sämisch Variation, Orthodox Variation
E.KID.Fou.Dyn	exact	13	13	E76	King's Indian Defense: Four Pawns Attack, Dynamic Attack
E.KID.Avk.Ben	exact	12	12	E74	King's Indian Defense: Averbakh Variation, Benoni Defense
A.Ret.Lis	exact	3	3	A04	Zukertort Opening: Lisitsyn Gambit
A.Hol.Hop	exact	3	3	A80	Dutch Defense: Hopton Attack
E.QID.Mil	exact	7	7	E12	Queen's Indian Defense: Miles Variation
B.Sic.Acc	exact	8	8	B32	Sicilian Defense: Accelerated Dragon
B.Sic.Acc.Mar	exact	9	9	B36	Sicilian Defense: Accelerated Dragon, Maróczy Bind
B.Sic.HAc	exact	4	4	B27	Sicilian Defense: Hyperaccelerated Dragon
B.Sic.Kal	exact	8	8	B32	Sicilian Defense: Löwenthal Variation
B.Sic.Loe	prefix	8	10	B32	Sicilian Defense: Löwenthal Variation
B.Sic.OKe	exact	4	4	B28	Sicilian Defense: O'Kelly Variation
B.Sic.Nim	exact	4	4	B29	Sicilian Defense: Nimzowitsch Variation
B.Sic.Pin	exact	10	10	B40	Sicilian Defense: Pin Variation
B.Sic.Dra.Cls	prefix	11	15	B70	Sicilian Defense: Dragon Variation, Classical Variation
B.Sic.Dra.Lev	exact	11	11	B71	Sicilian Defense: Dragon Variation, Levenfish Variation
B.Sic.Sch.Eng	prefix	8	11	B54	Sicilian Defense: Modern Variations, Main Line
B.Sic.Tay.Eng	prefix	10	11	B46	Sicilian Defense: Taimanov Variation
B.Sic.Kan.Mar	exact	9	9	B41	Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation
B.Fre.Adv.Mil	exact	11	11	C02	French Defense: Advance Variation, Milner-Barry Gambit
B.Fre.Win.Psn	prefix	12	13	C18	French Defense: Winawer Variation, Advance Variation
B.Fre.Tar.Ope	exact	6	6	C07	French Defense: Tarrasch Variation, Open System
B.Fre.Tar.Cls	exact	6	6	C05	French Defense: Tarrasch Variation, Closed Variation
B.CaK.Adv.Sht	prefix	7	9	B12	Caro-Kann Defense: Advance Variation, Short Variation
B.CaK.Adv.Tal	exact	7	7	B12	Caro-Kann Defense: Advance Variation, Tal Variation
B.CaK.Tar	exact	10	10	B15	Caro-Kann Defense: Tartakower Variation
B.CaK.Gur	exact	6	6	B15	Caro-Kann Defense: Gurgenidze System
B.Ale.Mod	exact	7	7	B04	Alekhine Defense: Modern Variation
B.Ale.Chs	exact	7	7	B02	Alekhine Defense: Two Pawns Attack, Lasker Variation
B.Ale.Bal	exact	7	7	B03	Alekhine Defense: Balogh Variation
B.Pir.Cze	exact	6	6	B07	Czech Defense
B.Mod.Tig	prefix	7	8	B06	Modern Defense: Pseudo-Austrian Attack
B.Mod.Pte	prefix	4	8	B06	Modern Defense
C.RyL.Ber.Rio	exact	10	10	C67	Ruy Lopez: Berlin Defense, Rio de Janeiro Variation
C.RyL.Exc.Alk	exact	14	14	C68	Ruy Lopez: Exchange Variation, Alekhine Variation
C.RyL.Mor.Opn.Dil	exact	22	22	C82	Ruy Lopez: Open, Dilworth Variation
C.RyL.Mor.Opn.Hwl	exact	17	17	C81	Ruy Lopez: Open, Howell Attack
C.RyL.Mor.Opn.Rig	exact	12	12	C80	Ruy Lopez: Open, Riga Variation
C.RyL.Mor.StD.Sie	exact	10	10	C74	Ruy Lopez: Morphy Defense, Modern Steinitz Defense, Siesta Variation
C.RyL.Mor.ClD	exact	8	8	C70	Ruy Lopez: Morphy Defense, Classical Defense Deferred
C.RyL.Mor.Fch	exact	8	8	C70	Ruy Lopez: Morphy Defense, Fianchetto Defense Deferred
C.RyL.Mor.Car	exact	8	8	C70	Ruy Lopez: Morphy Defense, Caro Variation
C.Ita.Giu.Grc	exact	11	11	C54	Italian Game: Classical Variation, Greco Gambit, Modern Line
C.Ita.Two.Ng5.Frt	exact	10	10	C57	Italian Game: Two Knights Defense, Fritz Variation
C.Ita.Two.Ng5.Lol	exact	11	11	C57	Italian Game: Two Knights Defense, Lolli Attack
C.KGm.Acc.Kie	exact	9	9	C39	King's Gambit Accepted: Kieseritzky Gambit
C.KGm.Acc.Muz	exact	9	9	C37	King's Gambit Accepted: Muzio Gambit, Wild Muzio Gambit
C.KGm.Acc.Bsh	exact	5	5	C33	King's Gambit Accepted: Bishop's Gambit
C.KGm.Acc.All	exact	9	9	C39	King's Gambit Accepted: Allgaier Gambit
C.KGm.Dec.Fal	exact	4	4	C31	King's Gambit Declined: Falkbeer Countergambit
C.Sco.Pot	prefix	8	11	C45	Scotch Game: Classical Variation
C.Sco.Gor.Dbl	exact	9	9	C44	Scotch Game: Göring Gambit, Double Pawn Sacrifice
C.Vie.Gbt.Fal	exact	6	6	C29	Vienna Game: Vienna Gambit, Main Line
C.Vie.Gbt.Hmp	prefix	5	9	C29	Vienna Game: Vienna Gambit
C.Vie.Cls	exact	5	5	C26	Vienna Game: Stanley Variation
C.Fou.Sco.Bel	exact	9	9	C47	Four Knights Game: Scotch Variation, Belgrade Gambit
C.Fou.Spa.Dbl	exact	8	8	C49	Four Knights Game: Spanish Variation, Double Spanish
C.Fou.Spa.Cls	exact	8	8	C48	Four Knights Game: Spanish Variation, Classical Variation
D.QGD.Jan	exact	6	6	D31	Queen's Gambit Declined: Janowski Variation
A.Kad	exact	1	1	A00	Kádas Opening
A.War	exact	1	1	A00	Ware Opening
A.VtK	exact	1	1	A00	Van't Kruijs Opening
