ocn1	canonical_name	name_basis	basis_rule
E.KID.Cls.Mar.MLn.Nd3	KID Mar del Plata Main Line, Nd3	review	review
E.KID.Cls.Pet.MLn.c5	KID Petrosian Main Line, c5	review	review
E.KID.Fch.Pan.MLn.b3	KID Fianchetto Panno Main Line, b3	review	review
E.KID.Fou.MLn.Cap	KID Four Pawns Main Line, Capture Line	review	review
E.Gru.Exc.Cla.MLn	Grünfeld Exchange Classical, Main Line	descriptor	editorial_leaf_token
E.Gru.Rus.Hng.Be2	Grünfeld Russian Hungarian, Be2 Line	review	review
E.QID.Mod.Fch.MLn	QID Modern Fianchetto, Main Line	descriptor	editorial_leaf_token
E.QID.Nim.Tim.MLn	QID Nimzowitsch Timman, Main Line	descriptor	editorial_leaf_token
E.Bog.Ret.Fch.MLn	Bogo-Indian Retreat Fianchetto, Main Line	descriptor	editorial_leaf_token
E.Ind.QID.MLn.e3	Accelerated Queen's Indian Main Line, e3	review	review
A.Ama.Par.MLn.Nf6	Amar Paris Main Line, Nf6	review	review
A.Sod.Dur.MLn.Nc6	Sodium Durkin Main Line, Nc6	review	review
A.Owe.Fch.MLn.Ne2	Owen Fianchetto Main Line, Ne2	review	review
A.VtK.FrD.MLn.Bd6	Van't Kruijs French Main Line, Bd6	review	review
A.VtK.Sic.MLn.Nf6	Van't Kruijs Sicilian Main Line, Nf6	review	review
A.Hor.Ker.MLn.a3	Horwitz Keres Main Line, a3	review	review
A.Hor.Fch.MLn.Nf3	Horwitz French Main Line, Nf3	review	review
A.And.Pol.MLn.e5	Anderssen Polish Main Line, e5	review	review
A.Clm.Spk.MLn.d5	Clemenz Spike Main Line, d5	review	review
A.Ret.KIA.MLn.e4.c5	Réti KIA Main Line, e4 c5	review	review
B.Nim.Ken.MLn.Nf3	Nimzowitsch Kennedy Main Line, Nf3	review	review
B.Nim.ScD.MLn.Nf3	Nimzowitsch Scandinavian Main Line, Nf3	review	review
B.Nim.Col.MLn.d4	Nimzowitsch Colorado Main Line, d4	review	review
B.Mod.Tig.MLn.e5	Modern Tiger Main Line, e5	review	review
B.Mod.Pte.MLn.Bc3	Modern Pterodactyl Main Line, Bc3	review	review
B.OwM.Mat.MLn.c3	Owen's Modern Matovinsky Main Line, c3	review	review
B.OwM.Eng.MLn.Bd3	Owen's Modern English Setup Main Line, Bd3	review	review
B.Sca.Mod.Mie.MLn.Bc4	Scandinavian Mieses-Kotrc Main Line, Bc4	review	review
B.Ale.Mod.KID.MLn.cxd6	Alekhine Modern King's Indian Main Line, cxd6	review	review
B.Pir.150.Arg.MLn.Lng	Pirc 150 Argentine Main Line, Long Castle	review	review
C.KPO.Kgt.MLn.a3	King's Knight Main Line, a3	review	review
C.KPO.Nap.MLn.Nf6	Napoleon Main Line, Nf6	review	review
C.KPO.Prt.MLn.c6	Portuguese Main Line, c6	review	review
C.Fou.Glk.MLn.Bg2	Four Knights Glek Main Line, Bg2	review	review
C.Fou.Sco.Bel.MLn.Nxd4	Belgrade Gambit Main Line, Nxd4	review	review
C.Fou.Spa.Rub.MLn.b5	Four Knights Rubinstein Main Line, b5	review	review
C.Sco.Gor.Nc3.MLn.Bd3	Scotch Göring Nc3 Main Line, Bd3	review	review
C.Sco.Gbt.Max.MLn.c3	Scotch Gambit Max Lange Main Line, c3	review	review
C.KGm.Dec.Cls.MLn.d4	King's Gambit Declined Classical Main Line, d4	review	review
C.KGm.Acc.Muz.Dbl.MLn.Nf6	Double Muzio Main Line, Nf6	review	review
D.Chi.MLn.e3.Nf6	Chigorin Main Line e3, Nf6	review	review
D.Chi.Exc.MLn.e3	Chigorin Exchange Main Line, e3	review	review
D.Tar.Cls.MLn.Re8	Tarrasch Classical Main Line, Re8	review	review
D.Tar.Prg.MLn.Nxd4	Tarrasch Prague Main Line, Nxd4	review	review
D.STa.Exc.MLn.Nxc3	Semi-Tarrasch Exchange Main Line, Nxc3	review	review
D.STa.Pil.MLn.Nxd4	Semi-Tarrasch Pillsbury Main Line, Nxd4	review	review
D.QGA.Old.MLn.exd4	QGA Old Main Line, exd4	review	review
D.QGA.Ale.MLn.Bb3	QGA Alekhine Main Line, Bb3	review	review
D.Cat.Ope.Qa4.MLn.c5	Open Catalan Qa4 Main Line, c5	review	review
D.Bgm.Dec.Lam.MLn.Qd2.e6	Blackmar-Diemer Lamb Qd2 Line, e6	review	review
E.QID.Nim.Tim.MLn.Nc3	QID Nimzowitsch Timman Main Line, Nc3	review	review
E.Bog.Ret.Fch.MLn.O-O	Bogo-Indian Retreat Fianchetto Main Line, O-O	review	review
E.Ind.QID.MLn.e3.Be7	Accelerated Queen's Indian e3 Line, Be7	review	review
E.KID.Cls.Mar.MLn.Nd3.f5	KID Mar del Plata Nd3 Line, f5	review	review
E.KID.Cls.Pet.MLn.c5.Na6	KID Petrosian c5 Line, Na6	review	review
E.KID.Fch.Pan.MLn.b3.Bd7	KID Fianchetto Panno b3 Line, Bd7	review	review
E.KID.Fou.MLn.Cap.fxe6	KID Four Pawns Capture Line, fxe6	review	review
E.Gru.Exc.Cla.MLn.O-O	Grünfeld Exchange Classical Main Line, O-O	review	review
E.Gru.Rus.Hng.Be2.Nc6	Grünfeld Russian Hungarian Be2 Line, Nc6	review	review
E.QID.Mod.Fch.MLn.d5	QID Modern Fianchetto Main Line, d5	review	review
A.Ama.Par.MLn.Nf6.d4.Nc6	Amar Paris d4 Line, Nc6	review	review
A.Sod.Dur.MLn.Nc6.g3.Nf6	Sodium Durkin g3 Line, Nf6	review	review
A.Owe.Fch.MLn.Ne2.a6.Bd3	Owen Fianchetto a6 Line, Bd3	review	review
A.VtK.FrD.MLn.Bd6.Bd3.Nf6	Van't Kruijs French Bd3 Line, Nf6	review	review
A.VtK.Sic.MLn.Nf6.Bg5.Be7	Van't Kruijs Sicilian Bg5 Line, Be7	review	review
A.Hor.Ker.MLn.a3.Bd6.e3	Horwitz Keres Bd6 Line, e3	review	review
A.Hor.Fch.MLn.Nf3.Be7.e3	Horwitz French Be7 Line, e3	review	review
A.And.Pol.MLn.e5.Bb2.Nf6	Anderssen Polish Bb2 Line, Nf6	review	review
A.Clm.Spk.MLn.d5.Bg2.Nf6	Clemenz Spike Bg2 Line, Nf6	review	review
A.Ret.KIA.MLn.e4.c5.b6	Réti KIA e4 c5 Line, b6	review	review
B.Nim.Ken.MLn.Nf3.d6.Nc3	Nimzowitsch Kennedy d6 Line, Nc3	review	review
B.Nim.ScD.MLn.Nf3.e6.Be2	Nimzowitsch Scandinavian e6 Line, Be2	review	review
B.Nim.Col.MLn.d4.Bxf5.Bd3	Nimzowitsch Colorado Bxf5 Line, Bd3	review	review
B.Mod.Tig.MLn.e5.Nd7.Bd3	Modern Tiger Nd7 Line, Bd3	review	review
B.Mod.Pte.MLn.Bc3.cxd4.Nxd4	Modern Pterodactyl cxd4 Line, Nxd4	review	review
B.OwM.Mat.MLn.c3.Nf6.Bg5	Owen's Modern Matovinsky Nf6 Line, Bg5	review	review
B.OwM.Eng.MLn.Bd3.Nf6.O-O	Owen's Modern English Nf6 Line, O-O	review	review
B.Sca.Mod.Mie.MLn.Bc4.e6	Scandinavian Mieses-Kotrc Bc4 Line, e6	review	review
B.Ale.Mod.KID.MLn.cxd6.Be2	Alekhine Modern KID cxd6 Line, Be2	review	review
B.Pir.150.Arg.MLn.Lng.Nbd7	Pirc 150 Argentine Long Castle, Nbd7	review	review
C.KPO.Nap.MLn.Nf6.Nc3.Bc5	Napoleon Nc3 Line, Bc5	review	review
C.KPO.Prt.MLn.c6.Ba4.d6	Portuguese Ba4 Line, d6	review	review
C.Fou.Glk.MLn.Bg2.dxe4.Nxe4	Four Knights Glek dxe4 Line, Nxe4	review	review
C.Fou.Sco.Bel.MLn.Nxd4.d6	Belgrade Gambit Nxd4 Line, d6	review	review
C.Fou.Spa.Rub.MLn.b5.Nxb5	Four Knights Rubinstein b5 Line, Nxb5	review	review
C.Sco.Gor.Nc3.MLn.Bd3.d6	Scotch Göring Bd3 Line, d6	review	review
C.Sco.Gbt.Max.MLn.c3.dxc3	Scotch Gambit Max Lange c3 Line, dxc3	review	review
C.KGm.Dec.Cls.MLn.d4.Bb6	King's Gambit Declined Classical d4 Line, Bb6	review	review
C.KGm.Acc.Muz.Coc.exd5.Nf6	Muzio Cochrane exd5 Line, Nf6	review	review
D.Chi.MLn.e3.Nf6.Nc3	Chigorin e3 Nf6 Line, Nc3	review	review
D.Chi.Exc.MLn.e3.Qd8.Nf3	Chigorin Exchange Qd8 Line, Nf3	review	review
D.Tar.Cls.MLn.Re8.Re1	Tarrasch Classical Re8 Line, Re1	review	review
D.Tar.Prg.MLn.Nxd4.Qb6	Tarrasch Prague Nxd4 Line, Qb6	review	review
D.STa.Exc.MLn.Nxc3.Qb3	Semi-Tarrasch Exchange Nxc3 Line, Qb3	review	review
D.STa.Pil.MLn.Nxd4.a6	Semi-Tarrasch Pillsbury Nxd4 Line, a6	review	review
D.QGA.Old.MLn.exd4.Be7	QGA Old exd4 Line, Be7	review	review
D.QGA.Ale.MLn.Bb3.e6	QGA Alekhine Bb3 Line, e6	review	review
D.Cat.Ope.Qa4.MLn.c5.dxc5	Open Catalan Qa4 c5 Line, dxc5	review	review
D.Bgm.Acc.Ryd.MLn.Be3.Qd6	Blackmar-Diemer Ryder Be3 Line, Qd6	review	review
E.QID.Nim.Tim.MLn.Nc3.d5	QID Timman Nc3 Line, d5	review	review
E.Bog.Ret.Fch.MLn.O-O.Nc3	Bogo-Indian Retreat O-O Line, Nc3	review	review
E.Ind.QID.MLn.e3.Be7.Be2	Accelerated Queen's Indian Be7 Line, Be2	review	review
E.KID.Cls.Mar.MLn.Nd3.c5	KID Mar del Plata Nd3 Line, c5	review	review
E.KID.Fch.Pan.MLn.b3.Re8	KID Fianchetto Panno b3 Line, Re8	review	review
E.KID.Fou.MLn.Cap.fxe6.Be3	KID Four Pawns fxe6 Line, Be3	review	review
E.Gru.Exc.Cla.MLn.O-O.Qc2	Grünfeld Exchange Classical O-O Line, Qc2	review	review
E.Gru.Rus.Hng.Be2.Nc6.h3	Grünfeld Russian Hungarian Nc6 Line, h3	review	review
E.QID.Mod.Fch.MLn.d5.Ne5	QID Modern Fianchetto d5 Line, Ne5	review	review
E.Nim.Rub.Tai.MLn.Qc2.c5	Nimzo Taimanov Qc2 Line, c5	review	review
A.Ama.Par.MLn.Nf6.d4	Amar Paris Nf6 Line, d4	review	review
A.Sod.Dur.MLn.Nc6.g3	Sodium Durkin Nc6 Line, g3	review	review
A.Owe.Fch.MLn.Ne2.a6	Owen Fianchetto Ne2 Line, a6	review	review
A.VtK.FrD.MLn.Bd6.Bd3	Van't Kruijs French Bd6 Line, Bd3	review	review
A.VtK.Sic.MLn.Nf6.Bg5	Van't Kruijs Sicilian Nf6 Line, Bg5	review	review
A.Hor.Ker.MLn.a3.Bd6	Horwitz Keres a3 Line, Bd6	review	review
A.Hor.Fch.MLn.Nf3.Be7	Horwitz French Nf3 Line, Be7	review	review
A.And.Pol.MLn.e5.Bb2	Anderssen Polish e5 Line, Bb2	review	review
A.Clm.Spk.MLn.d5.Bg2	Clemenz Spike d5 Line, Bg2	review	review
A.Ret.KIA.MLn.e4.c5.Nc6	Réti KIA e4 c5 Line, Nc6	review	review
B.Nim.Ken.MLn.Nf3.d6	Nimzowitsch Kennedy Nf3 Line, d6	review	review
B.Nim.ScD.MLn.Nf3.e6	Nimzowitsch Scandinavian Nf3 Line, e6	review	review
B.Nim.Col.MLn.d4.Bxf5	Nimzowitsch Colorado d4 Line, Bxf5	review	review
B.Mod.Tig.MLn.e5.Nd7	Modern Tiger e5 Line, Nd7	review	review
B.Mod.Pte.MLn.Bc3.cxd4	Modern Pterodactyl Bc3 Line, cxd4	review	review
B.OwM.Mat.MLn.c3.Nf6	Owen's Modern Matovinsky c3 Line, Nf6	review	review
B.OwM.Eng.MLn.Bd3.Nf6	Owen's Modern English Bd3 Line, Nf6	review	review
B.Sca.Mod.Mie.MLn.Bc4.Bg4	Scandinavian Mieses-Kotrc Bc4 Line, Bg4	review	review
B.Ale.Mod.KID.MLn.cxd6.Bg7	Alekhine Modern KID cxd6 Line, Bg7	review	review
B.Pir.150.Arg.MLn.Lng.a5	Pirc 150 Argentine Long Castle, a5	review	review
C.KPO.Kgt.MLn.a3.Nf6	King's Knight a3 Line, Nf6	review	review
C.KPO.Nap.MLn.Nf6.Nc3	Napoleon Nf6 Line, Nc3	review	review
C.KPO.Prt.MLn.c6.Ba4	Portuguese c6 Line, Ba4	review	review
C.Fou.Glk.MLn.Bg2.dxe4	Four Knights Glek Bg2 Line, dxe4	review	review
C.Fou.Sco.Bel.MLn.Nxd4.Bc5	Belgrade Gambit Nxd4 Line, Bc5	review	review
C.Fou.Spa.Rub.MLn.b5.Bb3	Four Knights Rubinstein b5 Line, Bb3	review	review
C.Sco.Gor.Nc3.MLn.Bd3.Nf6	Scotch Göring Bd3 Line, Nf6	review	review
C.Sco.Gbt.Max.MLn.c3.Nf6	Scotch Gambit Max Lange c3 Line, Nf6	review	review
C.KGm.Dec.Cls.MLn.d4.exd4	King's Gambit Declined Classical d4 Line, exd4	review	review
C.KGm.Acc.Muz.Coc.exd5	Muzio Cochrane Line, exd5	review	review
D.Chi.MLn.e3.Nf6.Be2	Chigorin e3 Nf6 Line, Be2	review	review
D.Chi.Exc.MLn.e3.Qd8	Chigorin Exchange e3 Line, Qd8	review	review
D.Tar.Cls.MLn.Re8.Be3	Tarrasch Classical Re8 Line, Be3	review	review
D.Tar.Prg.MLn.Nxd4.Be6	Tarrasch Prague Nxd4 Line, Be6	review	review
D.STa.Exc.MLn.Nxc3.bxc3	Semi-Tarrasch Exchange Nxc3 Line, bxc3	review	review
D.STa.Pil.MLn.Nxd4.Be7	Semi-Tarrasch Pillsbury Nxd4 Line, Be7	review	review
D.QGA.Old.MLn.exd4.Nf6	QGA Old exd4 Line, Nf6	review	review
D.QGA.Ale.MLn.Bb3.Nc6	QGA Alekhine Bb3 Line, Nc6	review	review
D.Cat.Ope.Qa4.MLn.c5.O-O	Open Catalan Qa4 c5 Line, O-O	review	review
D.Bgm.Acc.Ryd.MLn.Be3.Nc6	Blackmar-Diemer Ryder Be3 Line, Nc6	review	review
E.QID.Nim.Tim.MLn.Nc3.O-O	QID Timman Nc3 Line, O-O	review	review
E.Bog.Ret.Fch.MLn.O-O.d5	Bogo-Indian Retreat O-O Line, d5	review	review
E.Ind.QID.MLn.e3.Be7.Bd3	Accelerated Queen's Indian Be7 Line, Bd3	review	review
E.KID.Cls.Mar.MLn.Nd3.h6	KID Mar del Plata Nd3 Line, h6	review	review
E.KID.Cls.Pet.MLn.c5.c6	KID Petrosian c5 Line, c6	review	review
E.KID.Fch.Pan.MLn.b3.b5	KID Fianchetto Panno b3 Line, b5	review	review
E.KID.Fou.MLn.Cap.fxe6.Be2	KID Four Pawns fxe6 Line, Be2	review	review
E.Gru.Exc.Cla.MLn.O-O.e5	Grünfeld Exchange Classical O-O Line, e5	review	review
E.Gru.Rus.Hng.Be2.Nc6.O-O	Grünfeld Russian Hungarian Nc6 Line, O-O	review	review
E.QID.Mod.Fch.MLn.d5.cxd5	QID Modern Fianchetto d5 Line, cxd5	review	review
E.Ben.Mod.Cls.MLn.Re1	Modern Benoni Classical Main Line, Re1	review	review
E.Ben.Mod.Cls.MLn.h3	Modern Benoni Classical Main Line, h3	review	review
E.Ben.Mod.Fch.MLn.O-O	Modern Benoni Fianchetto Main Line, O-O	review	review
E.Ben.Mod.Fch.MLn.h3	Modern Benoni Fianchetto Main Line, h3	review	review
E.Ben.Mod.Fou.MLn.Be3	Modern Benoni Four Pawns Main Line, Be3	review	review
E.Ben.Mod.Fou.MLn.Bd3	Modern Benoni Four Pawns Main Line, Bd3	review	review
A.Eng.Sym.Hdg.MLn.b3	English Symmetrical Hedgehog Main Line, b3	review	review
A.Eng.Sym.Hdg.MLn.Qa4	English Symmetrical Hedgehog Main Line, Qa4	review	review
A.Eng.Sym.Rub.MLn.Be2	English Symmetrical Rubinstein Main Line, Be2	review	review
A.Eng.Rev.Fou.MLn.Bg2	English Reversed Four Knights Main Line, Bg2	review	review
B.Sic.Cls.Rch.MLn.Kb1	Sicilian Classical Richter-Rauzer Main Line, Kb1	review	review
B.Sic.Cls.Bol.MLn.Be3	Sicilian Classical Boleslavsky Main Line, Be3	review	review
B.Fre.Tar.Cls.MLn.Ngf3	French Tarrasch Classical Main Line, Ngf3	review	review
B.Sic.Clo.Fch.MLn.Nge2	Closed Sicilian Fianchetto Main Line, Nge2	review	review
B.Sic.Naj.Eng.MLn.f3	Sicilian Najdorf English Attack Main Line, f3	review	review
B.Sic.Naj.Pol.MLn.Qf3	Sicilian Najdorf Poisoned Pawn Main Line, Qf3	review	review
B.Sic.Dra.Yug.Sol.MLn.Bb3	Sicilian Dragon Yugoslav Soltis Main Line, Bb3	review	review
B.Sic.Dra.Cls.Nrm.MLn.Qd2	Sicilian Dragon Classical Normal Main Line, Qd2	review	review
B.Sic.Acc.Mar.MLn.Be3	Accelerated Dragon Maróczy Main Line, Be3	review	review
B.Fre.Win.Psn.MLn.Nf3	French Winawer Poisoned Pawn Main Line, Nf3	review	review
C.RyL.Mor.Opn.Rig.MLn.Re1	Ruy López Open Riga Main Line, Re1	review	review
C.RyL.Exc.Alk.MLn.Nc3	Ruy López Exchange Alekhine Main Line, Nc3	review	review
C.Ita.Giu.Cls.MLn.Nc3	Italian Giuoco Piano Classical Main Line, Nc3	review	review
C.Ita.Evn.Dec.MLn.O-O	Evans Gambit Declined Main Line, O-O	review	review
C.Ita.Pia.Nf6.MLn.Re1	Italian Pianissimo Nf6 Main Line, Re1	review	review
C.Pet.Mod.Stn.MLn.Re1	Petroff Modern Steinitz Main Line, Re1	review	review
C.Sco.Mie.Pot.MLn.Kb1	Scotch Mieses Potter Main Line, Kb1	review	review
C.Cen.Dsh.Acc.MLn.Nxc3	Danish Gambit Accepted Main Line, Nxc3	review	review
C.Bsh.Urs.Kei.MLn.Re1	Urusov Gambit Keidansky Main Line, Re1	review	review
C.Vie.Gbt.Fal.MLn.Nf3	Vienna Gambit Falkbeer Main Line, Nf3	review	review
D.QGD.Ort.Rub.MLn.Re1	QGD Orthodox Rubinstein Main Line, Re1	review	review
D.QGD.Ort.Cap.MLn.O-O	QGD Orthodox Capablanca Main Line, O-O	review	review
D.QGD.Tar.Mak.MLn.Re1	QGD Tartakower Makogonov Main Line, Re1	review	review
D.QGD.Lsk.Te7.MLn.O-O	QGD Lasker Te7 Main Line, O-O	review	review
D.Sla.Exc.MLn.e3.Nf3	Slav Exchange e3 Line, Nf3	review	review
D.Sem.Mer.Rab.MLn.O-O	Semi-Slav Meran Rabinovich Main Line, O-O	review	review
D.Sem.Bg5.AMo.MLn.Be2	Semi-Slav Anti-Moscow Main Line, Be2	review	review
D.QGA.Cls.Rub.MLn.Qe2	QGA Classical Rubinstein Main Line, Qe2	review	review
D.Cat.Ope.Yug.MLn.Qxc4	Open Catalan Yugoslav Main Line, Qxc4	review	review
D.QPG.Zuk.Col.MLn.O-O	Zukertort Colle Main Line, O-O	review	review
E.Nim.Rub.Hub.MLn.O-O	Nimzo-Indian Rubinstein Hübner Main Line, O-O	review	review
E.Nim.Sml.Bot.MLn.Bd3	Nimzo-Indian Sämisch Botvinnik Main Line, Bd3	review	review
E.KID.Sml.Ort.MLn.Qd2	KID Sämisch Orthodox Main Line, Qd2	review	review
E.KID.Sml.Ort.d5.Nge2	KID Sämisch Orthodox d5 Line, Nge2	review	review
E.KID.Fch.Yug.MLn.d5	KID Fianchetto Yugoslav Main Line, d5	review	review
E.KID.Cls.Mar.MLn.f3	KID Mar del Plata Main Line, f3	review	review
E.KID.Cls.Pet.MLn.Ne1	KID Petrosian Main Line, Ne1	review	review
E.KID.Fch.Pan.MLn.e4	KID Fianchetto Panno Main Line, e4	review	review
E.QID.Pet.Kas.MLn.Nc3	QID Petrosian Kasparov Main Line, Nc3	review	review
E.Bud.Adl.MLn.e3.Be2	Budapest Adler e3 Line, Be2	review	review
E.Ben.Mod.Cls.MLn.Re1.Nbd7	Modern Benoni Classical Re1 Line, Nbd7	review	review
E.Ben.Mod.Cls.MLn.h3.Re8	Modern Benoni Classical h3 Line, Re8	review	review
E.Ben.Mod.Fch.MLn.O-O.Nbd7	Modern Benoni Fianchetto O-O Line, Nbd7	review	review
E.Ben.Mod.Fch.MLn.h3.Re8	Modern Benoni Fianchetto h3 Line, Re8	review	review
E.Ben.Mod.Fou.MLn.Be3.Re8	Modern Benoni Four Pawns Be3 Line, Re8	review	review
E.Ben.Mod.Fou.MLn.Bd3.Na6	Modern Benoni Four Pawns Bd3 Line, Na6	review	review
A.Eng.Sym.Hdg.MLn.b3.O-O	English Symmetrical Hedgehog b3 Line, O-O	review	review
A.Eng.Sym.Hdg.MLn.Qa4.O-O	English Symmetrical Hedgehog Qa4 Line, O-O	review	review
A.Eng.Sym.Rub.MLn.Be2.O-O	English Symmetrical Rubinstein Be2 Line, O-O	review	review
A.Eng.Rev.Fou.MLn.Bg2.Nb6	English Reversed Four Knights Bg2 Line, Nb6	review	review
B.Sic.Cls.Rch.MLn.Kb1.Bd7	Sicilian Classical Richter-Rauzer Kb1 Line, Bd7	review	review
B.Sic.Cls.Bol.MLn.Be3.Be6	Sicilian Classical Boleslavsky Be3 Line, Be6	review	review
B.Fre.Tar.Cls.MLn.Ngf3.c5	French Tarrasch Classical Ngf3 Line, c5	review	review
B.Sic.Clo.Fch.MLn.Nge2.e6	Closed Sicilian Fianchetto Nge2 Line, e6	review	review
B.Sic.Naj.Eng.MLn.f3.Nbd7	Sicilian Najdorf English Attack f3 Line, Nbd7	review	review
B.Sic.Naj.Pol.MLn.Qf3.Bb7	Sicilian Najdorf Poisoned Pawn Qf3 Line, Bb7	review	review
B.Sic.Dra.Yug.Sol.MLn.h4	Sicilian Dragon Yugoslav Soltis Main Line, h4	review	review
B.Sic.Dra.Cls.Nrm.MLn.h4	Sicilian Dragon Classical Normal Main Line, h4	review	review
B.Sic.Acc.Mar.MLn.Be3.Be6	Accelerated Dragon Maróczy Be3 Line, Be6	review	review
B.Fre.Win.Psn.MLn.Nf3.Nbc6	French Winawer Poisoned Pawn Nf3 Line, Nbc6	review	review
C.RyL.Mor.Opn.Rig.MLn.c3	Ruy López Open Riga Main Line, c3	review	review
C.Ita.Evn.Dec.MLn.O-O.d6	Evans Gambit Declined O-O Line, d6	review	review
C.Ita.Pia.Nf6.MLn.Re1.a6	Italian Pianissimo Re1 Line, a6	review	review
C.Pet.Mod.Stn.MLn.Re1.Be7	Petroff Modern Steinitz Re1 Line, Be7	review	review
C.Sco.Mie.Pot.MLn.Kb1.Re8	Scotch Mieses Potter Kb1 Line, Re8	review	review
C.Cen.Dsh.Acc.MLn.Nxc3.Nf6	Danish Gambit Accepted Nxc3 Line, Nf6	review	review
C.Bsh.Urs.Kei.MLn.Re1.Be7	Urusov Gambit Keidansky Re1 Line, Be7	review	review
C.Vie.Gbt.Fal.MLn.Nf3.Be7	Vienna Gambit Falkbeer Nf3 Line, Be7	review	review
D.QGD.Ort.Rub.MLn.Re1.cxd4	QGD Orthodox Rubinstein Re1 Line, cxd4	review	review
D.QGD.Ort.Cap.MLn.O-O.b5	QGD Orthodox Capablanca O-O Line, b5	review	review
D.QGD.Tar.Mak.MLn.Re1.Nbd7	QGD Tartakower Makogonov Re1 Line, Nbd7	review	review
D.QGD.Lsk.Te7.MLn.O-O.Bg4	QGD Lasker Te7 O-O Line, Bg4	review	review
D.Sla.Exc.MLn.e3.Nf3.e6	Slav Exchange Nf3 Line, e6	review	review
D.Sem.Mer.Rab.MLn.O-O.c5	Semi-Slav Meran Rabinovich O-O Line, c5	review	review
D.Sem.Bg5.AMo.MLn.Be2.Nbd7	Semi-Slav Anti-Moscow Be2 Line, Nbd7	review	review
D.QGA.Cls.Rub.MLn.Qe2.Be7	QGA Classical Rubinstein Qe2 Line, Be7	review	review
D.Cat.Ope.Yug.MLn.Qxc4.b5	Open Catalan Yugoslav Qxc4 Line, b5	review	review
D.QPG.Zuk.Col.MLn.O-O.Bd6	Zukertort Colle O-O Line, Bd6	review	review
E.Nim.Rub.Hub.MLn.O-O.O-O	Nimzo-Indian Hübner O-O Line, O-O	review	review
E.Nim.Sml.Bot.MLn.Bd3.Nc6	Nimzo-Indian Sämisch Botvinnik Bd3 Line, Nc6	review	review
E.KID.Sml.Ort.MLn.Qd2.exd4	KID Sämisch Orthodox Qd2 Line, exd4	review	review
E.KID.Sml.Ort.d5.Nge2.a5	KID Sämisch Orthodox Nge2 Line, a5	review	review
E.KID.Fch.Yug.MLn.d5.Ne5	KID Fianchetto Yugoslav d5 Line, Ne5	review	review
E.KID.Cls.Mar.MLn.f3.f5	KID Mar del Plata f3 Line, f5	review	review
E.KID.Fch.Pan.MLn.e4.e5	KID Fianchetto Panno e4 Line, e5	review	review
E.Bud.Adl.MLn.e3.Be2.Re8	Budapest Adler Be2 Line, Re8	review	review
B.Sic.Sve.Nd5.Qa5.Bd2	Sveshnikov Nd5 Qa5 Line, Bd2	review	review
C.Ita.Two.Ng5.Trx.Bxf7	Traxler Counterattack, Bxf7	review	review
C.Ita.Two.Ng5.Feg.Kxf7	Fried Liver Attack, Kxf7	review	review
C.Ita.Two.Ng5.Ulv.Bxb5	Ulvestad Variation, Bxb5	review	review
C.Ita.Two.Ng5.Pol.Bb5	Polerio Defence, Bb5	review	review
D.Cat.Ope.Qa4.Ale.Be7	Catalan Open Qa4 Alekhine Line, Be7	review	review
C.RyL.Mor.Opn.Dil.Rxf2	Ruy López Open Dilworth Line, Rxf2	review	review
C.RyL.Mor.Opn.Hwl.Nc5	Ruy López Open Howell Line, Nc5	review	review
C.RyL.Mor.StD.Sie.exf5	Modern Steinitz Siesta Line, exf5	review	review
C.Ita.Two.Ng5.Frt.c3	Fritz Variation, c3	review	review
C.Ita.Two.Ng5.Lol.exd4	Lolli Attack, exd4	review	review
C.Ita.Evn.Acc.Stn.O-O	Evans Accepted Steinitz Line, O-O	review	review
C.RyL.Mor.Ark.Ctr.Nxe4	Ruy López Arkhangelsk c3 Line, Nxe4	review	review
B.Sic.Dra.Yug.Chn.Bb3	Chinese Dragon, Bb3	review	review
C.RyL.Mor.Ark.Qe2.d6	Ruy López Arkhangelsk Qe2 Line, d6	review	review
C.RyL.Mor.NeA.Ctr.d6	Neo-Arkhangelsk c3 Line, d6	review	review
C.Ita.Evn.Acc.Mor.d6	Evans Accepted Morphy Attack, d6	review	review
C.Ita.Two.Ng5.Nxd.d3	Two Knights Nxd5 Main Line, d3	review	review
D.Cat.Cls.Qc2.Btr.Bb7	Closed Catalan Qc2 b3 Line, Bb7	review	review
D.Cat.Ope.Bb4.Mod.O-O	Open Catalan Bb4 Modern Line, O-O	review	review
E.Nim.Cls.Zur.Mil.e3	Nimzo Classical Zurich Milner-Barry Line, e3	review	review
E.KID.Cls.Byn.Nd2.a5	KID Bayonet Nd2 Line, a5	review	review
B.Sic.Cls.Rch.Lip.Bd7	Richter-Rauzer Lipnitsky Line, Bd7	review	review
B.Sic.Cls.Rch.Psn.O-O-O	Richter-Rauzer Poisoned Pawn, O-O-O	review	review
B.Sic.Cls.Rch.Drg.O-O-O	Richter-Rauzer Dragon Setup, O-O-O	review	review
B.Sic.Cls.Rch.Bc4.Be7	Richter-Rauzer Bc4 Line, Be7	review	review
B.Sic.Cls.Soz.Vel.O-O	Sicilian Sozin Velimirovic Line, O-O	review	review
B.Sic.Cls.Soz.Fis.O-O	Sicilian Sozin Fischer Line, O-O	review	review
B.Sic.Dra.Cls.Ams.Be6	Classical Dragon Amsterdam Line, Be6	review	review
E.Ben.Mod.Cls.Nd2.Re8	Modern Benoni Classical Nd2 Line, Re8	review	review
