ocn1	relation	subject_type	subject_id	date	games	source_ref	evidence_grade	note
C.Pet.Mod.Stn.Bb5	renamed	name	Russian Game: Modern Attack, Tal Gambit	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Modern Attack, Tal Gambit' on 2024-06-12
C.Pet.Mod.Stn.Qe2	renamed	name	Russian Game: Modern Attack, Steinitz Variation	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Modern Attack, Steinitz Variation' on 2024-06-12
C.Pet.Mod.Stn.Qxd4	renamed	name	Russian Game: Modern Attack, Center Attack	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Modern Attack, Center Attack' on 2024-06-12
C.Pet.Mod.d5	renamed	name	Russian Game: Modern Attack, Symmetrical Variation	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Modern Attack, Symmetrical Variation' on 2024-06-12
C.Pet.Mod.exd4	renamed	name	Russian Game: Modern Attack	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Modern Attack' on 2024-06-12
C.Pet.Nxe5	renamed	name	Russian Game	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense' on 2024-06-12
C.Pet.Nxe5.Nxe4	renamed	name	Russian Game: Damiano Variation	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Damiano Variation' on 2024-06-12
C.Pet.Nxe5.Nxe4.Qe2	renamed	name	Russian Game: Damiano Variation, Kholmov Gambit	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Damiano Variation, Kholmov Gambit' on 2024-06-12
C.Pet.Nxe5.d6	renamed	name	Russian Game	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense' on 2024-06-12
C.Pet.Nxe5.d6.Nc4	renamed	name	Russian Game: Paulsen Attack	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Paulsen Attack' on 2024-06-12
C.Pet.Nxe5.d6.Nd3	renamed	name	Russian Game: Karklins-Martinovsky Variation	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Karklins-Martinovsky Variation' on 2024-06-12
C.Pet.Nxe5.d6.Nf3	renamed	name	Russian Game	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense' on 2024-06-12
C.Pet.Nxe5.d6.Nf3.Nxe4	renamed	name	Russian Game	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense' on 2024-06-12
C.Pet.Nxe5.d6.Nf3.Nxe4.Bd3	renamed	name	Russian Game: Millennium Attack	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Millennium Attack' on 2024-06-12
C.Pet.Nxe5.d6.Nf3.Nxe4.Nc3	renamed	name	Russian Game: Nimzowitsch Attack	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Nimzowitsch Attack' on 2024-06-12
C.Pet.Nxe5.d6.Nf3.Nxe4.Nf6	renamed	name	Russian Game: Classical Attack, Closed Variation	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Classical Attack, Closed Variation' on 2024-06-12
C.Pet.Nxe5.d6.Nf3.Nxe4.Qe2	renamed	name	Russian Game: Cozio Attack	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Cozio Attack' on 2024-06-12
C.Pet.Nxe5.d6.Nf3.Nxe4.c4	renamed	name	Russian Game: Kaufmann Attack	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Kaufmann Attack' on 2024-06-12
C.Pet.Nxe5.d6.Nf3.Nxe4.d3	renamed	name	Russian Game: French Attack	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: French Attack' on 2024-06-12
C.Pet.Nxe5.d6.Nf3.Nxe4.d4	renamed	name	Russian Game: Classical Attack	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Classical Attack' on 2024-06-12
C.Pet.Qe2	renamed	name	Russian Game: Moody Gambit	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Moody Gambit' on 2024-06-12
C.Pet.Stf	renamed	name	Russian Game: Stafford Gambit	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Stafford Gambit' on 2024-06-12
C.Pet.Stf.MLn	renamed	name	Russian Game: Stafford Gambit	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Stafford Gambit' on 2024-06-12
C.Pet.Thr	renamed	name	Russian Game: Three Knights Game	2024-06-12		lichess-org/chess-openings, commit b088bdd5a by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested	renamed to 'Petrov's Defense: Three Knights Game' on 2024-06-12
A.Egl.Cha	renamed	name	Englund Gambit Complex: Hartlaub-Charlick Gambit	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit: Hartlaub-Charlick Gambit' on 2024-07-04
A.Egl.Dec	renamed	name	Englund Gambit Complex Declined	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit Declined' on 2024-07-04
A.Egl.Dec.Die	renamed	name	Englund Gambit Complex Declined: Diemer Counterattack	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit Declined: Diemer Counterattack' on 2024-07-04
A.Egl.Har	renamed	name	Englund Gambit Complex: Englund Gambit	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit: Main Line' on 2024-07-04
A.Egl.Har.Sto	renamed	name	Englund Gambit Complex: Stockholm Variation	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit: Stockholm Variation' on 2024-07-04
A.Egl.dxe5.Nc6.Nf3.Bc5	renamed	name	Englund Gambit Complex: Felbecker Gambit	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit: Felbecker Gambit' on 2024-07-04
A.Egl.dxe5.Nc6.Nf3.Nge7	renamed	name	Englund Gambit Complex: Zilbermints Gambit	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit: Zilbermints Gambit' on 2024-07-04
A.Egl.dxe5.Nc6.Nf3.f6	renamed	name	Englund Gambit Complex: Soller Gambit Deferred	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit: Soller Gambit Deferred' on 2024-07-04
A.Egl.dxe5.Qh4	renamed	name	Englund Gambit Complex: Mosquito Gambit	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit: Mosquito Gambit' on 2024-07-04
A.Egl.dxe5.f6	renamed	name	Englund Gambit Complex: Soller Gambit	2024-07-04		lichess-org/chess-openings, pull request #182 'Fix https://github.com/lichess-org/lila/issues/15592' by fynsta: https://github.com/lichess-org/chess-openings/pull/182	attested	renamed to 'Englund Gambit: Soller Gambit' on 2024-07-04
A.Mie.Ven	renamed	name	Venezolana Opening	2024-07-10		lichess-org/chess-openings, pull request #185 'Small improvements' by Malorra: https://github.com/lichess-org/chess-openings/pull/185	attested	renamed to 'Mieses Opening: Venezolana Variation' on 2024-07-10
A.War.e5.h4	renamed	name	Crab Opening	2024-07-10		lichess-org/chess-openings, pull request #185 'Small improvements' by Malorra: https://github.com/lichess-org/chess-openings/pull/185	attested	renamed to 'Ware Opening: Crab Variation' on 2024-07-10
B.Sic.SmM.Acc.Chi	renamed	name	Sicilian Defense: Smith-Morra Gambit, Chicago Defense	2024-12-08		lichess-org/chess-openings, pull request #214 'Small improvements in the Smith-Morra Gambit' by Malorra: https://github.com/lichess-org/chess-openings/pull/214	attested	renamed to 'Sicilian Defense: Smith-Morra Gambit Accepted, Chicago Defense' on 2024-12-08
B.Sic.SmM.Acc.Nf3	renamed	name	Sicilian Defense: Smith-Morra Gambit, Danish Variation	2024-12-08		lichess-org/chess-openings, pull request #214 'Small improvements in the Smith-Morra Gambit' by Malorra: https://github.com/lichess-org/chess-openings/pull/214	attested	renamed to 'Sicilian Defense: Smith-Morra Gambit Accepted, Danish Variation' on 2024-12-08
C.KGm.Acc.Vil	renamed	name	King's Gambit Accepted: Polerio Gambit	2024-12-12		lichess-org/chess-openings, pull request #215 'Correction for King's Gambit Accepted: Villemson Gambit' by seccohazy: https://github.com/lichess-org/chess-openings/pull/215	attested	renamed to 'King's Gambit Accepted: Villemson Gambit' on 2024-12-12
E.Nim.Rub	renamed	name	Nimzo-Indian Defense: Normal Line	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: Rubinstein System' on 2025-01-09
E.Nim.Rub.Cls	renamed	name	Nimzo-Indian Defense: Normal Variation, Bishop Attack, Classical Defense	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: Normal Variation, Classical Defense' on 2025-01-09
E.Nim.Rub.Flo	renamed	name	Nimzo-Indian Defense: Normal Variation, Bronstein (Byrne) Variation	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: St. Petersburg Variation, Fischer Variation' on 2025-01-09
E.Nim.Rub.Hub.MLn	renamed	name	Nimzo-Indian Defense: Hübner Variation, Main Line	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: Rubinstein System, Hübner Variation' on 2025-01-09
E.Nim.Rub.Res	renamed	name	Nimzo-Indian Defense: Normal Variation, Bishop Attack	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: Normal Variation' on 2025-01-09
E.Nim.Rub.Tai	renamed	name	Nimzo-Indian Defense: Normal Variation, Taimanov Variation	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: Rubinstein System, Taimanov Variation' on 2025-01-09
E.Nim.Rub.c5	renamed	name	Nimzo-Indian Defense: Hübner Variation	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: Rubinstein System' on 2025-01-09
E.Nim.Rub.c5.Ne2	renamed	name	Nimzo-Indian Defense: Hübner Variation, Rubinstein Variation	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: Rubinstein System, Rubinstein Variation' on 2025-01-09
E.Nim.Rub.c5.Ne2.a3	renamed	name	Nimzo-Indian Defense: Hübner Variation, Rubinstein Variation, Main Line	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: Rubinstein System, Rubinstein Variation, Main Line' on 2025-01-09
E.Nim.Rub.c5.Ne2.c5	renamed	name	Nimzo-Indian Defense: Hübner Variation, Rubinstein Variation, Sherbakov Attack	2025-01-09		lichess-org/chess-openings, pull request #219 'Corrections and additions in the Nimzo-Indian Defense' by seccohazy: https://github.com/lichess-org/chess-openings/pull/219	attested	renamed to 'Nimzo-Indian Defense: Rubinstein System, Rubinstein Variation, Sherbakov Attack' on 2025-01-09
B.Sic.Ros.Brt	renamed	name	Sicilian Defense: Rossolimo Variation, Brooklyn Retreat Defense	2025-02-03		lichess-org/chess-openings, pull request #220 'Consistency in the Nyezhmetdinov-Rossolimo Attack' by xaverh: https://github.com/lichess-org/chess-openings/pull/220	attested	renamed to 'Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Brooklyn Retreat Defense' on 2025-02-03
B.OwM.Gua	renamed	name	Guatemala Defense	2025-02-08		lichess-org/chess-openings, pull request #221 'Guatemala Defense is part of Owen Defense' by Malorra: https://github.com/lichess-org/chess-openings/pull/221	attested	renamed to 'Owen Defense: Guatemala Defense' on 2025-02-08
A.QPO.Nf6.f3.d5.g4	renamed	name	Indian Defense: Gedult Attack, Gedult Attack	2025-05-15		lichess-org/chess-openings, pull request #230 'Change Gedult Attack, Gedult Attack to Gedult Attack' by tigerros: https://github.com/lichess-org/chess-openings/pull/230	attested	renamed to 'Indian Defense: Gedult Attack' on 2025-05-15
B.Fre.Tar.Gui.Thb	renamed	name	French Defense: Guimard Variation, Thunderbunny Variation	2025-05-26		lichess-org/chess-openings, pull request #235 'French Defense Classical fixes, add Shirov-Anand Variation' by seccohazy: https://github.com/lichess-org/chess-openings/pull/235	attested	renamed to 'French Defense: Tarrasch Variation, Guimard Defense, Thunderbunny Variation' on 2025-05-26
B.Sic.Tay.Nc3	renamed	name	Sicilian Defense: Taimanov Variation, Normal Variation	2025-08-09		lichess-org/chess-openings, pull request #244 'B45 fixes' by jdart1: https://github.com/lichess-org/chess-openings/pull/244	attested	renamed to 'Sicilian Defense: Taimanov Variation' on 2025-08-09
B.Sic.Tay.Nc3.Nf6.Ndb5.Bb4	renamed	name	Sicilian Defense: Taimanov Variation, American Attack	2025-08-09		lichess-org/chess-openings, pull request #244 'B45 fixes' by jdart1: https://github.com/lichess-org/chess-openings/pull/244	attested	renamed to 'Sicilian Defense: Four Knights Variation, American Attack' on 2025-08-09
C.RyL.Ber.d3.Bc5.Be3	renamed	name	Ruy Lopez: Berlin Defense, Kaufmann Variation	2025-12-13		lichess-org/chess-openings, pull request #268 'Added a C18, C54, and some C65 lines' by Chess4757: https://github.com/lichess-org/chess-openings/pull/268	attested	renamed to 'Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Kaufmann Variation' on 2025-12-13
C.RyL.Ber.d3.Ne7	renamed	name	Ruy Lopez: Berlin Defense, Mortimer Variation	2025-12-13		lichess-org/chess-openings, pull request #268 'Added a C18, C54, and some C65 lines' by Chess4757: https://github.com/lichess-org/chess-openings/pull/268	attested	renamed to 'Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Mortimer Variation' on 2025-12-13
C.RyL.Ber.d3.Ne7.Nxe5.c6	renamed	name	Ruy Lopez: Berlin Defense, Mortimer Trap	2025-12-13		lichess-org/chess-openings, pull request #268 'Added a C18, C54, and some C65 lines' by Chess4757: https://github.com/lichess-org/chess-openings/pull/268	attested	renamed to 'Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Mortimer Trap' on 2025-12-13
C.RyL.Ber.d3.d6.Bxc6	renamed	name	Ruy Lopez: Berlin Defense, Anderssen Variation	2025-12-13		lichess-org/chess-openings, pull request #268 'Added a C18, C54, and some C65 lines' by Chess4757: https://github.com/lichess-org/chess-openings/pull/268	attested	renamed to 'Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Anderssen Variation' on 2025-12-13
C.RyL.Ber.d3.d6.c4	renamed	name	Ruy Lopez: Berlin Defense, Duras Variation	2025-12-13		lichess-org/chess-openings, pull request #268 'Added a C18, C54, and some C65 lines' by Chess4757: https://github.com/lichess-org/chess-openings/pull/268	attested	renamed to 'Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Duras Variation' on 2025-12-13
B.Sic.Cze	renamed	name	Sicilian Defense: Snyder Variation	2026-01-20		lichess-org/chess-openings, pull request #287 'Snyder Variation -> Czerniak Attack' by LesCyclopes: https://github.com/lichess-org/chess-openings/pull/287	attested	renamed to 'Sicilian Defense: Westerinen Attack' on 2026-01-20
B.Sic.Cze.QFn	renamed	name	Sicilian Defense: Snyder Variation, Queen Fianchetto Variation	2026-01-20		lichess-org/chess-openings, pull request #287 'Snyder Variation -> Czerniak Attack' by LesCyclopes: https://github.com/lichess-org/chess-openings/pull/287	attested	renamed to 'Sicilian Defense: Westerinen Attack, Queen Fianchetto Variation' on 2026-01-20
B.Sic.Dra.Be3.Nc6	renamed	name	Sicilian Defense: Dragon Variation, Wing Attack	2026-01-20		lichess-org/chess-openings, pull request #284 'Sicilian Defense: Dragon Variation, Hungarian Dragon' by LesCyclopes: https://github.com/lichess-org/chess-openings/pull/284	attested	renamed to 'Sicilian Defense: Dragon Variation, Hungarian Variation' on 2026-01-20
B.Sic.Dra.Be3.Nc6	renamed	name	Sicilian Defense: Dragon Variation, Hungarian Variation	2026-01-20		lichess-org/chess-openings, pull request #284 'Sicilian Defense: Dragon Variation, Hungarian Dragon' by LesCyclopes: https://github.com/lichess-org/chess-openings/pull/284	attested	renamed to 'Sicilian Defense: Dragon Variation, Yugoslav Attack, Hungarian Dragon' on 2026-01-20
B.Sic.HAc.d4	renamed	name	Sicilian Defense: Hyperaccelerated Fianchetto	2026-01-25		lichess-org/chess-openings, pull request #290 'Hyperaccelerated Fianchetto -> Hyperaccelerated Dragon' by LesCyclopes: https://github.com/lichess-org/chess-openings/pull/290	attested	renamed to 'Sicilian Defense: Hyperaccelerated Dragon' on 2026-01-25
B.Sic.Cze	renamed	name	Sicilian Defense: Westerinen Attack	2026-01-28		lichess-org/chess-openings, pull request #287 'Snyder Variation -> Czerniak Attack' by LesCyclopes: https://github.com/lichess-org/chess-openings/pull/287	attested	renamed to 'Sicilian Defense: Czerniak Attack' on 2026-01-28
B.Sic.Cze.QFn	renamed	name	Sicilian Defense: Westerinen Attack, Queen Fianchetto Variation	2026-01-28		lichess-org/chess-openings, pull request #287 'Snyder Variation -> Czerniak Attack' by LesCyclopes: https://github.com/lichess-org/chess-openings/pull/287	attested	renamed to 'Sicilian Defense: Czerniak Attack, Queen Fianchetto Variation' on 2026-01-28
D.Sem.Bg5.Mos.Hst	renamed	name	Queen's Gambit Declined: Hastings Variation	2026-01-29		lichess-org/chess-openings, pull request #292 'Added D36, D53, D41, and D43 lines' by Chess4757: https://github.com/lichess-org/chess-openings/pull/292	attested	renamed to 'Semi-Slav Defense: Hastings Variation' on 2026-01-29
E.KID.Sml.Cst.Bg5.c5.Bf4	renamed	name	King's Indian Defense: Sämisch Variation, with Bg5	2026-03-27		lichess-org/chess-openings, pull request #304 'Added E57, E88, E81 and E71 lines' by Chess4757: https://github.com/lichess-org/chess-openings/pull/304	attested	renamed to 'King's Indian Defense: Steiner Attack' on 2026-03-27
E.KID.Sml.Cst.Bg5.c5.Bxh6	renamed	name	King's Indian Defense: Sämisch Variation, with Bg5	2026-03-27		lichess-org/chess-openings, pull request #304 'Added E57, E88, E81 and E71 lines' by Chess4757: https://github.com/lichess-org/chess-openings/pull/304	attested	renamed to 'King's Indian Defense: Steiner Attack' on 2026-03-27
E.KID.Sml.Cst.Bg5.c5.Nxd5	renamed	name	King's Indian Defense: Sämisch Variation, with Bg5	2026-03-27		lichess-org/chess-openings, pull request #304 'Added E57, E88, E81 and E71 lines' by Chess4757: https://github.com/lichess-org/chess-openings/pull/304	attested	renamed to 'King's Indian Defense: Steiner Attack' on 2026-03-27
E.KID.Sml.Cst.Be3.c5.Bxc5	renamed	name	King's Indian Defense: Sämisch Variation, Sämisch Gambit, Sämisch Gambit Accepted	2026-04-03		lichess-org/chess-openings, pull request #308 'E81 change' by Chess4757: https://github.com/lichess-org/chess-openings/pull/308	attested	renamed to 'King's Indian Defense: Sämisch Variation, Sämisch Gambit Accepted' on 2026-04-03
B.Sic.Naj.Rg1	renamed	name	Sicilian Defense: Najdorf Variation, Freak Attack	2026-04-13		lichess-org/chess-openings, pull request #314 '[PROPOSAL]: rename "Sicilian Defense: Najdorf Variation, Freak Attack" to Petronić Attack' by cmgchess: https://github.com/lichess-org/chess-openings/pull/314	attested	renamed to 'Sicilian Defense: Najdorf Variation, Petronić Attack' on 2026-04-13
C.RyL.Mor.NeA	renamed	name	Ruy Lopez: Morphy Defense, Neo-Arkhangelsk Variation	2026-04-16		lichess-org/chess-openings, pull request #318 'Updates C78 Møller Variation and Neo-Arkhangelsk Variation' by Panthee: https://github.com/lichess-org/chess-openings/pull/318	attested	renamed to 'Ruy Lopez: Morphy Defense, Møller Variation' on 2026-04-16
B.Sic.Dra.Yug.Bd7	renamed	name	Sicilian Defense: Dragon Variation, Yugoslav Attack	2026-05-02		lichess-org/chess-openings, pull request #322 'B77 fixes' by Chess4757: https://github.com/lichess-org/chess-openings/pull/322	attested	renamed to 'Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line' on 2026-05-02
C.Pet.Stf.MLn	renamed	name	Petrov's Defense: Stafford Gambit	2026-05-29		lichess-org/chess-openings, pull request #336 'Rename Stafford Gambit continuations after acceptance' by AyushSinha2603: https://github.com/lichess-org/chess-openings/pull/336	attested	renamed to 'Petrov's Defense: Stafford Gambit Accepted' on 2026-05-29
C.Pet.Stf.MLn.d3.Bc5	renamed	name	Petrov's Defense: Stafford Gambit	2026-05-29		lichess-org/chess-openings, pull request #336 'Rename Stafford Gambit continuations after acceptance' by AyushSinha2603: https://github.com/lichess-org/chess-openings/pull/336	attested	renamed to 'Petrov's Defense: Stafford Gambit Accepted' on 2026-05-29
E.Bud	renamed	name	Indian Defense: Budapest Defense	2026-06-08		lichess-org/chess-openings, pull request #342 'Rename Budapest Defense to Budapest Gambit + polishing' by Mega-Noob-1337: https://github.com/lichess-org/chess-openings/pull/342	attested	renamed to 'Indian Defense: Budapest Gambit' on 2026-06-08
E.Bud.Adl	renamed	name	Indian Defense: Budapest Defense, Adler Variation	2026-06-08		lichess-org/chess-openings, pull request #342 'Rename Budapest Defense to Budapest Gambit + polishing' by Mega-Noob-1337: https://github.com/lichess-org/chess-openings/pull/342	attested	renamed to 'Indian Defense: Budapest Gambit Accepted, Main Line, Adler Variation' on 2026-06-08
E.Bud.Alk	renamed	name	Indian Defense: Budapest Defense, Alekhine Variation	2026-06-08		lichess-org/chess-openings, pull request #342 'Rename Budapest Defense to Budapest Gambit + polishing' by Mega-Noob-1337: https://github.com/lichess-org/chess-openings/pull/342	attested	renamed to 'Indian Defense: Budapest Gambit Accepted, Main Line, Alekhine Variation' on 2026-06-08
E.Bud.Alk.d6	renamed	name	Indian Defense: Budapest Defense, Alekhine Variation, Tartakower Defense	2026-06-08		lichess-org/chess-openings, pull request #342 'Rename Budapest Defense to Budapest Gambit + polishing' by Mega-Noob-1337: https://github.com/lichess-org/chess-openings/pull/342	attested	renamed to 'Indian Defense: Budapest Gambit Accepted, Main Line, Alekhine Variation, Tartakower Defense' on 2026-06-08
E.Bud.Faj	renamed	name	Indian Defense: Budapest Defense, Fajarowicz Variation	2026-06-08		lichess-org/chess-openings, pull request #342 'Rename Budapest Defense to Budapest Gambit + polishing' by Mega-Noob-1337: https://github.com/lichess-org/chess-openings/pull/342	attested	renamed to 'Indian Defense: Budapest Gambit Accepted, Fajarowicz Defense' on 2026-06-08
E.Bud.Faj.Qc2	renamed	name	Indian Defense: Budapest Defense, Fajarowicz-Steiner Variation	2026-06-08		lichess-org/chess-openings, pull request #342 'Rename Budapest Defense to Budapest Gambit + polishing' by Mega-Noob-1337: https://github.com/lichess-org/chess-openings/pull/342	attested	renamed to 'Indian Defense: Budapest Gambit Accepted, Fajarowicz Defense, Steiner Variation' on 2026-06-08
E.Bud.Ng4	renamed	name	Indian Defense: Budapest Defense	2026-06-08		lichess-org/chess-openings, pull request #342 'Rename Budapest Defense to Budapest Gambit + polishing' by Mega-Noob-1337: https://github.com/lichess-org/chess-openings/pull/342	attested	renamed to 'Indian Defense: Budapest Gambit Accepted, Main Line' on 2026-06-08
E.Bud.Rub	renamed	name	Indian Defense: Budapest Defense, Rubinstein Variation	2026-06-08		lichess-org/chess-openings, pull request #342 'Rename Budapest Defense to Budapest Gambit + polishing' by Mega-Noob-1337: https://github.com/lichess-org/chess-openings/pull/342	attested	renamed to 'Indian Defense: Budapest Gambit Accepted, Main Line, Rubinstein Variation' on 2026-06-08
B.Mod.Std.Nc3.C5S.Pte	renamed	name	Pterodactyl Defense: Eastern, Pterodactyl	2026-06-12		lichess-org/chess-openings, pull request #351 'Fix Pterodactyl Defense lines' by fynsta: https://github.com/lichess-org/chess-openings/pull/351	attested	renamed to 'Pterodactyl Defense: Eastern, Rhamphorhynchus' on 2026-06-12
