person_id	display_name	wikidata_qid	born	died	note
jerome	Jerome, Alonzo				eponym of Italian Giuoco Piano, Jerome Attack; identity unverified
kan	Kan, Ilya				eponym of Sicilian Kan; identity unverified
karklins	Karklins, Chicago				eponym of Petrov Defence, Karklins-Martinovsky; identity unverified
martinovsky	Martinovsky, Eugene				eponym of Petrov Defence, Karklins-Martinovsky; identity unverified
katalymov	Katalymov, Boris				eponym of Sicilian 2.Nf3, Katalimov Variation; identity unverified
keene	Keene, Raymond				eponym of King's Gambit Keene Defence; identity unverified
keres	Keres, Paul				eponym of Sicilian Scheveningen, Keres Attack; identity unverified
kevitz	Kevitz, Alexander				eponym of English Mikėnas-Carls, Nc6; identity unverified
kieseritzky	Kieseritzky, Lionel				eponym of King's Gambit Accepted, Kieseritzky; identity unverified
knorre	Knorre, Viktor				eponym of Ruy López Open, Knorre Variation; identity unverified
koltanowski	Koltanowski, George				eponym of Italian Giuoco Piano O-O Nf6, d4; identity unverified
kondratiyev	Kondratiyev, Pavel				eponym of French Winawer, Kondratiyev Variation; identity unverified
konikowski	Konikowski, Jerzy				eponym of Ruy López Classical, Konikowski Gambit; identity unverified
konstantinopolsky	Konstantinopolsky, Alexander				eponym of King's Knight Opening Main Line, g3; identity unverified
lamb	Lamb, F.				eponym of Blackmar-Diemer Declined, Lamb Defence; identity unverified
larsen	Larsen, Bent				eponym of Larsen Attack; identity unverified
leonard	Leonard, James				eponym of King's Pawn Game, Leonardis Variation; identity unverified
leonhardt	Leonhardt, Paul				eponym of Evans Accepted Steinitz d4, b5; identity unverified
levitsky	Levitsky, Stepan				eponym of Levitsky Attack; identity unverified
levenfish	Levenfish, Grigory				eponym of Sicilian Dragon, Levenfish; identity unverified
lisitsin	Lisitsin, Georgy				eponym of Réti Opening, Lisitsyn Gambit; identity unverified
lolli	Lolli, Giambattista				eponym of Two Knights, Lolli Attack; identity unverified
lucena	Lucena, Luis				eponym of Ruy López, Lucena Variation; identity unverified
lundin	Lundin, Erik				eponym of Mikėnas Defence; identity unverified
lutikov	Lutikov, Anatoly				eponym of Grünfeld, Sämisch; identity unverified
macleod	MacLeod, Nicholas				eponym of King's Pawn Game, MacLeod Attack; identity unverified
makogonov	Makogonov, Vladimir				eponym of KID, Makogonov; identity unverified
maroczy	Maróczy, Géza				eponym of Accelerated Dragon, Maróczy Bind; identity unverified
marshall	Marshall, Frank				eponym of Ruy López, Marshall Attack; identity unverified
lange	Lange, Max				eponym of Italian Two Knights, Max Lange Attack; identity unverified
mccutcheon	McCutcheon, John				eponym of French, MacCutcheon; identity unverified
mcdonnell	McDonnell, Alexander				eponym of King's Gambit Accepted, McDonnell Gambit; identity unverified
mieses	Mieses, Jacques				eponym of Mieses Opening; identity unverified
miles	Miles, Tony				eponym of QID, Miles Variation; identity unverified
morozevich	Morozevich, Alexander				eponym of French Tarrasch, Morozevich Variation; identity unverified
morphy	Morphy, Paul				eponym of Ruy López, Morphy Defence; identity unverified
sarratt	Sarratt, Jacob				eponym of Double Muzio Gambit, Main Line; identity unverified
salvio	Salvio, Alessandro				eponym of Double Muzio Gambit, Main Line; identity unverified
nadanian	Nadanian, Ashot				eponym of Grünfeld Exchange Prefix, Na4; identity unverified
najdorf	Najdorf, Miguel				eponym of Sicilian, Najdorf; identity unverified
bonaparte	Bonaparte, Napoleon				eponym of Napoleon Opening; identity unverified
neumann	Neumann, Gustav				eponym of Kieseritzky Gambit, Nc6; identity unverified
nimzowitsch	Nimzowitsch, Aron				eponym of Nimzo-Indian Defence; identity unverified
galway	Galway, Albéric				eponym of Sicilian, O'Kelly; identity unverified
opocensky	Opočenský, Karel				eponym of Trompowsky Attack; identity unverified
owen	Owen, John				eponym of Owen's Modern (...b6 vs e4); identity unverified
panov	Panov, Vasily				eponym of Caro-Kann, Panov-Botvinnik Attack; identity unverified
parham	Parham, Bernard				eponym of King's Pawn Game, Wayward Queen Attack; identity unverified
paulsen	Paulsen, Louis				eponym of Petrov Defence, Paulsen Attack; identity unverified
petrov	Petrov, Alexander				eponym of Petrov Defence; identity unverified
philidor	Philidor, François-André				eponym of Philidor Countergambit; identity unverified
pirc	Pirc, Vasja				eponym of Pirc Defence; identity unverified
polerio	Polerio, Giulio				eponym of Kieseritzky Gambit, Be7; identity unverified
pollock	Pollock, William				eponym of Ruy López, Pollock Defence; identity unverified
polugaevsky	Polugaevsky, Lev				eponym of Sicilian Najdorf, Polugaevsky; identity unverified
ponziani	Ponziani, Domenico				eponym of Ponziani Opening; identity unverified
popov	Popov, Georgi				eponym of Ruy López, Bulgarian Variation; identity unverified
quinteros	Quinteros, Miguel				eponym of Sicilian 2.Nf3, Quinteros Variation; identity unverified
reti	Réti, Richard				eponym of Réti Opening, 2.c4; identity unverified
rice	Rice, Isaac				eponym of King's Gambit Accepted, Kieseritzky, Rice Gambit; identity unverified
richter	Richter, Kurt				eponym of Richter-Rauzer, Traditional Variation; identity unverified
rauzer	Rauzer, Vsevolod				eponym of Richter-Rauzer, Traditional Variation; identity unverified
veresov	Veresov, Gavriil				eponym of Queen's Pawn Game, Veresov Setup; identity unverified
riumin	Riumin, Nikolai				eponym of QID Euwe Main Line, Riumin Variation; identity unverified
robatsch	Robatsch, Karl				eponym of Modern Defence, Standard Setup; identity unverified
rossolimo	Rossolimo, Nicolas				eponym of Sicilian Rossolimo; identity unverified
rubinstein	Rubinstein, Akiba				eponym of Four Knights Spanish, Rubinstein; identity unverified
segura	Segura, Ruy				eponym of Ruy López; identity unverified
samisch	Sämisch, Friedrich				eponym of KID, Sämisch; identity unverified
santasiere	Santasiere, Anthony				eponym of Polish Opening, Zukertort System; identity unverified
schallopp	Schallopp, Emil				eponym of King's Gambit Accepted, Schallopp Defence; identity unverified
schlechter	Schlechter, Carl				eponym of From's Gambit, Schlechter Gambit; identity unverified
jaenisch	Jaenisch, Carl				eponym of Ruy López, Schliemann Defence; identity unverified
shabalov	Shabalov, Alexander				eponym of Semi-Slav Anti-Meran, Shirov-Shabalov; identity unverified
shirov	Shirov, Alexei				eponym of Semi-Slav Anti-Meran, Shirov-Shabalov; identity unverified
smith	Smith, Ken				eponym of Smith-Morra Accepted, Nxc3; identity unverified
snyder	Snyder, Robert				eponym of Sicilian, Czerniak Attack; identity unverified
sokolsky	Sokolsky, Alexey				eponym of Polish Opening; identity unverified
soldatenkov	Soldatenkov, Vasily				eponym of King's Gambit Declined Classical, Soldatenkov; identity unverified
soultanbeieff	Soultanbeieff, Victor				eponym of Slav, Soultanbeieff Variation; identity unverified
spielmann	Spielmann, Rudolph				eponym of Caro-Kann 2.Nc3, Goldman Variation; identity unverified
stamma	Stamma, Philipp				eponym of King's Gambit Accepted, Stamma Gambit; identity unverified
staunton	Staunton, Howard				eponym of Dutch Defence, Staunton Gambit; identity unverified
sveshnikov	Sveshnikov, Evgeny				eponym of Sicilian Sveshnikov; identity unverified
szen	Szén, József				eponym of Sicilian Taimanov, Szén Variation; identity unverified
taimanov	Taimanov, Mark				eponym of Sicilian Taimanov; identity unverified
torre	Torre, Carlos				eponym of Torre Attack; identity unverified
traxler	Traxler, Karel				eponym of Two Knights, Traxler Counterattack; identity unverified
trompowsky	Trompowsky, Octavio				eponym of Trompowsky Attack; identity unverified
ufimtsev	Ufimtsev, Anatoly				eponym of Pirc Defence; identity unverified
urusov	Urusov, Sergey				eponym of Bishop's Opening, Urusov Gambit; identity unverified
kruijs	Kruijs, Maarten				eponym of Van't Kruijs Opening; identity unverified
villemson	Villemson, Martin				eponym of King's Gambit Accepted, Villemson Gambit; identity unverified
vinogradov	Vinogradov, Paul				eponym of Ruy López, Vinogradov Variation; identity unverified
wade	Wade, Robert				eponym of Old Indian, Wade Defence; identity unverified
ware	Ware, Preston				eponym of Ware Defence; identity unverified
winawer	Winawer, Simon				eponym of French, Winawer; identity unverified
worrall	Worrall, Thomas				eponym of Ruy López Morphy, Wormald Attack; identity unverified
zaitsev-alexander	Zaitsev, Alexander				eponym of Grünfeld Defence, Zaitsev Gambit; identity unverified
zaitsev-igor	Zaitsev, Igor				eponym of Ruy López Closed h3, Bb7; identity unverified
zilbermints	Zilbermints, Lev				eponym of Englund Gambit Nf3, Zilbermints Gambit; identity unverified
zvjaginsev	Zvjaginsev, Vadim				eponym of Sicilian, Kronberger Variation; identity unverified
