ocn1	canonical_name	relation	renamed_from	renamed_to	date	author	commit	commit_subject	source_ref	evidence_grade
C.Pet.Mod.Stn.Qxd4	Petrov Modern, Center Attack	renamed	Russian Game: Modern Attack, Center Attack	Petrov's Defense: Modern Attack, Center Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Mod.d5	Petrov Modern, Symmetrical Variation	renamed	Russian Game: Modern Attack, Symmetrical Variation	Petrov's Defense: Modern Attack, Symmetrical Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Mod.exd4	Petrov Modern, exd4	renamed	Russian Game: Modern Attack	Petrov's Defense: Modern Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5	Petrov Defence, Nxe5	renamed	Russian Game	Petrov's Defense	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.Nxe4	Petrov Defence, Damiano Variation	renamed	Russian Game: Damiano Variation	Petrov's Defense: Damiano Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.Nxe4.Qe2	Petrov Damiano, Kholmov Gambit	renamed	Russian Game: Damiano Variation, Kholmov Gambit	Petrov's Defense: Damiano Variation, Kholmov Gambit	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6	Petrov Defence, 3...d6	renamed	Russian Game	Petrov's Defense	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nc4	Petrov Defence, Paulsen Attack	renamed	Russian Game: Paulsen Attack	Petrov's Defense: Paulsen Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nd3	Petrov Defence, Karklins-Martinovsky	renamed	Russian Game: Karklins-Martinovsky Variation	Petrov's Defense: Karklins-Martinovsky Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nf3	Petrov Defence, Nf3 Retreat	renamed	Russian Game	Petrov's Defense	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nf3.Nxe4	Petrov Defence, Main Capture	renamed	Russian Game	Petrov's Defense	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nf3.Nxe4.Bd3	Petrov Defence, Millennium Attack	renamed	Russian Game: Millennium Attack	Petrov's Defense: Millennium Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nf3.Nxe4.Nc3	Petrov Defence, Nimzowitsch Attack	renamed	Russian Game: Nimzowitsch Attack	Petrov's Defense: Nimzowitsch Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nf3.Nxe4.Nf6	Petrov Classical, Closed Variation	renamed	Russian Game: Classical Attack, Closed Variation	Petrov's Defense: Classical Attack, Closed Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nf3.Nxe4.Qe2	Petrov Defence, Cozio Attack	renamed	Russian Game: Cozio Attack	Petrov's Defense: Cozio Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nf3.Nxe4.c4	Petrov Defence, Kaufmann Attack	renamed	Russian Game: Kaufmann Attack	Petrov's Defense: Kaufmann Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nf3.Nxe4.d3	Petrov Defence, French Attack	renamed	Russian Game: French Attack	Petrov's Defense: French Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Nxe5.d6.Nf3.Nxe4.d4	Petrov Defence, Classical Attack	renamed	Russian Game: Classical Attack	Petrov's Defense: Classical Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Qe2	Petrov Defence, Moody Gambit	renamed	Russian Game: Moody Gambit	Petrov's Defense: Moody Gambit	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Stf	Petrov, Stafford Gambit	renamed	Russian Game: Stafford Gambit	Petrov's Defense: Stafford Gambit	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Stf.MLn	Petrov Stafford Gambit, Main Line	renamed	Russian Game: Stafford Gambit	Petrov's Defense: Stafford Gambit	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Thr	Petrov, Three Knights Game	renamed	Russian Game: Three Knights Game	Petrov's Defense: Three Knights Game	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
A.Egl.Cha	Englund Gambit, Charlick Line	renamed	Englund Gambit Complex: Hartlaub-Charlick Gambit	Englund Gambit: Hartlaub-Charlick Gambit	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Egl.Dec	Englund Gambit, Declined	renamed	Englund Gambit Complex Declined	Englund Gambit Declined	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Egl.Dec.Die	Englund Gambit Declined, Diemer Counterattack	renamed	Englund Gambit Complex Declined: Diemer Counterattack	Englund Gambit Declined: Diemer Counterattack	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Egl.Har	Englund Gambit, Hartlaub-Charlick Line	renamed	Englund Gambit Complex: Englund Gambit	Englund Gambit: Main Line	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Egl.Har.Sto	Englund Hartlaub-Charlick, Stockholm Variation	renamed	Englund Gambit Complex: Stockholm Variation	Englund Gambit: Stockholm Variation	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Egl.dxe5.Nc6.Nf3.Bc5	Englund Gambit Nf3, Felbecker Gambit	renamed	Englund Gambit Complex: Felbecker Gambit	Englund Gambit: Felbecker Gambit	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Egl.dxe5.Nc6.Nf3.Nge7	Englund Gambit Nf3, Zilbermints Gambit	renamed	Englund Gambit Complex: Zilbermints Gambit	Englund Gambit: Zilbermints Gambit	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Egl.dxe5.Nc6.Nf3.f6	Englund Gambit Nf3, Soller Deferred	renamed	Englund Gambit Complex: Soller Gambit Deferred	Englund Gambit: Soller Gambit Deferred	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Egl.dxe5.Qh4	Englund Gambit, Mosquito Gambit	renamed	Englund Gambit Complex: Mosquito Gambit	Englund Gambit: Mosquito Gambit	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Egl.dxe5.f6	Englund Gambit, Soller Gambit	renamed	Englund Gambit Complex: Soller Gambit	Englund Gambit: Soller Gambit	2024-07-04	Fynn Starke	dee47c38f	Fix https://github.com/lichess-org/lila/issues/15592	https://github.com/lichess-org/chess-openings/commit/dee47c38f	attested
A.Mie.Ven	Mieses Opening, Venezolana Variation	renamed	Venezolana Opening	Mieses Opening: Venezolana Variation	2024-07-10	Malorra	0fab4b216	Venezolana Opening -> Venezolana Variation	https://github.com/lichess-org/chess-openings/commit/0fab4b216	attested
A.War.e5.h4	Ware Opening, Crab Variation	renamed	Crab Opening	Ware Opening: Crab Variation	2024-07-10	Malorra	c98ed1c3c	Crab Opening -> Crab Variation	https://github.com/lichess-org/chess-openings/commit/c98ed1c3c	attested
B.Sic.SmM.Acc.Chi	Smith-Morra Accepted Nc6, Chicago Defence	renamed	Sicilian Defense: Smith-Morra Gambit, Chicago Defense	Sicilian Defense: Smith-Morra Gambit Accepted, Chicago Defense	2024-12-08	Malorra	f10d19ae2	Chicago and Danish Variation are both part of the Smith-Morra Gambit Accepted.	https://github.com/lichess-org/chess-openings/commit/f10d19ae2	attested
B.Sic.SmM.Acc.Nf3	Smith-Morra Accepted, Danish Variation	renamed	Sicilian Defense: Smith-Morra Gambit, Danish Variation	Sicilian Defense: Smith-Morra Gambit Accepted, Danish Variation	2024-12-08	Malorra	f10d19ae2	Chicago and Danish Variation are both part of the Smith-Morra Gambit Accepted.	https://github.com/lichess-org/chess-openings/commit/f10d19ae2	attested
C.KGm.Acc.Vil	King's Gambit Accepted, Villemson Gambit	renamed	King's Gambit Accepted: Polerio Gambit	King's Gambit Accepted: Villemson Gambit	2024-12-12	seccohazy	3bd8ac4be	Update c.tsv	https://github.com/lichess-org/chess-openings/commit/3bd8ac4be	attested
E.Nim.Rub	Nimzo, Rubinstein	renamed	Nimzo-Indian Defense: Normal Line	Nimzo-Indian Defense: Rubinstein System	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
E.Nim.Rub.Cls	Nimzo Rubinstein, Classical Line	renamed	Nimzo-Indian Defense: Normal Variation, Bishop Attack, Classical Defense	Nimzo-Indian Defense: Normal Variation, Classical Defense	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
E.Nim.Rub.Flo	Nimzo Rubinstein, Flohr Variation	renamed	Nimzo-Indian Defense: Normal Variation, Bronstein (Byrne) Variation	Nimzo-Indian Defense: St. Petersburg Variation, Fischer Variation	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
E.Nim.Rub.Hub.MLn	Nimzo Rubinstein Hübner, Main Line	renamed	Nimzo-Indian Defense: Hübner Variation, Main Line	Nimzo-Indian Defense: Rubinstein System, Hübner Variation	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
E.Nim.Rub.Res	Nimzo Rubinstein, Reshevsky Variation	renamed	Nimzo-Indian Defense: Normal Variation, Bishop Attack	Nimzo-Indian Defense: Normal Variation	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
E.Nim.Rub.Tai	Nimzo Rubinstein, Taimanov Variation	renamed	Nimzo-Indian Defense: Normal Variation, Taimanov Variation	Nimzo-Indian Defense: Rubinstein System, Taimanov Variation	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
E.Nim.Rub.c5	Nimzo Rubinstein, c5	renamed	Nimzo-Indian Defense: Hübner Variation	Nimzo-Indian Defense: Rubinstein System	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
E.Nim.Rub.c5.Ne2	Nimzo Rubinstein c5, Ne2	renamed	Nimzo-Indian Defense: Hübner Variation, Rubinstein Variation	Nimzo-Indian Defense: Rubinstein System, Rubinstein Variation	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
E.Nim.Rub.c5.Ne2.a3	Nimzo Rubinstein Ne2, Main Line	renamed	Nimzo-Indian Defense: Hübner Variation, Rubinstein Variation, Main Line	Nimzo-Indian Defense: Rubinstein System, Rubinstein Variation, Main Line	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
E.Nim.Rub.c5.Ne2.c5	Nimzo Rubinstein Ne2, Sherbakov	renamed	Nimzo-Indian Defense: Hübner Variation, Rubinstein Variation, Sherbakov Attack	Nimzo-Indian Defense: Rubinstein System, Rubinstein Variation, Sherbakov Attack	2025-01-09	seccohazy	53d8c0ab6	Corrections and additions in the Nimzo-Indian	https://github.com/lichess-org/chess-openings/commit/53d8c0ab6	attested
B.Sic.Ros.Brt	Sicilian Rossolimo, Brooklyn Retreat	renamed	Sicilian Defense: Rossolimo Variation, Brooklyn Retreat Defense	Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Brooklyn Retreat Defense	2025-02-03	Xaver Hellauer	778046ab8	Consistency in the Nyezhmetdinov-Rossolimo Attack	https://github.com/lichess-org/chess-openings/commit/778046ab8	attested
B.OwM.Gua	Owen Modern, Guatemala Defence	renamed	Guatemala Defense	Owen Defense: Guatemala Defense	2025-02-08	Malorra	9b0f844bd	Guatemala Defense is part of Owen Defense	https://github.com/lichess-org/chess-openings/commit/9b0f844bd	attested
A.QPO.Nf6.f3.d5.g4	Queen's Pawn Nf6 f3, Gedult Attack	renamed	Indian Defense: Gedult Attack, Gedult Attack	Indian Defense: Gedult Attack	2025-05-15	Leonard	3e83f62a1	deduplicate Gedult Attack, Gedult Attack	https://github.com/lichess-org/chess-openings/commit/3e83f62a1	attested
B.Fre.Tar.Gui.Thb	French Tarrasch Guimard, Thunderbunny	renamed	French Defense: Guimard Variation, Thunderbunny Variation	French Defense: Tarrasch Variation, Guimard Defense, Thunderbunny Variation	2025-05-26	seccohazy	1609d2827	French Defense updates.tsv	https://github.com/lichess-org/chess-openings/commit/1609d2827	attested
B.Sic.Tay.Nc3	Sicilian Taimanov, 5.Nc3	renamed	Sicilian Defense: Taimanov Variation, Normal Variation	Sicilian Defense: Taimanov Variation	2025-08-09	jdart1	af6d2c8f3	B45 fix	https://github.com/lichess-org/chess-openings/commit/af6d2c8f3	attested
B.Sic.Tay.Nc3.Nf6.Ndb5.Bb4	Taimanov Four Knights, American Attack	renamed	Sicilian Defense: Taimanov Variation, American Attack	Sicilian Defense: Four Knights Variation, American Attack	2025-08-09	jdart1	af6d2c8f3	B45 fix	https://github.com/lichess-org/chess-openings/commit/af6d2c8f3	attested
C.Ita.Giu.c3.Nf6.d3.d6	Italian Giuoco Piano c3 Nf6 d3, d6	renamed	Italian Game: Classical Variation, Giuoco Pianissimo, with d6	Italian Game: Classical Variation, Giuoco Pianissimo	2025-10-16	jdart1	adbd2f5e4	Add some C54 lines.	https://github.com/lichess-org/chess-openings/commit/adbd2f5e4	attested
C.RyL.Ber.d3.Bc5.Be3	Ruy López Berlin Anti-Berlin, Kaufmann Variation	renamed	Ruy Lopez: Berlin Defense, Kaufmann Variation	Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Kaufmann Variation	2025-12-13	Chess4757	33ce9d8ef	Added a C18, C54, and some C65 lines	https://github.com/lichess-org/chess-openings/commit/33ce9d8ef	attested
C.RyL.Ber.d3.Ne7	Ruy López Berlin Anti-Berlin, Mortimer Variation	renamed	Ruy Lopez: Berlin Defense, Mortimer Variation	Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Mortimer Variation	2025-12-13	Chess4757	33ce9d8ef	Added a C18, C54, and some C65 lines	https://github.com/lichess-org/chess-openings/commit/33ce9d8ef	attested
C.RyL.Ber.d3.Ne7.Nxe5.c6	Ruy López Berlin Anti-Berlin, Mortimer Trap	renamed	Ruy Lopez: Berlin Defense, Mortimer Trap	Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Mortimer Trap	2025-12-13	Chess4757	33ce9d8ef	Added a C18, C54, and some C65 lines	https://github.com/lichess-org/chess-openings/commit/33ce9d8ef	attested
C.RyL.Ber.d3.d6.Bxc6	Ruy López Berlin Anti-Berlin, Anderssen Variation	renamed	Ruy Lopez: Berlin Defense, Anderssen Variation	Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Anderssen Variation	2025-12-13	Chess4757	33ce9d8ef	Added a C18, C54, and some C65 lines	https://github.com/lichess-org/chess-openings/commit/33ce9d8ef	attested
C.RyL.Ber.d3.d6.c4	Ruy López Berlin Anti-Berlin, Duras Variation	renamed	Ruy Lopez: Berlin Defense, Duras Variation	Ruy Lopez: Berlin Defense, Anti-Berlin Variation, Duras Variation	2025-12-13	Chess4757	33ce9d8ef	Added a C18, C54, and some C65 lines	https://github.com/lichess-org/chess-openings/commit/33ce9d8ef	attested
B.Sic.Cze	Sicilian, Czerniak Attack	renamed	Sicilian Defense: Snyder Variation	Sicilian Defense: Westerinen Attack	2026-01-20	LesCyclopes	1195846de	Snyder Variation -> Westerinen Attack/Cowboy Attack/Czerniak Attack	https://github.com/lichess-org/chess-openings/commit/1195846de	attested
B.Sic.Cze.QFn	Sicilian Czerniak, Queen Fianchetto	renamed	Sicilian Defense: Snyder Variation, Queen Fianchetto Variation	Sicilian Defense: Westerinen Attack, Queen Fianchetto Variation	2026-01-20	LesCyclopes	1195846de	Snyder Variation -> Westerinen Attack/Cowboy Attack/Czerniak Attack	https://github.com/lichess-org/chess-openings/commit/1195846de	attested
B.Sic.Dra.Be3.Nc6	Dragon Be3, Hungarian Dragon	renamed	Sicilian Defense: Dragon Variation, Wing Attack	Sicilian Defense: Dragon Variation, Hungarian Variation	2026-01-20	LesCyclopes	016c58590	Changed "Wing Attack" to "Hungarian Variation"	https://github.com/lichess-org/chess-openings/commit/016c58590	attested
B.Sic.Dra.Be3.Nc6	Dragon Be3, Hungarian Dragon	renamed	Sicilian Defense: Dragon Variation, Hungarian Variation	Sicilian Defense: Dragon Variation, Yugoslav Attack, Hungarian Dragon	2026-01-20	LesCyclopes	bd0ecc06e	Changed Hungarian Variation -> Hungarian Dragon, and reclassified the line as a variation of the Yugoslav Attack	https://github.com/lichess-org/chess-openings/commit/bd0ecc06e	attested
B.Sic.HAc.d4	Hyper-Accelerated Dragon, d4	renamed	Sicilian Defense: Hyperaccelerated Fianchetto	Sicilian Defense: Hyperaccelerated Dragon	2026-01-25	LesCyclopes	7882ef02d	Hyperaccelerated Fianchetto -> Hyperaccelerated Dragon	https://github.com/lichess-org/chess-openings/commit/7882ef02d	attested
B.Sic.Cze	Sicilian, Czerniak Attack	renamed	Sicilian Defense: Westerinen Attack	Sicilian Defense: Czerniak Attack	2026-01-28	LesCyclopes	8a1ec0d89	Westerinen Attack -> Czerniak Attack	https://github.com/lichess-org/chess-openings/commit/8a1ec0d89	attested
B.Sic.Cze.QFn	Sicilian Czerniak, Queen Fianchetto	renamed	Sicilian Defense: Westerinen Attack, Queen Fianchetto Variation	Sicilian Defense: Czerniak Attack, Queen Fianchetto Variation	2026-01-28	LesCyclopes	8a1ec0d89	Westerinen Attack -> Czerniak Attack	https://github.com/lichess-org/chess-openings/commit/8a1ec0d89	attested
D.Sem.Bg5.Mos.Hst	Semi-Slav Moscow, Hastings Variation	renamed	Queen's Gambit Declined: Hastings Variation	Semi-Slav Defense: Hastings Variation	2026-01-29	Chess4757	7cf0dc008	Added D36, D53, D41, and D43 lines	https://github.com/lichess-org/chess-openings/commit/7cf0dc008	attested
E.KID.Sml.Cst.Bg5.c5.Bf4	KID Sämisch Steiner, h6	renamed	King's Indian Defense: Sämisch Variation, with Bg5	King's Indian Defense: Steiner Attack	2026-03-27	Chess4757	08225316f	Added missing eco of E88 and E57	https://github.com/lichess-org/chess-openings/commit/08225316f	attested
E.KID.Sml.Cst.Bg5.c5.Bxh6	KID Sämisch Steiner, Bxh6	renamed	King's Indian Defense: Sämisch Variation, with Bg5	King's Indian Defense: Steiner Attack	2026-03-27	Chess4757	08225316f	Added missing eco of E88 and E57	https://github.com/lichess-org/chess-openings/commit/08225316f	attested
E.KID.Sml.Cst.Bg5.c5.Nxd5	KID Sämisch Steiner, Nxd5	renamed	King's Indian Defense: Sämisch Variation, with Bg5	King's Indian Defense: Steiner Attack	2026-03-27	Chess4757	08225316f	Added missing eco of E88 and E57	https://github.com/lichess-org/chess-openings/commit/08225316f	attested
E.KID.Sml.Cst.Be3.c5.Bxc5	KID Sämisch Be3, Gambit Accepted	renamed	King's Indian Defense: Sämisch Variation, Sämisch Gambit, Sämisch Gambit Accepted	King's Indian Defense: Sämisch Variation, Sämisch Gambit Accepted	2026-04-03	Chess4757	7807bd213	E81 change	https://github.com/lichess-org/chess-openings/commit/7807bd213	attested
B.Sic.Naj.Rg1	Sicilian Najdorf, Freak Attack	renamed	Sicilian Defense: Najdorf Variation, Freak Attack	Sicilian Defense: Najdorf Variation, Petronić Attack	2026-04-13	Chathulanka Gamage	12a10c2ed	fix: rename freak attack to petronić attack	https://github.com/lichess-org/chess-openings/commit/12a10c2ed	attested
C.RyL.Mor.NeA	Ruy López Morphy, Neo-Arkhangelsk	renamed	Ruy Lopez: Morphy Defense, Neo-Arkhangelsk Variation	Ruy Lopez: Morphy Defense, Møller Variation	2026-04-16	Panthee	e6dc10a7f	Update c.tsv	https://github.com/lichess-org/chess-openings/commit/e6dc10a7f	attested
B.Sic.Dra.Yug.Bd7	Sicilian Dragon Yugoslav Attack, Bd7	renamed	Sicilian Defense: Dragon Variation, Yugoslav Attack	Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line	2026-05-02	Chess4757	b39fe56bb	B77 fixes	https://github.com/lichess-org/chess-openings/commit/b39fe56bb	attested
C.Pet.Stf.MLn	Petrov Stafford Gambit, Main Line	renamed	Petrov's Defense: Stafford Gambit	Petrov's Defense: Stafford Gambit Accepted	2026-05-29	Ayush Sinha	b25619a4e	Rename Stafford Gambit continuations after acceptance	https://github.com/lichess-org/chess-openings/commit/b25619a4e	attested
C.Pet.Stf.MLn.d3.Bc5	Petrov Stafford d3 Line, Bc5	renamed	Petrov's Defense: Stafford Gambit	Petrov's Defense: Stafford Gambit Accepted	2026-05-29	Ayush Sinha	b25619a4e	Rename Stafford Gambit continuations after acceptance	https://github.com/lichess-org/chess-openings/commit/b25619a4e	attested
E.Bud	Budapest Defence	renamed	Indian Defense: Budapest Defense	Indian Defense: Budapest Gambit	2026-06-08	Mega-Noob-1337	0b6ab9f89	Rename Budapest Defense to Budapest Gambit + polishing	https://github.com/lichess-org/chess-openings/commit/0b6ab9f89	attested
E.Bud.Adl	Budapest, Adler Variation	renamed	Indian Defense: Budapest Defense, Adler Variation	Indian Defense: Budapest Gambit Accepted, Main Line, Adler Variation	2026-06-08	Mega-Noob-1337	0b6ab9f89	Rename Budapest Defense to Budapest Gambit + polishing	https://github.com/lichess-org/chess-openings/commit/0b6ab9f89	attested
E.Bud.Alk	Budapest, Alekhine Variation	renamed	Indian Defense: Budapest Defense, Alekhine Variation	Indian Defense: Budapest Gambit Accepted, Main Line, Alekhine Variation	2026-06-08	Mega-Noob-1337	0b6ab9f89	Rename Budapest Defense to Budapest Gambit + polishing	https://github.com/lichess-org/chess-openings/commit/0b6ab9f89	attested
E.Bud.Alk.d6	Budapest Alekhine, Tartakower Defence	renamed	Indian Defense: Budapest Defense, Alekhine Variation, Tartakower Defense	Indian Defense: Budapest Gambit Accepted, Main Line, Alekhine Variation, Tartakower Defense	2026-06-08	Mega-Noob-1337	0b6ab9f89	Rename Budapest Defense to Budapest Gambit + polishing	https://github.com/lichess-org/chess-openings/commit/0b6ab9f89	attested
E.Bud.Faj	Budapest, Fajarowicz Variation	renamed	Indian Defense: Budapest Defense, Fajarowicz Variation	Indian Defense: Budapest Gambit Accepted, Fajarowicz Defense	2026-06-08	Mega-Noob-1337	0b6ab9f89	Rename Budapest Defense to Budapest Gambit + polishing	https://github.com/lichess-org/chess-openings/commit/0b6ab9f89	attested
E.Bud.Faj.Qc2	Budapest Fajarowicz, Qc2 Line	renamed	Indian Defense: Budapest Defense, Fajarowicz-Steiner Variation	Indian Defense: Budapest Gambit Accepted, Fajarowicz Defense, Steiner Variation	2026-06-08	Mega-Noob-1337	0b6ab9f89	Rename Budapest Defense to Budapest Gambit + polishing	https://github.com/lichess-org/chess-openings/commit/0b6ab9f89	attested
E.Bud.Ng4	Budapest Defence, Ng4 Line	renamed	Indian Defense: Budapest Defense	Indian Defense: Budapest Gambit Accepted, Main Line	2026-06-08	Mega-Noob-1337	0b6ab9f89	Rename Budapest Defense to Budapest Gambit + polishing	https://github.com/lichess-org/chess-openings/commit/0b6ab9f89	attested
E.Bud.Rub	Budapest, Rubinstein Variation	renamed	Indian Defense: Budapest Defense, Rubinstein Variation	Indian Defense: Budapest Gambit Accepted, Main Line, Rubinstein Variation	2026-06-08	Mega-Noob-1337	0b6ab9f89	Rename Budapest Defense to Budapest Gambit + polishing	https://github.com/lichess-org/chess-openings/commit/0b6ab9f89	attested
B.Mod.Std.Nc3.C5S.Pte	Eastern Pterodactyl, Pterodactyl	renamed	Pterodactyl Defense: Eastern, Pterodactyl	Pterodactyl Defense: Eastern, Rhamphorhynchus	2026-06-12	Fynn Starke	2823b857a	Fix Pterodactyl Defense lines	https://github.com/lichess-org/chess-openings/commit/2823b857a	attested
E.Ind.Cat.d5.Bg2	Indian Catalan Setup, Bg2	renamed	Catalan Opening: Closed	Catalan Opening: Open Defense	2026-06-14	Chess4757	bc250b457	Added E01 Tarrasch defense line	https://github.com/lichess-org/chess-openings/commit/bc250b457	attested
A.Ret.d6.d4.g6	Zukertort Pirc Invitation, Robatsch Defence	renamed	Robatsch Defense	Robatsch Defense: Rossolimo Variation	2026-06-20	Chess4757	262bfb403	New A41 line	https://github.com/lichess-org/chess-openings/commit/262bfb403	attested
