ocn1	canonical_name	relation	renamed_from	renamed_to	date	author	commit	commit_subject	source_ref	evidence_grade
D.QPG.Lon.Stn.e4	Accelerated London Steinitz, Morris Countergambit	renamed	Queen's Pawn Game: Morris Countergambit	Queen's Pawn Game: Accelerated London System, Steinitz Countergambit, Morris Countergambit	2022-12-29	SandroMartens	177f57fa5	Put morris and steinitz countergambits in sub lines of the london system	https://github.com/lichess-org/chess-openings/commit/177f57fa5	attested
E.QID.Mod	QID, Modern	renamed	Queen's Indian Defense: Fianchetto Traditional	Queen's Indian Defense: Fianchetto Variation, Traditional Line	2022-12-29	Patrick Missey	0eb0c705a	Missing Comma	https://github.com/lichess-org/chess-openings/commit/0eb0c705a	attested
B.KPG	King's Pawn Opening	renamed	King's Pawn	King's Pawn Game	2023-01-16	Niklas Fiekas	5ee7062fc	1. e4 is already King's Pawn Game	https://github.com/lichess-org/chess-openings/commit/5ee7062fc	attested
A.Hol.Sto.c4.Nc3.Bg5	Dutch Stonewall, Chekhover Variation	renamed	Dutch Defense: Stonewall, Chekhover Variation	Dutch Defense: Stonewall Variation, Chekhover Variation	2023-04-04	SebasF	7f4f1aede	update dutch stonewall	https://github.com/lichess-org/chess-openings/commit/7f4f1aede	attested
C.Fou.Spa.Cls.MLn.Bar	Four Knights Game, Spanish Variation, Bardeleben Variation	renamed	Four Knights Game: Bardeleben Variation	Four Knights Game: Spanish Variation, Bardeleben Variation	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Dbl	Four Knights Spanish, Double Spanish	renamed	Four Knights Game: Double Spanish	Four Knights Game: Spanish Variation, Double Spanish	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Dbl.MLn.Blk	Four Knights, Spanish Variation, Symmetrical Variation, Blake Variation	renamed	Four Knights Game: Symmetrical, Blake Variation	Four Knights Game: Spanish Variation, Symmetrical, Blake Variation	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Dbl.MLn.Bxc6	Four Knights Double Spanish, Nimzowitsch Variation	renamed	Four Knights Game: Nimzowitsch Variation	Four Knights Game: Spanish Variation, Nimzowitsch Variation	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Dbl.MLn.Jan	Four Knights Double Spanish, Janowski Variation	renamed	Four Knights Game: Janowski Variation	Four Knights Game: Spanish Variation, Janowski Variation	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Dbl.MLn.Met	Four Knights, Spanish Variation, Symmetrical Variation, Metger Unpin	renamed	Four Knights Game: Symmetrical, Metger Unpin	Four Knights Game: Spanish Variation, Symmetrical, Metger Unpin	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Dbl.MLn.Svn	Four Knights Double Spanish, Svenonius Variation	renamed	Four Knights Game: Svenonius Variation	Four Knights Game: Spanish Variation, Svenonius Variation	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Dbl.MLn.Tar	Four Knights, Spanish Variation, Symmetrical Variation, Tarrasch Variation	renamed	Four Knights Game: Symmetrical, Tarrasch Variation	Four Knights Game: Spanish Variation, Symmetrical, Tarrasch Variation	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Dbl.MLn.d3	Four Knights Double Spanish Main Line, d3	renamed	Four Knights Game: Double Spanish	Four Knights Game: Spanish Variation, Double Spanish	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Ran	Four Knights Spanish, Ranken Variation	renamed	Four Knights Game: Ranken Variation	Four Knights Game: Spanish Variation, Ranken Variation	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Rub.Be2	Four Knights Rubinstein, Be2	renamed	Four Knights Game: Rubinstein Countergambit	Four Knights Game: Spanish Variation, Rubinstein Variation	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Rub.MLn.Mar	Four Knights Game, Spanish Variation, Rubinstein Variation, Marshall Gambit	renamed	Four Knights Game: Spanish Variation, Classical Variation, Marshall Gambit	Four Knights Game: Spanish Variation, Rubinstein Variation, Marshall Gambit	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Fou.Spa.Spl	Four Knights Spanish, Spielmann Variation	renamed	Four Knights Game: Spielmann Variation	Four Knights Game: Spanish Variation, Spielmann Variation	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
C.Pet.Thr.Fou.Gun	Four Knights Spanish, Gunsberg Counterattack	renamed	Four Knights Game: Gunsberg Counterattack	Four Knights Game: Spanish Variation, Gunsberg Counterattack	2023-04-04	SebasF	255bf65d6	Four Knights Game: Spanish Variation fixes	https://github.com/lichess-org/chess-openings/commit/255bf65d6	attested
