ocn1	white	white_elo	black	black_elo	year	result	lichess_id	url
A.Tro	Carlsen, M.	2853	Karjakin, Sergey	2772	2016	1/2-1/2	COlw0MQ9	https://lichess.org/COlw0MQ9
A.Tro	Nakamura, Hi	2788	Carlsen, M.	2830	2023	1/2-1/2	CSa0jBmY	https://lichess.org/CSa0jBmY
A.Lon	Carlsen, M.	2859	Ding Liren	2811	2023	1/2-1/2	cJsGI6A4	https://lichess.org/cJsGI6A4
A.Lon	Carlsen, M.	2861	Ding Liren	2805	2019	1/2-1/2	oPelXIS9	https://lichess.org/oPelXIS9
A.Lon	Carlsen, Magnus	2863	Ding, Liren	2791	2020	1-0	rFDUsr9Y	https://lichess.org/rFDUsr9Y
A.Lon	Carlsen, Magnus	2863	Ding, Liren	2791	2020	1/2-1/2	W9375DmX	https://lichess.org/W9375DmX
A.Bir	Carlsen, M.	2832	So, W.	2815	2017	1-0	jownEPXs	https://lichess.org/jownEPXs
A.Bir	Carlsen, M.	2832	Kramnik, V.	2808	2017	1-0	ZPEjdsGK	https://lichess.org/ZPEjdsGK
A.Bir	Nakamura, Hi	2802	Grischuk, A.	2781	2015	0-1	xoxeikcy	https://lichess.org/xoxeikcy
A.Bir	Mamedyarov, S.	2801	Giri, A.	2782	2018	0-1	UJkORpA4	https://lichess.org/UJkORpA4
A.Lar	So, W.	2815	Carlsen, M.	2832	2017	0-1	yvQYwASv	https://lichess.org/yvQYwASv
A.Lar	Carlsen, M..	2847	Ding Liren	2799	2021	0-1	IOi3k1eB	https://lichess.org/IOi3k1eB
A.Lar	Nakamura, Hi	2787	Carlsen, M.	2853	2016	0-1	ACD30sjE	https://lichess.org/ACD30sjE
A.Lar	Nakamura, Hi	2802	Carlsen, M.	2833	2025	1/2-1/2	N12LQaxu	https://lichess.org/N12LQaxu
A.Ret	Aronian, L.	2826	Carlsen, M.	2872	2014	1-0	IpY1ThET	https://lichess.org/IpY1ThET
A.Ret	Carlsen, M.	2876	Nakamura, Hi	2802	2015	1-0	nBtNHsCU	https://lichess.org/nBtNHsCU
A.Ret	Carlsen, M.	2864	Ding Liren	2806	2022	1/2-1/2	eVTBhl4K	https://lichess.org/eVTBhl4K
A.Ret	Carlsen, M.	2864	Ding Liren	2806	2022	1/2-1/2	CchXqKRa	https://lichess.org/CchXqKRa
A.Owe	Grischuk, A.	2766	Nepomniachtchi, I.	2757	2018	1/2-1/2	XGd9eXYP	https://lichess.org/XGd9eXYP
A.Owe	Dominguez Perez, L.	2739	Vachier Lagrave, M.	2779	2018	1-0	J7chx8ZZ	https://lichess.org/J7chx8ZZ
A.Owe	Lenderman, A.	2611	Nakamura, Hi	2781	2018	1-0	26uyPfd1	https://lichess.org/26uyPfd1
A.Owe	Istratescu, A.	2670	McShane, L.	2684	2013	1-0	15DI8EFq	https://lichess.org/15DI8EFq
A.Pol	Carlsen, M..	2847	Giri, A..	2780	2021	1/2-1/2	uWF0g6DM	https://lichess.org/uWF0g6DM
A.Pol	Carlsen, M..	2847	So, W..	2770	2021	0-1	lVMpaBqQ	https://lichess.org/lVMpaBqQ
A.Pol	Carlsen, M..	2847	Nakamura, Hi	2736	2021	1/2-1/2	0CyFG6o3	https://lichess.org/0CyFG6o3
A.Pol	Mamedyarov, S.	2801	Giri, A.	2782	2018	0-1	KD0RyRu4	https://lichess.org/KD0RyRu4
B.Sic	Caruana, F.	2818	Carlsen, M.	2882	2019	1-0	boLujJkB	https://lichess.org/boLujJkB
B.Sic	Caruana, Fabiano	2835	Carlsen, Magnus	2863	2020	1-0	zruFgG89	https://lichess.org/zruFgG89
