ocn1	white	white_elo	black	black_elo	year	result	lichess_id	url
A.Pol.Bhm.MLn	Shaidullina, Sandugach	2320	Oganian, Roman	2215	2004	1-0	ZM2uCDOx	https://lichess.org/ZM2uCDOx
A.Gro.Gbt.MLn	Nakamura, Hi	2749	Mamedyarov, S.	2817	2019	1/2-1/2	63pcIJI1	https://lichess.org/63pcIJI1
A.Gro.Gbt.MLn	Gareev, T.	2569	Duda, J.	2738	2018	0-1	ZTpWTxQl	https://lichess.org/ZTpWTxQl
A.Gro.Gbt.MLn	Vlassov, Nikolai	2471	Meessen, Rudolf	2334	2009	0-1	a2b3f6pT	https://lichess.org/a2b3f6pT
A.Gro.Gbt.MLn	Voith, Walter	2375	Beckemeier, Werner	2375	1995	0-1	o3pkegr2	https://lichess.org/o3pkegr2
A.Gro.Gbt.MLn.d4	Gareev, T.	2569	Duda, J.	2738	2018	0-1	ZTpWTxQl	https://lichess.org/ZTpWTxQl
A.Mod.Avk.MLn	Aronian, Levon	2802	Carlsen, Magnus	2861	2013	1/2-1/2	tQZnzpJU	https://lichess.org/tQZnzpJU
A.Mod.Avk.MLn	Ding, Liren	2791	Carlsen, Magnus	2863	2020	1/2-1/2	5HPzvCPk	https://lichess.org/5HPzvCPk
A.Mod.Avk.MLn	Carlsen, Magnus	2863	Ding, Liren	2791	2020	1/2-1/2	blKvPNqS	https://lichess.org/blKvPNqS
A.Mod.Avk.MLn	Ding, Liren	2791	Carlsen, Magnus	2863	2020	0-1	qTDbYPql	https://lichess.org/qTDbYPql
A.Mod.Avk.MLn.Be2	Carlsen, Magnus	2863	Ding, Liren	2791	2020	1/2-1/2	blKvPNqS	https://lichess.org/blKvPNqS
A.Mod.Avk.MLn.Be2	Ding, Liren	2791	Carlsen, Magnus	2863	2020	1/2-1/2	5HPzvCPk	https://lichess.org/5HPzvCPk
A.Mod.Avk.MLn.Be2	Carlsen, M.	2872	Grischuk, A.	2777	2019	1/2-1/2	5RZ0f9x5	https://lichess.org/5RZ0f9x5
A.Mod.Avk.MLn.Be2	Carlsen, M.	2864	Aronian, L.	2775	2022	1/2-1/2	FaTRgchT	https://lichess.org/FaTRgchT
A.PQI.Bf4.MLn	Aronian, L..	2781	Carlsen, M..	2847	2021	1-0	lIbVVUCI	https://lichess.org/lIbVVUCI
A.PQI.Bf4.MLn	Aronian, L..	2781	Carlsen, M..	2847	2021	1/2-1/2	ukXCk43b	https://lichess.org/ukXCk43b
A.PQI.Bf4.MLn	Nakamura, Hi	2786	Carlsen, M.	2832	2018	0-1	yRa2ogl3	https://lichess.org/yRa2ogl3
A.PQI.Bf4.MLn	Carlsen, M.	2844	Tomashevsky, E.	2728	2016	1-0	jRFCGpcc	https://lichess.org/jRFCGpcc
A.PQI.Fch.MLn	Mamedyarov, S.	2764	Rapport, R.	2747	2019	1-0	ik9YgB8J	https://lichess.org/ik9YgB8J
A.PQI.Fch.MLn	Mamedyarov, Shakhriyar	2733	Gashimov, Vugar	2757	2011	1/2-1/2	F3AXr6zV	https://lichess.org/F3AXr6zV
A.PQI.Fch.MLn	Mamedyarov, S.	2736	Kryvoruchko, Y.	2710	2015	0-1	W7GxpsRV	https://lichess.org/W7GxpsRV
A.PQI.Fch.MLn	Vachier Lagrave, M.	2723	Ponomariov, R.	2711	2015	1/2-1/2	sURT6cly	https://lichess.org/sURT6cly
A.EID.Fch.MLn	Aronian, L.	2799	Kasparov, G.	2812	2017	1/2-1/2	LEgxrWsm	https://lichess.org/LEgxrWsm
A.EID.Fch.MLn	Mamedyarov, S.	2800	Caruana, F.	2808	2017	1-0	HwZpBjzc	https://lichess.org/HwZpBjzc
A.EID.Fch.MLn	Ding Liren	2777	Mamedyarov, S.	2799	2017	1/2-1/2	tvdeGwPa	https://lichess.org/tvdeGwPa
A.EID.Fch.MLn	Kramnik, V.	2792	Grischuk, A.	2766	2018	1/2-1/2	22wC3oCc	https://lichess.org/22wC3oCc
A.EID.Col.MLn	Barlov, Dragan	2495	Smejkal, Jan	2550	1986	1/2-1/2	c6AJQU34	https://lichess.org/c6AJQU34
A.EID.Col.MLn	Meijers, Viesturs	2510	Prusikin, Michael	2535	2009	1-0	uTqcbiBO	https://lichess.org/uTqcbiBO
A.EID.Col.MLn	Armas, Julius	2415	Nijboer, Friso	2510	1995	0-1	GrxD21ZX	https://lichess.org/GrxD21ZX
A.EID.Col.MLn	Wang, Puchen	2383	Hebden, Mark	2530	2008	1/2-1/2	8893J61o	https://lichess.org/8893J61o
C.RyL.AntM.a4.Bb7	Caruana, F.	2808	Carlsen, M.	2832	2017	1/2-1/2	ZvPoG0LD	https://lichess.org/ZvPoG0LD
C.RyL.AntM.a4.Bb7	Nepomniachtchi, I.	2782	Carlsen, M.	2855	2021	1/2-1/2	0llhOj6n	https://lichess.org/0llhOj6n
C.RyL.AntM.a4.Bb7	Aronian, L.	2782	Carlsen, M.	2847	2021	0-1	8AZTl7NV	https://lichess.org/8AZTl7NV
C.RyL.AntM.a4.Bb7	Vachier Lagrave, M.	2763	Carlsen, M.	2855	2021	1/2-1/2	YbhCZlal	https://lichess.org/YbhCZlal
C.RyL.AntM.a4.Bb7.d3	Caruana, F.	2808	Carlsen, M.	2832	2017	1/2-1/2	ZvPoG0LD	https://lichess.org/ZvPoG0LD
C.RyL.AntM.a4.Bb7.d3	Nepomniachtchi, I.	2782	Carlsen, M.	2855	2021	1/2-1/2	0llhOj6n	https://lichess.org/0llhOj6n
C.RyL.AntM.a4.Bb7.d3	Aronian, L.	2782	Carlsen, M.	2847	2021	0-1	8AZTl7NV	https://lichess.org/8AZTl7NV
C.RyL.AntM.a4.Bb7.d3	Vachier Lagrave, M.	2763	Carlsen, M.	2855	2021	1/2-1/2	YbhCZlal	https://lichess.org/YbhCZlal
C.RyL.AntM.a4.Bb7.d3.d6	Nepomniachtchi, I.	2782	Carlsen, M.	2855	2021	1/2-1/2	0llhOj6n	https://lichess.org/0llhOj6n
C.RyL.AntM.a4.Bb7.d3.d6	Vachier Lagrave, M.	2763	Carlsen, M.	2855	2021	1/2-1/2	YbhCZlal	https://lichess.org/YbhCZlal
C.RyL.AntM.a4.Bb7.d3.d6	Vachier Lagrave, M.	2763	Carlsen, M.	2855	2021	1/2-1/2	RX5WVTjC	https://lichess.org/RX5WVTjC
C.RyL.AntM.a4.Bb7.d3.d6	Kasparov, Garry	2849	Leko, Peter	2745	2001	1-0	lN70ZLRx	https://lichess.org/lN70ZLRx
C.RyL.AntM.h3.Bb7	Kasparov, Garry	2847	Kramnik, Vladimir	2807	2003	1/2-1/2	B0EL1LtT	https://lichess.org/B0EL1LtT
C.RyL.AntM.h3.Bb7	Karjakin, Sergey	2772	Carlsen, M.	2853	2016	1/2-1/2	A3APPG1V	https://lichess.org/A3APPG1V
C.RyL.AntM.h3.Bb7	Karjakin, Sergey	2772	Carlsen, M.	2853	2016	1/2-1/2	lssTxQXl	https://lichess.org/lssTxQXl
C.RyL.AntM.h3.Bb7	Anand, Viswanathan	2817	Aronian, Levon	2807	2011	1-0	Zyx2O5Yb	https://lichess.org/Zyx2O5Yb
C.RyL.AntM.h3.Bb7.d3	Kasparov, Garry	2847	Kramnik, Vladimir	2807	2003	1/2-1/2	B0EL1LtT	https://lichess.org/B0EL1LtT
C.RyL.AntM.h3.Bb7.d3	Karjakin, Sergey	2772	Carlsen, M.	2853	2016	1/2-1/2	A3APPG1V	https://lichess.org/A3APPG1V
C.RyL.AntM.h3.Bb7.d3	Karjakin, Sergey	2772	Carlsen, M.	2853	2016	1/2-1/2	lssTxQXl	https://lichess.org/lssTxQXl
C.RyL.AntM.h3.Bb7.d3	Anand, Viswanathan	2817	Aronian, Levon	2807	2011	1-0	Zyx2O5Yb	https://lichess.org/Zyx2O5Yb
C.RyL.AntM.h3.Bb7.d3.d5	Karjakin, Sergey	2772	Carlsen, M.	2853	2016	1/2-1/2	A3APPG1V	https://lichess.org/A3APPG1V
C.RyL.AntM.h3.Bb7.d3.d5	Anand, V.	2770	Aronian, L.	2830	2014	1-0	ah0XVM0y	https://lichess.org/ah0XVM0y
C.RyL.AntM.h3.Bb7.d3.d5	Anand, V.	2782	Aronian, L.	2805	2017	1/2-1/2	ZhhrcLEP	https://lichess.org/ZhhrcLEP
C.RyL.AntM.h3.Bb7.d3.d5	Grischuk, Alexander	2777	Ding, Liren	2805	2020	1/2-1/2	QRaGpIq9	https://lichess.org/QRaGpIq9
C.RyL.AntM.d3.d6	Gukesh, D.	2752	Carlsen, M.	2839	2025	0-1	JsPtHlOQ	https://lichess.org/JsPtHlOQ
C.RyL.AntM.d3.d6	Caruana, Fabiano	2773	Aronian, Levon	2816	2012	1-0	NgKZGRc3	https://lichess.org/NgKZGRc3
C.RyL.AntM.d3.d6	Caruana, F.	2784	Aronian, L.	2794	2018	1-0	6rA9re76	https://lichess.org/6rA9re76
C.RyL.AntM.d3.d6	Adams, Mi	2745	Caruana, F.	2829	2014	1-0	f5n63q5L	https://lichess.org/f5n63q5L
C.RyL.AntM.d3.d6.c3	Carlsen, M.	2876	Aronian, L.	2780	2015	1-0	k3B38yPC	https://lichess.org/k3B38yPC
C.RyL.AntM.d3.d6.c3	Carlsen, M.	2837	Ding Liren	2774	2017	1-0	zZ9BVCHh	https://lichess.org/zZ9BVCHh
C.RyL.AntM.d3.d6.c3	Carlsen, M.	2837	Ding Liren	2774	2017	1/2-1/2	QDLyeTVU	https://lichess.org/QDLyeTVU
C.RyL.AntM.d3.d6.c3	Gukesh, D.	2752	Carlsen, M.	2839	2025	0-1	JsPtHlOQ	https://lichess.org/JsPtHlOQ
C.RyL.AntM.d3.d6.c3.Na5	Carlsen, M.	2876	Aronian, L.	2780	2015	1-0	k3B38yPC	https://lichess.org/k3B38yPC
C.RyL.AntM.d3.d6.c3.Na5	Carlsen, M.	2837	Ding Liren	2774	2017	1-0	zZ9BVCHh	https://lichess.org/zZ9BVCHh
C.RyL.AntM.d3.d6.c3.Na5	Carlsen, M.	2837	Ding Liren	2774	2017	1/2-1/2	QDLyeTVU	https://lichess.org/QDLyeTVU
C.RyL.AntM.d3.d6.c3.Na5	Carlsen, Magnus	2863	Svidler, Peter	2723	2020	1/2-1/2	Cw6pxvaa	https://lichess.org/Cw6pxvaa
C.RyL.Cls.Cen.exd4	Kamsky, Gata	2671	Lenderman, Alex	2431	2006	1-0	ftU9NJBI	https://lichess.org/ftU9NJBI
C.RyL.Cls.Cen.exd4	Nguyen Ngoc Truong Son	2636	Zhu, Jiner	2454	2019	1-0	6z31MbpG	https://lichess.org/6z31MbpG
C.RyL.Cls.Cen.exd4	Tabatabaei, M.	2590	Sindarov, Javokhir	2488	2018	1-0	88Z6kQx7	https://lichess.org/88Z6kQx7
C.RyL.Cls.Cen.exd4	Papp, Gabor	2545	Vajda, Levente	2505	2010	1-0	Oegy9KYL	https://lichess.org/Oegy9KYL
C.RyL.Cls.Cen.exd4.cxd4	Kamsky, Gata	2671	Lenderman, Alex	2431	2006	1-0	ftU9NJBI	https://lichess.org/ftU9NJBI
C.RyL.Cls.Cen.exd4.cxd4	Nguyen Ngoc Truong Son	2636	Zhu, Jiner	2454	2019	1-0	6z31MbpG	https://lichess.org/6z31MbpG
C.RyL.Cls.Cen.exd4.cxd4	Tabatabaei, M.	2590	Sindarov, Javokhir	2488	2018	1-0	88Z6kQx7	https://lichess.org/88Z6kQx7
C.RyL.Cls.Cen.exd4.cxd4	Papp, Gabor	2545	Vajda, Levente	2505	2010	1-0	Oegy9KYL	https://lichess.org/Oegy9KYL
C.RyL.Cls.Cen.exd4.cxd4.Bg4	Kamsky, Gata	2671	Lenderman, Alex	2431	2006	1-0	ftU9NJBI	https://lichess.org/ftU9NJBI
C.RyL.Cls.Cen.exd4.cxd4.Bg4	Nguyen Ngoc Truong Son	2636	Zhu, Jiner	2454	2019	1-0	6z31MbpG	https://lichess.org/6z31MbpG
C.RyL.Cls.Cen.exd4.cxd4.Bg4	Tabatabaei, M.	2590	Sindarov, Javokhir	2488	2018	1-0	88Z6kQx7	https://lichess.org/88Z6kQx7
C.RyL.Cls.Cen.exd4.cxd4.Bg4	Papp, Gabor	2545	Vajda, Levente	2505	2010	1-0	Oegy9KYL	https://lichess.org/Oegy9KYL
C.PhD.Han.MLn.O-O.O-O	Hammer, J.	2635	Movsesian, S.	2654	2019	0-1	oEhKCr3k	https://lichess.org/oEhKCr3k
C.PhD.Han.MLn.O-O.O-O	Bjerre, Jonas Buhl	2654	Livaic, Leon	2557	2024	0-1	tdw3ZD0T	https://lichess.org/tdw3ZD0T
C.PhD.Han.MLn.O-O.O-O	Fier, A.	2534	Gumularz, Szymon	2604	2025	1/2-1/2	50E1epIP	https://lichess.org/50E1epIP
C.PhD.Han.MLn.O-O.O-O	Dvoirys, Semen I	2534	Bocharov, Dmitry	2602	2007	1-0	3lotsA3F	https://lichess.org/3lotsA3F
C.PhD.Han.MLn.O-O.O-O.Re1	Fier, A.	2534	Gumularz, Szymon	2604	2025	1/2-1/2	50E1epIP	https://lichess.org/50E1epIP
C.PhD.Han.MLn.O-O.O-O.Re1	Belov, Vladimir	2560	Strikovic, Aleksa	2524	2004	1/2-1/2	nU0jjZNy	https://lichess.org/nU0jjZNy
C.PhD.Han.MLn.O-O.O-O.Re1	Rodin, Dmitrij	2442	Bocharov, Dmitry	2614	2007	1/2-1/2	YUE5ZTo4	https://lichess.org/YUE5ZTo4
C.PhD.Han.MLn.O-O.O-O.Re1	Ilincic, Zlatko	2445	Campora, Daniel Hugo	2540	1988	1-0	mvwa2U2r	https://lichess.org/mvwa2U2r
C.PhD.Exc.MLn.Be7	Dominguez Perez, Leinier	2758	Carlsen, Magnus	2863	2020	0-1	vmVobDAG	https://lichess.org/vmVobDAG
C.PhD.Exc.MLn.Be7	Karjakin, Sergey	2752	Carlsen, M..	2862	2020	1-0	Vac306Gi	https://lichess.org/Vac306Gi
C.PhD.Exc.MLn.Be7	Carlsen, Magnus	2837	Mamedyarov, Shakhriyar	2726	2012	0-1	OoJHBFl9	https://lichess.org/OoJHBFl9
C.PhD.Exc.MLn.Be7	Carlsen, Magnus	2863	Dubov, Daniil	2699	2020	0-1	GIqpuZ2S	https://lichess.org/GIqpuZ2S
C.PhD.Exc.MLn.Be7.O-O	Anand, Viswanathan	2792	Bacrot, Etienne	2695	2007	1/2-1/2	PrwyVnw1	https://lichess.org/PrwyVnw1
C.PhD.Exc.MLn.Be7.O-O	Ivanchuk, Vassily	2729	Aronian, Levon	2752	2006	1/2-1/2	c0hJeMkx	https://lichess.org/c0hJeMkx
C.PhD.Exc.MLn.Be7.O-O	Mamedyarov, Shakhriyar	2772	Mamedov, Rauf	2660	2011	1-0	p1lHx7rU	https://lichess.org/p1lHx7rU
C.PhD.Exc.MLn.Be7.O-O	Grischuk, Alexander	2705	Bacrot, Etienne	2712	2004	1-0	i8274mME	https://lichess.org/i8274mME
C.PhD.Lio.MLn.O-O	Karjakin, Sergey	2767	Carlsen, Magnus	2868	2013	1-0	UuW4hPgr	https://lichess.org/UuW4hPgr
C.PhD.Lio.MLn.O-O	Aronian, L.	2812	Caruana, F.	2782	2014	1/2-1/2	BfLcz7VI	https://lichess.org/BfLcz7VI
C.PhD.Lio.MLn.O-O	Gukesh, D.	2752	Carlsen, M.	2839	2025	0-1	5NLQ2XbL	https://lichess.org/5NLQ2XbL
C.PhD.Lio.MLn.O-O	Vachier Lagrave, M.	2735	Carlsen, M.	2831	2024	1/2-1/2	0aAr6g4a	https://lichess.org/0aAr6g4a
C.PhD.Lio.MLn.O-O.Re1	Aronian, L.	2812	Caruana, F.	2782	2014	1/2-1/2	BfLcz7VI	https://lichess.org/BfLcz7VI
C.PhD.Lio.MLn.O-O.Re1	Carlsen, Magnus	2786	Radjabov, Teimour	2751	2008	1-0	gVzaa8iv	https://lichess.org/gVzaa8iv
C.PhD.Lio.MLn.O-O.Re1	Kasparov, Garry	2830	Azmaiparashvili, Zurab	2702	2003	1-0	JviwbYOD	https://lichess.org/JviwbYOD
C.PhD.Lio.MLn.O-O.Re1	Anand, V.	2779	Jobava, Ba	2702	2016	1/2-1/2	ECCHT8Z9	https://lichess.org/ECCHT8Z9
C.Pon.Jae.MLn.e5.Ne4	Jones, G.	2677	Le Quang Liem	2715	2018	0-1	59fXBv4t	https://lichess.org/59fXBv4t
C.Pon.Jae.MLn.e5.Ne4	Nepomniachtchi, I.	2719	Sjugirov, S.	2665	2016	1-0	65QVigxO	https://lichess.org/65QVigxO
C.Pon.Jae.MLn.e5.Ne4	Al Modiahki, Mohamad	2490	Kharlov, Andrei	2639	2001	1/2-1/2	fr62IUZY	https://lichess.org/fr62IUZY
C.Pon.Jae.MLn.e5.Ne4	Gazik, Viktor	2542	Moroni, L..	2546	2021	1/2-1/2	pqbxd93a	https://lichess.org/pqbxd93a
C.Pon.Jae.MLn.e5.Ne4.cxd4	Nepomniachtchi, I.	2719	Sjugirov, S.	2665	2016	1-0	65QVigxO	https://lichess.org/65QVigxO
C.Pon.Jae.MLn.e5.Ne4.cxd4	Gazik, Viktor	2537	Jakubowski, K.	2518	2019	1-0	3KSBiFWI	https://lichess.org/3KSBiFWI
C.Pon.Jae.MLn.e5.Ne4.cxd4	Perez Ponsa, Federico	2363	Hebden, Mark	2515	2008	0-1	2oVYsqyg	https://lichess.org/2oVYsqyg
C.Pon.Jae.MLn.e5.Ne4.cxd4	Mihaljcisin, Mihajlo	2325	Nikolic, Predrag	2515	1981	0-1	wa6JX4Q9	https://lichess.org/wa6JX4Q9
C.Pon.Ste.MLn.f6.exd5	Starostits, Ilmars	2476	Krejci, Jan	2529	2013	0-1	aE2m8npy	https://lichess.org/aE2m8npy
C.Pon.Ste.MLn.f6.exd5	Bersamina, Paulo	2363	Diermair, A.	2447	2014	1/2-1/2	q4YHVH6s	https://lichess.org/q4YHVH6s
C.Pon.Ste.MLn.f6.exd5	Roos, Louis	2390	Boudre, Jean Pierre	2405	1992	1-0	8d8PhGpq	https://lichess.org/8d8PhGpq
C.Pon.Ste.MLn.f6.exd5	Appelt, Gerd	2500	Winiwarter, Felix	2235	2000	1/2-1/2	9kNkrs1Z	https://lichess.org/9kNkrs1Z
C.Pon.Ste.MLn.f6.exd5.Qxd5	Starostits, Ilmars	2476	Krejci, Jan	2529	2013	0-1	aE2m8npy	https://lichess.org/aE2m8npy
C.Pon.Ste.MLn.f6.exd5.Qxd5	Bersamina, Paulo	2363	Diermair, A.	2447	2014	1/2-1/2	q4YHVH6s	https://lichess.org/q4YHVH6s
C.Pon.Ste.MLn.f6.exd5.Qxd5	Roos, Louis	2390	Boudre, Jean Pierre	2405	1992	1-0	8d8PhGpq	https://lichess.org/8d8PhGpq
C.Pon.Ste.MLn.f6.exd5.Qxd5	Wibe, Terje Paul	2310	Zwaig, Arne	2425	1973	0-1	anwDkQ6W	https://lichess.org/anwDkQ6W
C.Cen.Pau.MLn	Nepomniachtchi, I.	2776	Ding Liren	2811	2019	1-0	TpOFFTap	https://lichess.org/TpOFFTap
C.Cen.Pau.MLn	Nepomniachtchi, I.	2751	Karjakin, Sergey	2783	2017	1-0	1TPd5p1S	https://lichess.org/1TPd5p1S
C.Cen.Pau.MLn	Nepomniachtchi, I.	2751	Karjakin, Sergey	2783	2017	1-0	TMBv17uT	https://lichess.org/TMBv17uT
C.Cen.Pau.MLn	Nepomniachtchi, I.	2732	Aronian, L.	2793	2017	1/2-1/2	7p6trou9	https://lichess.org/7p6trou9
C.Cen.Pau.MLn.Bb4	Nepomniachtchi, I.	2776	Ding Liren	2811	2019	1-0	TpOFFTap	https://lichess.org/TpOFFTap
C.Cen.Pau.MLn.Bb4	Nepomniachtchi, I.	2732	Carlsen, M.	2832	2017	0-1	iKw1mTFX	https://lichess.org/iKw1mTFX
C.Cen.Pau.MLn.Bb4	Nepomniachtchi, I.	2751	Karjakin, Sergey	2783	2017	1-0	1TPd5p1S	https://lichess.org/1TPd5p1S
C.Cen.Pau.MLn.Bb4	Nepomniachtchi, I.	2732	Aronian, L.	2793	2017	1/2-1/2	7p6trou9	https://lichess.org/7p6trou9
C.Cen.Pau.MLn.Bb4.Bd2	Nepomniachtchi, I.	2776	Ding Liren	2811	2019	1-0	TpOFFTap	https://lichess.org/TpOFFTap
C.Cen.Pau.MLn.Bb4.Bd2	Nepomniachtchi, I.	2732	Carlsen, M.	2832	2017	0-1	iKw1mTFX	https://lichess.org/iKw1mTFX
C.Cen.Pau.MLn.Bb4.Bd2	Nepomniachtchi, I.	2751	Karjakin, Sergey	2783	2017	1-0	1TPd5p1S	https://lichess.org/1TPd5p1S
C.Cen.Pau.MLn.Bb4.Bd2	Nepomniachtchi, I.	2751	Anand, V.	2783	2017	0-1	NoSayZPl	https://lichess.org/NoSayZPl
C.Ita.Pia.Wai.MLn	Kadric, D.	2558	Hakobyan, Aram	2550	2019	1/2-1/2	4wa5gCkL	https://lichess.org/4wa5gCkL
C.Ita.Pia.Wai.MLn	Vokhidov, Shamsiddin	2480	Gareev, T.	2569	2018	1-0	FXZdr6gr	https://lichess.org/FXZdr6gr
C.Ita.Pia.Wai.MLn	Sanikidze, T.	2553	Rzayev, B.	2466	2013	1/2-1/2	qDYYTbt8	https://lichess.org/qDYYTbt8
C.Ita.Pia.Wai.MLn	Barua, Dibyendu	2510	Chatterjee, KK.	2240	1994	1-0	y2ATACB8	https://lichess.org/y2ATACB8
C.Ita.Pia.Wai.MLn.Re1	Ding, Liren	2791	Carlsen, Magnus	2863	2020	0-1	MrNhaorh	https://lichess.org/MrNhaorh
C.Ita.Pia.Wai.MLn.Re1	Kramnik, V.	2808	Carlsen, M.	2832	2017	1-0	8I2YuiTC	https://lichess.org/8I2YuiTC
C.Ita.Pia.Wai.MLn.Re1	Aronian, L.	2767	Carlsen, M.	2842	2018	1/2-1/2	6mQ2NmhQ	https://lichess.org/6mQ2NmhQ
C.Ita.Pia.Wai.MLn.Re1	Giri, A.	2752	Carlsen, M.	2834	2018	1/2-1/2	zihpdZpB	https://lichess.org/zihpdZpB
C.Ita.Giu.Mol.MLn.d5	Saraci, Nderim	2424	Uruci, Endrit	2228	2021	1/2-1/2	3YMOEYpa	https://lichess.org/3YMOEYpa
C.Ita.Giu.Mol.MLn.d5	Dgebuadze, Alexandre	2400	Belaska, Premysl	2250	1993	1-0	bsj3BjVu	https://lichess.org/bsj3BjVu
C.Ita.Giu.Mol.MLn.d5	Pingitzer, H.	2314	Theissl Pokorna, Regina	2324	2017	1-0	0XRRtgJF	https://lichess.org/0XRRtgJF
C.Ita.Giu.Mol.MLn.d5	Bjornsson, Tomas	2300	Weeks, Manuel William	2250	1990	1-0	auidGiLE	https://lichess.org/auidGiLE
C.Ita.Giu.Mol.MLn.d5.exd5	Saraci, Nderim	2424	Uruci, Endrit	2228	2021	1/2-1/2	3YMOEYpa	https://lichess.org/3YMOEYpa
C.Ita.Giu.Mol.MLn.d5.exd5	Dgebuadze, Alexandre	2400	Belaska, Premysl	2250	1993	1-0	bsj3BjVu	https://lichess.org/bsj3BjVu
C.Ita.Giu.Mol.MLn.d5.exd5	Pingitzer, H.	2314	Theissl Pokorna, Regina	2324	2017	1-0	0XRRtgJF	https://lichess.org/0XRRtgJF
C.Ita.Giu.Mol.MLn.d5.exd5	Bjornsson, Tomas	2300	Weeks, Manuel William	2250	1990	1-0	auidGiLE	https://lichess.org/auidGiLE
C.Ita.Evn.Acc.Mor.d6.cxd4	Abdusattorov, Nodirbek	2627	Saduakassova, D..	2500	2021	1-0	i2zV2aYv	https://lichess.org/i2zV2aYv
C.Ita.Evn.Acc.Mor.d6.cxd4	Groszpeter, Attila	2539	Szabo, Krisztian	2507	2008	1-0	TsCAcBA3	https://lichess.org/TsCAcBA3
C.Ita.Evn.Acc.Mor.d6.cxd4	Bajarani, U.	2474	Dourtmes, Philip	2328	2017	1/2-1/2	x6U2r8w1	https://lichess.org/x6U2r8w1
C.Ita.Evn.Acc.Mor.d6.cxd4	Klima, Lukas	2439	Vorisek, Jaroslav	2261	2009	1/2-1/2	yqrLTxhJ	https://lichess.org/yqrLTxhJ
C.KGm.Acc.Kie.MLn	Fedorov, Alexei	2575	Ivanchuk, Vassily	2717	2001	0-1	35uCISOc	https://lichess.org/35uCISOc
C.KGm.Acc.Kie.MLn	Short, Nigel D	2680	Howell, David	2611	2010	1/2-1/2	EFBWd3Pb	https://lichess.org/EFBWd3Pb
C.KGm.Acc.Kie.MLn	Berg, E.	2553	Grandelius, N.	2623	2015	1-0	Qn9yHQoH	https://lichess.org/Qn9yHQoH
C.KGm.Acc.Kie.MLn	Shabalov, Alexander	2566	Smagin, Sergey	2583	1999	1-0	oFF0YjAo	https://lichess.org/oFF0YjAo
C.KGm.Acc.Kie.MLn.d4	Fedorov, Alexei	2575	Ivanchuk, Vassily	2717	2001	0-1	35uCISOc	https://lichess.org/35uCISOc
C.KGm.Acc.Kie.MLn.d4	Shabalov, Alexander	2566	Smagin, Sergey	2583	1999	1-0	oFF0YjAo	https://lichess.org/oFF0YjAo
C.KGm.Acc.Kie.MLn.d4	Spassky, Boris V	2551	Fressinet, Laurent	2575	2001	1/2-1/2	MtJXRkeo	https://lichess.org/MtJXRkeo
C.KGm.Acc.Kie.MLn.d4	Gallagher, Joseph G	2558	Marciano, David	2526	2000	1/2-1/2	QGssnYIP	https://lichess.org/QGssnYIP
C.KGm.Acc.Muz.MLn	Nakamura, Hikaru	2741	Andreikin, Dmitry	2683	2010	1-0	iNs71Tbl	https://lichess.org/iNs71Tbl
C.KGm.Acc.Muz.MLn	Arribas Lopez, A.	2559	Aguera Naredo, J.	2358	2015	0-1	QiWaRCSN	https://lichess.org/QiWaRCSN
C.KGm.Acc.Muz.MLn	Tsarenkov, Nikolay	2364	Novichkov, Vadim	2420	2002	1-0	BLloLqoV	https://lichess.org/BLloLqoV
C.KGm.Acc.Muz.MLn	Sokolov, Alexander	2382	Sahidi, Samir	2380	2019	0-1	qXZIVQsq	https://lichess.org/qXZIVQsq
C.KGm.Acc.Muz.MLn.Qxf3	Nakamura, Hikaru	2741	Andreikin, Dmitry	2683	2010	1-0	iNs71Tbl	https://lichess.org/iNs71Tbl
C.KGm.Acc.Muz.MLn.Qxf3	Arribas Lopez, A.	2559	Aguera Naredo, J.	2358	2015	0-1	QiWaRCSN	https://lichess.org/QiWaRCSN
C.KGm.Acc.Muz.MLn.Qxf3	Tsarenkov, Nikolay	2364	Novichkov, Vadim	2420	2002	1-0	BLloLqoV	https://lichess.org/BLloLqoV
C.KGm.Acc.Muz.MLn.Qxf3	Sokolov, Alexander	2382	Sahidi, Samir	2380	2019	0-1	qXZIVQsq	https://lichess.org/qXZIVQsq
C.KGm.Acc.Bsh.MLn	Nepomniachtchi, I..	2789	Aronian, L..	2781	2021	0-1	57TPeIUY	https://lichess.org/57TPeIUY
C.KGm.Acc.Bsh.MLn	Short, Nigel D	2698	Kasparov, Garry	2812	2011	1-0	x8zHWTWJ	https://lichess.org/x8zHWTWJ
C.KGm.Acc.Bsh.MLn	Ivanchuk, V.	2710	Ding Liren	2766	2016	1-0	NRs2P5Fh	https://lichess.org/NRs2P5Fh
C.KGm.Acc.Bsh.MLn	Ivanchuk, V.	2731	Giri, A.	2734	2013	1-0	JZKDfWXo	https://lichess.org/JZKDfWXo
C.KGm.Dec.Fal.MLn.d3.Nf6	Short, Nigel D	2655	Karjakin, Sergey	2727	2008	1-0	AYcNYKvb	https://lichess.org/AYcNYKvb
C.KGm.Dec.Fal.MLn.d3.Nf6	Bronstein, David I	2540	Vaisman, Volodia	2485	1976	1-0	09nzLJkl	https://lichess.org/09nzLJkl
C.KGm.Dec.Fal.MLn.d3.Nf6	Fiorito, Fabian	2455	Zarnicki, Pablo	2515	1998	1/2-1/2	huppzpCc	https://lichess.org/huppzpCc
