lichess_id	event	site	date	round
GBfK9ShQ	Golden Sands Europe op 2nd	Golden Sands	2013.06.17	8
cMrH4v6R	Budapest Spring op 09th	Budapest	1993.??.??	9
XI7ZlsNt	RUS-Cup6	Krasnodar	1997.03.18	8
aOzZQHyE	WSTT/3/23/S  1	ICCF	2025.02.25	?
gwrnMqfy	Sao Paulo	Sao Paulo	1978.??.??	2
aM1UXzal	WSTT/3/23/S  1	ICCF	2025.02.25	?
Hos5IyJB	World op 23rd	Philadelphia	1995.??.??	7
tGwJHigu	Chess.com RCC Wk18 Swiss	chess.com INT	2022.06.11	7
Q1we4Kkb	Zhukov Memorial	Spasskoe	1996.??.??	13
PvsFYRV1	CZE-chT 9798	Czechia	1997.12.14	4
jPbNJGVY	Peer Gynt	Gausdal	1992.??.??	2
xLBrEOJb	Djakovo op	Djakovo	1994.??.??	7
Z9e1RtK1	Nova Gorica op 06th	Nova Gorica	2001.01.29	5
0iPNEV85	Airthings Masters Prelim	chess24.com INT	2022.02.20	7.1
C51cYTwv	ch-CZE Blitz 2018	Prague CZE	2018.12.22	14.1
JfayHVhk	PRO League Group Stage	chess.com INT	2018.01.31	3
2wFGgnMJ	TCh-ESP Div Honor 2017	Linares ESP	2017.08.17	4.4
9jcw48U5	Kiev Independence Cup-A 4th	Kiev	2004.08.21	11
3RMwZX0E	34th ECC Open 2018	Porto Carras GRE	2018.10.15	4.13
MAUpeTau	Prague Vysehrad-A	Prague	1990.??.??	6
e6Z4cMvH	VIII ShakkiNet GM 2024	Helsinki FIN	2024.06.11	2.8
6OXU9dyw	Clutch Chess: Champions	Saint Louis USA	2025.10.28	8.1
NGu6YuBe	ch-USA 2025	Saint Louis USA	2025.10.19	7.5
2xl6xnXw	GCT Blitz YourNextMove	Leuven BEL	2017.07.01	6.5
ZMXmZ10i	Meltwater Tour Final 2021	chess24.com INT	2021.09.26	2.4
vUhb47en	31st Keres Mem Rapid	Tallinn EST	2022.09.11	8.9
0abm1zgE	Hamburg-ch int	Hamburg	2000.06.18	9
MUXpg1BL	2nd Sinquefield Cup 2014	Saint Louis USA	2014.09.03	7.2
BwJc2PSE	WCh 2016	New York USA	2016.11.20	7
13Hi9NPC	RUS-ch 57th	Moscow	2004.11.24	8
qT2kcFDs	Zug FIDE GP	Zug	2013.04.29	10
iQHIYkiO	Grand Slam Final 4th	Sao Paulo/Bilbao	2011.10.11	10
juVYjxoP	Carlsen Inv Final 4	chess24.com INT	2020.05.02	1.4
M7KiOdUO	FIDE Candidates	London	2013.03.31	13
qvJ9yEZf	chess.com QF Blitz 1m+1spm 2016	chess.com INT	2016.04.06	21
ZUlZx9YU	Vugar Gashimov Mem 2014	Shamkir AZE	2014.04.28	8.3
caPwMmG8	FIDE World Rapid 2014	Dubai UAE	2014.06.17	7.4
dt6sdaGG	2nd Sinquefield Cup 2014	Saint Louis USA	2014.08.31	5.1
CGu7oQBH	FIDE Candidates 2014	Khanty-Mansiysk RUS	2014.03.13	1.4
ouZkDKyr	SportAccord Basque 2014	Beijing CHN	2014.12.17	4.9
Eqv7dbkf	Moscow Tal Memorial 8th Blitz	Moscow	2013.06.12	6
hf5jSl8t	Tata Steel India Blitz	Kolkata IND	2019.11.25	3.3
urxdzICI	Skilling Open Prelim	chess24.com INT	2020.11.23	7.6
F1R11WbM	Kosmos m 5'	Moscow	1998.11.28	15
COPOpYvk	83rd Tata Steel Masters	Wijk aan Zee NED	2021.01.30	12.1
snbA06M1	FINJUB50/SF/06 (FIN)	ICCF	2014.02.25	?
QffoUFPt	WC.2004.F.00002	IECG	2005.05.16	?
dY4FYQvK	Swiss/KO3/4	ICCF	2025.02.01	?
qsP6dRoZ	Poysdorf op	Poysdorf	1994.??.??	1
9Zv7coLY	Canada op	Sackville	2001.07.15	10
6V5THxNG	Linares zt	Linares	1995.??.??	3
N5VjYF7y	Reykjavik-B blindfold	Reykjavik	1997.??.??	3
4Kv6WVwW	RUS-chT (club)	Novokuznetsk	1999.??.??	?
C7Brfrym	YUG Cup1	Yugoslavia	2002.05.14	2
kHik6aBG	WC30/sf03	ICCF	2006.06.20	?
XaB5MGcg	Verbandsliga Sued Baden 9596	Germany	1996.01.14	5.1
wRIs9lR1	Grand Europe Albena 2014	Albena BUL	2014.06.03	3.28
mjUpnui1	Hlohovec op	Hlohovec	1996.??.??	6
a9S9gpOi	Berliner Sommer 12th	Berlin	1994.??.??	?
ONrJ14LL	NED-chT	Netherlands	2000.03.18	5
qbyDujkZ	Paris-ch	Paris	2006.07.12	6
G4u9bnEP	World Rapid 2022	Almaty KAZ	2022.12.28	12.48
BIHRmSbq	Munich SKA	Munich	1994.06.01	10
O8PGEswP	Moscow-A	Moscow	1987.??.??	?
6ZNpFYdD	Munich	Munich	1988.??.??	?
QGcOzB9T	Bundesliga 9697	Germany	1996.??.??	?.2
mGtMyft6	Julius Baer GenCup KO	chess24.com INT	2022.09.22	1.11
AiLLKnGQ	CRO-chT	Makarska Tucepi	1995.??.??	?
biaqD1yV	MT-Vinchev/2 (BUL)	ICCF	2015.02.28	?
ynauazdk	Neikirch (BUL)	ICCF	2024.12.25	?
x2j9tOIG	Neikirch (BUL)	ICCF	2024.12.25	?
1aXLYoKm	Moscow Piterenka rapid	Moscow	2012.12.29	3
59wVVx3F	chess.com Speed 2019	chess.com INT	2019.10.02	1.19
2zr1NY05	EuroTel Trophy	Prague	1998.09.06	1
Un45oK2Y	Chess.com RCC Wk19 Swiss	chess.com INT	2022.07.02	1
6lBaaXdj	5th Sinquefield Cup 2017	Saint Louis USA	2017.08.09	7.5
TRxdmEep	5th Sinquefield Cup 2017	Saint Louis USA	2017.08.03	2.2
VpFWx20I	Superbet ROM Classic 2025	Bucharest ROU	2025.05.07	1.5
nPaIrfxM	Grand Slam Final 4th	Sao Paulo/Bilbao	2011.10.06	6
uD0BBYCH	Wch Blitz 3rd	Moscow	2007.11.21	18
eJZPpb4B	Amber-blindfold 09th	Monte Carlo	2000.03.27	10
SeBSuRoi	World Blitz Women 2018	St Petersburg RUS	2018.12.29	9.2
JUuVHeBy	Interzonal TT/5	ICCF	2008.12.27	?.5
BYIw8824	EU-ch U20	Tallinn	1997.09.17	8
NMjxlyQn	Interzonal TT/5	ICCF	2008.12.27	?.5
kCCOTCu2	Saint Louis Rapid 2019	Saint Louis USA	2019.08.12	9.4
fqulDUK9	CCT Final Playoff 2023	Toronto CAN	2023.12.10	4.1
U8PCvk0N	GCT Blitz Paris 2018	Paris FRA	2018.06.23	3.3
VNcKcz2T	American Cup Champ	Saint Louis USA	2025.03.23	4.2
IkwjaCba	NC World Masters 2023	Dortmund GER	2023.06.26	1.1
7GyPW9Ip	Djerba Masters 2024	Djerba TUN	2024.02.19	2.1
lDrxPh5K	Istanbul ol (Men) 40th	Istanbul	2012.09.09	11.2
s3aOHEyt	PRO League Atlantic 2017	chess.com INT	2017.01.18	2
5di5X06c	EU-ch rapid	Warsaw	2012.12.16	10
p28UQO0t	chess.com Speed 5m+2spm 2017	chess.com INT	2017.11.18	2.7
W502i0Nz	chess.com Speed 5m+2spm 2017	chess.com INT	2017.11.18	2.10
6ujFs0dJ	chess.com Speed 5m+2spm 2017	chess.com INT	2017.11.18	2.8
GigY8gpa	WCh 2021	Dubai UAE	2021.12.03	6
ittkvGJQ	Charity Cup KO 2022	chess24.com INT	2022.03.26	3.31
ygCZIB5s	Lindores Abbey Stars	Cupar SCO	2019.05.26	5.2
FbZsUw1H	chess.com Speed 1m+1spm 2017	chess.com INT	2018.07.24	27
0bU1yxJL	45th Olympiad 2024	Budapest HUN	2024.09.20	9.4
vMBMI6YX	Superbet POL Rapid 2025	Warsaw POL	2025.04.28	7.2
MVQt5lVi	WchT 7th	Bursa	2010.01.07	3.1
NcirjMwk	Koge Niels Juel Cup	Koge	2013.04.27	10
LpoCM1j0	CRO-ch	Slavonski Brod	1995.??.??	?
jnKgaPD8	World Blitz 2015	Berlin GER	2015.10.14	15.52
fXwzDouG	Moscow Tal Memorial 7th Blitz	Moscow	2012.06.07	5
eeMKwqYm	Champions Showdown G5	Saint Louis USA	2017.11.12	5.1
Hm0s0hVh	Moscow Tal Memorial 2nd	Moscow	2007.11.16	6
J9HzwCQv	Hoogovens Blitz	Wijk aan Zee	1998.01.19	5
s6X1rr3s	Moscow Tal Memorial Blitz	Moscow	2008.08.29	5
tDacaZby	Botvinnik Memorial m 30'	Moscow	2001.12.08	5
qQCt1DT4	Leon Man+Comp	Leon	2002.06.22	3
fFVl0TuL	Saint Louis Rapid 2025	Saint Louis USA	2025.08.11	2.3
guefW0Fh	87th Tata Steel Masters	Wijk aan Zee NED	2025.01.19	2.2
BPsuKAzu	Charity Cup Prelim	chess24.com INT	2022.03.20	8.4
RBgughPN	Chess.com RCC Wk23 Swiss	chess.com INT	2022.07.30	1
LthUgArz	World Rapid Team 2023	Dusseldorf GER	2023.08.28	12.9
Zdnqy2qs	chess.com Speed 1m+1spm 2017	chess.com INT	2017.11.18	2.31
bRBgaSJc	20th European Teams	Reykjavik ISL	2015.11.17	5.2
MgkhzQ9H	London m 25'	London	1987.02.04	3
MDwXAF8g	chess.com Junior Speed	chess.com INT	2019.07.18	3.24
yOGSn45w	Julius Baer Gen Cup Pl/In	chess.com INT	2024.09.25	7
9973A2yA	Aimchess US Rapid KO 2021	chess24.com INT	2021.09.04	3.12
kMrxHva3	Goldmoney Asian Rapid KO	chess24.com INT	2021.07.02	2.31
zu7UOqaE	10th Danzhou GM 2019	Danzhou CHN	2019.07.05	5.4
Z8PzL1qq	Milan	Milan	1975.08.26	6
YL2hDDNh	Nijmegen m	Nijmegen	1993.??.??	3
IeFc26A4	Candidates qf3	Quebec	1989.??.??	3
WwLse51S	Rochade-20/TT	ICCF	2009.11.01	?.1
DeP7Nvrt	World Championship 31th-KK1	Moscow	1984.10.05	9
nqM8uB1g	World Championship 31th-KK1	Moscow	1984.09.28	7
dObo3pCO	Sarajevo Bosnia 39th	Sarajevo	2009.05.14	6
XyOyGGhV	Norway Chess	Stavanger	2013.05.18	9
VDsnz4NS	Skilling Open Prelim	chess24.com INT	2020.11.24	11.5
XdGQhbbW	45th Olympiad 2024	Budapest HUN	2024.09.22	11.8
FaClGMxh	RUS-chT 16th	Dagomys	2009.04.09	6
CiBFq6zG	Barbera del Valles op 33th	Barbera del Valles	2010.07.12	9
wjm3tmgd	Biel Interzonal	Biel	1976.07.31	15
6JTq001o	Chennai GM 2024	Chennai IND	2024.11.09	5.4
5tU51VIF	EU-Cup 23rd	Kemer	2007.10.08	6.1
WTUwzeuo	Skilling Open Prelim	chess24.com INT	2020.11.22	1.4
9f5FwWKa	7th Prague Masters 2025	Prague CZE	2025.03.04	6.4
tdGqblxS	Julius Baer GenCup Prelim	chess24.com INT	2022.09.21	14.7
2dj0YD8l	World Cup	Brussels	1988.??.??	?
9h8nEGGr	Interpolis	Tilburg	1983.10.21	8
el3txfCg	Biel	Biel	1986.07.27	7
7j8B82Z3	Charity Cup KO 2022	chess24.com INT	2022.03.25	3.12
Xh5UjIfb	84th Tata Steel Masters	Wijk aan Zee NED	2022.01.15	1.1
nskEaxJT	FIDE World Cup 2017	Tbilisi GEO	2017.09.10	3.2
