lichess_id	event	site	date	round
51EhMpIT	Clutch-ch June	Lichess.org INT	2020.06.13	3.1
hhaSI6SI	Clutch-ch June	Lichess.org INT	2020.06.14	3.12
1OdQ8CAQ	FIDE Chess.com Grand Swiss	Douglas ENG	2019.10.19	9.2
4DFmQ2ev	Saint Louis Blitz 2019	Saint Louis USA	2019.08.14	13.1
X5SOdQhT	FIDE Candidates	London	2013.03.16	2
JNf4bkVj	Norway Chess	Stavanger	2013.05.08	1
izDMPoOm	11th London Classic 2019	London ENG	2019.12.04	1.8
WZR4g5So	Cote d'Ivoire Blitz 2019	Abidjan CIV	2019.05.12	11.1
fV925IT4	7th Norway Blitz 2019	Stavanger NOR	2019.06.03	2.1
wj8ECbQq	Sinquefield Cup	Saint Louis	2013.09.10	2
YSvU3Ibw	Vugar Gashimov Mem 2015	Shamkir AZE	2015.04.19	3.3
Me9HfuFx	3rd GRENKE Chess Classic	Baden Baden GER	2015.02.06	4.3
yiksI5er	3rd Norway Blitz 2015	Stavanger NOR	2015.06.15	8.5
Q4BQZWmP	Carlsen Inv Prelim	chess24.com INT	2020.04.29	6.3
T0CbWmZi	Legends of Chess Prelim	chess24.com INT	2020.07.22	2.2
yERFDEca	Aimchess US Rapid Prelim	chess24.com INT	2021.08.28	2.2
VAlYv84F	Tata Steel-A 74th	Wijk aan Zee	2012.01.15	2
AbJWxyOy	5th Norway Blitz 2017	Stavanger NOR	2017.06.05	9.1
XLmqeLoN	FTX Crypto Cup Prelim	chess24.com INT	2021.05.24	9.6
1mqK1xG4	Tata Steel-A 74th	Wijk aan Zee	2012.01.29	13
D5JwRO6a	Goldmoney Asian Prelim	chess24.com INT	2021.06.27	10.8
6kaQE7rN	FIDE World Blitz 2014	Dubai UAE	2014.06.20	17.9
gdwDRRR1	Brussels	Brussels	1987.04.14	4
iAyxfTmX	World Cup	Khanty-Mansiysk	2007.11.29	2.4
s6g3GWvX	World Blitz 2019	Moscow RUS	2019.12.30	15.28
ZiXqZje1	Zurich CC Rapid 2014	Zurich SUI	2014.02.04	1.1
XUhnAEMo	Tata Steel India Blitz	Kolkata IND	2019.11.26	18.3
71zMf0s6	7th Norway Blitz 2019	Stavanger NOR	2019.06.03	3.1
n6Yl7poc	FIDE World Blitz 2014	Dubai UAE	2014.06.20	18.2
9y57EzAQ	Corus	Wijk aan Zee	2008.01.13	2
fBScZEep	Leon 22nd	Leon	2009.06.07	2.7
pCzmxaM6	FIDE-Wch	Elista	1996.07.04	15
gzL9Y2yy	Opera Euro Rapid Prelim	chess24.com INT	2021.02.08	15.1
kR4mY2Xe	Biel GM 45th	Biel	2012.07.31	8
N9sx7pSk	Corus	Wijk aan Zee	2003.01.23	10
OAqIpO80	Amber-rapid 20th	Monte Carlo	2011.03.24	11
4DV5U1ZD	Zurich CC Rapid 2014	Zurich SUI	2014.02.04	1.2
r9fUj0WO	11th London Classic 2019	London ENG	2019.12.04	1.5
yDEt8ZmG	Tata Steel India Blitz	Kolkata IND	2019.11.26	17.2
FBxafSXx	Beijing Sportaccord blitz	Beijing	2012.12.17	15
hbMtoz7m	Tal Memorial 8th	Moscow	2013.06.13	1
LS1xb3rL	chess.com Speed 3m+2spm 2017	chess.com INT	2017.11.18	2.22
COlw0MQ9	WCh 2016	New York USA	2016.11.11	1
CSa0jBmY	CCT Final Playoff 2023	Toronto CAN	2023.12.10	4.2
cJsGI6A4	85th Tata Steel Masters	Wijk aan Zee NED	2023.01.16	3.1
oPelXIS9	Cote d'Ivoire Blitz 2019	Abidjan CIV	2019.05.12	12.3
rFDUsr9Y	Carlsen Tour Final	chess24.com INT	2020.08.09	1.16
W9375DmX	Carlsen Tour Final	chess24.com INT	2020.08.12	1.45
jownEPXs	chess.com Speed 1m+1spm 2017	chess.com INT	2017.11.18	2.34
ZPEjdsGK	GCT Rapid YourNextMove	Leuven BEL	2017.06.29	5.2
xoxeikcy	3rd Norway Blitz 2015	Stavanger NOR	2015.06.15	2.3
UJkORpA4	chess.com Speed 3m+1spm 2018	chess.com INT	2018.09.07	1.18
yvQYwASv	chess.com Speed 1m+1spm 2017	chess.com INT	2017.11.18	2.35
IOi3k1eB	Goldmoney Asian Rapid KO	chess24.com INT	2021.07.04	3.22
ACD30sjE	chess.com Blitz Final 3m+2spm 2016	chess.com INT	2016.10.27	13
N12LQaxu	Chessable Masters Winners	chess.com INT	2025.02.21	5.4
IpY1ThET	Zurich CC Rapid 2014	Zurich SUI	2014.02.04	2.3
nBtNHsCU	3rd Norway Blitz 2015	Stavanger NOR	2015.06.15	7.4
eVTBhl4K	Chessable Masters KO 2022	chess24.com INT	2022.05.24	2.11
CchXqKRa	Chessable Masters KO 2022	chess24.com INT	2022.05.24	2.13
XGd9eXYP	chess.com Speed 1m+1spm 2017	chess.com INT	2018.08.07	24
J7chx8ZZ	chess.com Speed 1m+1spm 2017	chess.com INT	2018.08.02	28
26uyPfd1	PRO League Group Stage	chess.com INT	2018.02.03	4
15DI8EFq	5th Classic GpA 2013	London ENG	2013.12.13	6.2
uWF0g6DM	FTX Crypto Cup Prelim	chess24.com INT	2021.05.24	6.3
lVMpaBqQ	FTX Crypto Cup KO 2021	chess24.com INT	2021.05.31	3.31
0CyFG6o3	FTX Crypto Cup KO 2021	chess24.com INT	2021.05.27	1.23
KD0RyRu4	chess.com Speed 3m+1spm 2018	chess.com INT	2018.09.07	1.10
boLujJkB	Saint Louis Rapid 2019	Saint Louis USA	2019.08.11	4.1
zruFgG89	Clutch-ch June	Lichess.org INT	2020.06.14	3.11
bbp4jgEb	Chessable Masters Final	chess24.com INT	2020.06.25	1.13
bMJKX8YH	Clutch-ch June	Lichess.org INT	2020.06.14	3.9
jMVMo1Ua	3rd Norway Chess 2015	Stavanger NOR	2015.06.21	5.2
vDq0pmw3	Carlsen Tour Final	chess24.com INT	2020.08.09	1.11
6ra0xjZ4	Carlsen Tour Final	chess24.com INT	2020.08.11	1.33
BTVJpaP6	Carlsen Tour Final	chess24.com INT	2020.08.11	1.32
4d2hVLKj	Cote d'Ivoire Blitz 2019	Abidjan CIV	2019.05.11	2.1
mkArCT5Z	Cote d'Ivoire Rapid 2019	Abidjan CIV	2019.05.09	5.1
x43vjTbT	Norway Chess	Stavanger	2013.05.13	5
vkPr1VTO	Linares 18th	Linares	2001.02.25	3
izdLhcDH	Corus	Wijk aan Zee	2001.01.17	4
uNJuQn1m	Saint Louis Blitz 2017	Saint Louis USA	2017.08.17	2.2
4i7ggz2L	Legends of Chess Final	chess24.com INT	2020.08.04	2.22
vhck1T54	Legends of Chess Final	chess24.com INT	2020.08.03	2.15
5H6i4xRr	Tata Steel India Rapid	Kolkata IND	2019.11.22	1.2
fn2C5ODv	5th Norway Chess 2017	Stavanger NOR	2017.06.08	3.1
EEiUY1fX	Biel GM 45th	Biel	2012.07.25	3
6hTro47G	Amber-blindfold 10th	Monte Carlo	2001.03.17	1
D4PQqufl	Candidates qf1	Alma-Ata	1980.??.??	4
gAJFG46p	Candidates qf1	Alma-Ata	1980.??.??	2
oAE56yGP	FIDE Candidates 2020	Yekaterinburg RUS	2021.04.19	8.1
h15D2RxK	83rd Tata Steel Masters	Wijk aan Zee NED	2021.01.23	7.4
rgjomTAG	7th Norway Chess 2019	Stavanger NOR	2019.06.05	2.4
DISwa3Yx	Linares 18th	Linares	2001.02.23	1
gnCbmvaX	WCh 2018	London ENG	2018.11.19	8
oI7SdvND	WCh Rapid TB 2018	London ENG	2018.11.28	2
9hRmnVXz	WCh 2018	London ENG	2018.11.22	10
oLo7q12t	WCh 2018	London ENG	2018.11.26	12
3T6laDU6	3rd Sinquefield Cup 2015	Saint Louis USA	2015.08.26	4.2
URQYx9hO	Airthings Masters Prelim	chess24.com INT	2020.12.28	11.3
XgWg4yVr	Saint Louis Blitz 2019	Saint Louis USA	2019.08.14	16.4
zgRU8wfS	Magnus Carlsen Inv Prelim	chess24.com INT	2021.03.14	8.3
LsYVhozU	Moscow Aeroflot op-A	Moscow	2005.02.21	7
4ZfDWkL5	FIDE-Wch k.o.	Tripoli	2004.06.29	5.7
0I7BwZld	Ugra Cup	Khanty-Mansiysk	2008.10.23	9
5I9RUtvA	EU-ch 7th	Kusadasi	2006.04.07	4
sMqdaIN7	Cote d'Ivoire Blitz 2019	Abidjan CIV	2019.05.12	13.1
3IjC40lK	ARM-ROW m	Moscow	2004.06.15	6
9kn1jmvK	Nanjing Pearl Spring 2nd	Nanjing	2009.10.05	7
2IEAzaFV	Corus	Wijk aan Zee	2000.01.28	11
bz1M1qWk	Clutch-ch June	Lichess.org INT	2020.06.08	1.11
CAg5Wck8	Linares 15th	Linares	1998.03.01	7
bPWuogVp	Dortmund SuperGM	Dortmund	2003.08.03	4
DNarGjM9	Linares 19th	Linares	2002.03.10	14
rZjU3wqD	FIDE World Rapid 2014	Dubai UAE	2014.06.17	6.2
RjbXhrby	Saint Louis Rapid	Lichess.org INT	2020.09.17	9
nJ6sMTpL	Arctic Stars Prelim	Kristiansund	2010.08.28	3
6EIDOa5F	Opera Euro Rapid Prelim	chess24.com INT	2021.02.06	5.4
JcW0nyTk	Corus	Wijk aan Zee	2010.01.22	6
cvKvhZx8	Mainz Classic rap fin	Mainz	2008.08.03	1
d2OPYH9G	Carlsen Inv Prelim	chess24.com INT	2020.04.18	1.4
PoBF3Mqd	Carlsen Inv Prelim	chess24.com INT	2020.04.18	1.5
2QofbaNZ	Lindores Abbey Prelim	chess24.com INT	2020.05.21	9
h2Fd3Q6f	SportAccord Basque Men 2013	Beijing CHN	2013.12.18	5.1
aB82kSWO	79th Tata Steel GpA	Wijk aan Zee NED	2017.01.24	9.1
EkBXM5ue	Amber-rapid 17th	Nice	2008.03.22	7
VovimiK8	Chess Classics Giants	Frankfurt	1998.06.18	4
ch76oTrr	Airthings Masters KO 2022	chess24.com INT	2022.02.26	3.23
mJWuXHlT	Tata Steel India Rapid	Kolkata IND	2024.11.14	6.2
MqbrEepC	Casablanca Chess 2024	Casablanca MAR	2024.05.18	3.1
N076H7lD	44th GM 2016	Dortmund GER	2016.07.15	5.4
Gf1tgtQw	WCh 2014	Sochi RUS	2014.11.15	6
U70yDvah	Zurich CC Blitz 2014	Zurich SUI	2014.01.29	1.1
RCZ8X8hV	Botvinnik Memorial m	Moscow	2001.12.02	2
wrkLQvCE	GCT Blitz Paris 2016	Paris FRA	2016.06.12	15.3
qA1UriE0	Casablanca Chess 2024	Casablanca MAR	2024.05.19	6.2
3mXymgBl	GRENKE Chess Classic 2018	Karlsruhe/Baden Baden GER	2018.04.09	9.4
KlTovZ6S	Meltwater Tour Final 2021	chess24.com INT	2021.09.27	3.5
Vv32s0zJ	NIC Classic KO 2021	chess24.com INT	2021.04.28	1.24
dWxgnyeJ	Clutch-ch June	Lichess.org INT	2020.06.13	3.4
kMy4yNaa	Clutch-ch June	Lichess.org INT	2020.06.13	3.6
CA4oVUCt	3rd Sinquefield Cup 2015	Saint Louis USA	2015.08.23	1.1
Duq7YtG9	Legends of Chess Prelim	chess24.com INT	2020.07.26	6.4
vWr95Ltv	11th London Classic 2019	London ENG	2019.12.04	1.10
aQzCUaqm	Skilling Open KO 2020	chess24.com INT	2020.11.28	2.22
4boqPNUD	Global Chess League 2023	Dubai UAE	2023.06.26	6.1
kjeXLQ1j	Skilling Open KO 2020	chess24.com INT	2020.11.26	1.24
pEOSwU5b	World Rapid 2025	Doha QAT	2025.12.28	13.1
bQDZlxgx	CCT Final Survival Loser	Toronto CAN	2023.12.12	1.2
MZtoGHrW	Chess.com Rapid Wk5 Swiss	chess.com INT	2022.03.12	8
T9j0z3kT	Paris Immopar rapid	Paris	1992.??.??	1
UMxwAw7D	Gaprindashvili Cup 2016	Tbilisi GEO	2016.04.27	6.5
jl99WINz	GCT Blitz Paris 2019	Paris FRA	2019.07.31	5.2
YVtNDDGm	World Rapid 2021	Warsaw POL	2021.12.27	7.1
b2Xfc6Wq	Carlsen Tour Final	chess24.com INT	2020.08.09	1.13
dlIJafzl	Carlsen Tour Final	chess24.com INT	2020.08.09	1.15
BniKX8rH	chess.com Speed 1m+1spm 2017	chess.com INT	2017.11.18	2.30
5X5KF2fY	chess.com Speed 5m+2spm 2017	chess.com INT	2017.11.18	2.2
tPeuj1h3	GCT Rapid YourNextMove	Leuven BEL	2016.06.18	7.4
tEDRPql9	Skilling Open KO 2020	chess24.com INT	2020.11.30	3.23
4vjGgx3t	World Championship	Chennai	2013.11.10	2
l0GOEDHp	Clutch-ch June	Lichess.org INT	2020.06.12	2.10
5KVwagdf	Linares 20th	Linares	2003.03.01	7
1NEyYCyB	FTX Crypto Cup Prelim	chess24.com INT	2021.05.25	14.6
9Sdad7YX	Aimchess Rapid Prelim	chess24.com INT	2022.10.17	14.1
yZrlyaVp	SuperUnited Rapid 2023	Zagreb CRO	2023.07.05	3.5
AY124uKf	Amber-rapid 18th	Nice	2009.03.20	6
J7ib4KLs	Chessable Masters Final	chess24.com INT	2020.06.26	1.16
Eo3VhELp	FTX Crypto Cup 2022	Miami USA	2022.08.20	6.1
oS9Z4tQd	GCT Rapid YourNextMove	Leuven BEL	2017.06.29	4.2
35nNrI3L	chess.com Speed 1m+1spm 2017	chess.com INT	2018.01.03	4.23
0w0CWOAG	Oslo Esports Cup 2022	Oslo NOR	2022.04.22	1.3
5C7mGGJp	7th Norway Blitz 2019	Stavanger NOR	2019.06.03	7.1
hVPOX7F4	chess.com Speed 3m+2spm 2017	chess.com INT	2017.11.18	2.15
sefXWDFd	PRO League KO Stage 2017	chess.com INT	2017.03.25	4.8
yxUYCNPt	Saint Louis Blitz 2019	Saint Louis USA	2019.08.13	9.2
WMxFBmkB	11th London Classic 2019	London ENG	2019.12.08	2.7
9HqyqJiz	Grand Slam Final 5th	Sao Paulo/Bilbao	2012.10.11	8
XEMESrCm	Carlsen Inv Prelim	chess24.com INT	2020.04.19	1.1
7nbTX8Jv	2nd Norway Blitz 2014	Flor & Fjaere NOR	2014.06.02	6.2
orraV4Zh	Moscow Tal Memorial 7th Blitz	Moscow	2012.06.07	4
J13Xismj	GCT Blitz Paris 2017	Paris FRA	2017.06.24	3.5
usADdvRU	5th Norway Blitz 2017	Stavanger NOR	2017.06.05	8.3
e09n1mAb	FTX Crypto Cup 2022	Miami USA	2022.08.15	1.3
kTVwc1ZD	FTX Crypto Cup KO 2021	chess24.com INT	2021.05.26	1.12
kN6CGYP0	FTX Crypto Cup KO 2021	chess24.com INT	2021.05.27	1.32
PmEbQLwH	FTX Crypto Cup KO 2021	chess24.com INT	2021.05.26	1.14
GjkiRzzC	Saint Louis Blitz 2019	Saint Louis USA	2019.08.13	2.1
Cf1e6zzg	Saint Louis Blitz 2017	Saint Louis USA	2017.08.17	3.3
LcHBiBca	11th Norway Chess 2023	Stavanger NOR	2023.05.30	1.1
uWjzaZ6O	Wch Rapid	Astana	2012.07.06	2
ZCJF7nUs	Goldmoney Asian Rapid KO	chess24.com INT	2021.07.02	2.24
ENgsTpMF	SpeedChess Final 2024	Paris FRA	2024.09.08	2.31
7b8a4CjY	Superbet POL Rapid 2024	Warsaw POL	2024.05.08	1.5
m5HcNahZ	chess.com Speed 1m+1spm 2017	chess.com INT	2018.07.24	18
CbXQqjRn	Lindores Abbey Stars	Cupar SCO	2019.05.26	4.1
5CDw4tTR	Saint Louis Rapid 2019	Saint Louis USA	2019.08.11	6.4
czkdJ4Am	6th Norway Blitz 2018	Stavanger NOR	2018.05.27	6.4
O8omjb36	GCT Blitz Paris 2018	Paris FRA	2018.06.24	13.3
Fp7E1XuI	7th Norway Blitz 2019	Stavanger NOR	2019.06.03	8.1
YHMDum3F	chess.com Speed 1m+1spm 2017	chess.com INT	2017.11.18	2.25
bGO35uRV	7th Norway Blitz 2019	Stavanger NOR	2019.06.03	4.1
lDqJtaDt	FTX Crypto Cup 2022	Miami USA	2022.08.15	1.1
qGeCrW3o	3rd Norway Blitz 2015	Stavanger NOR	2015.06.15	3.4
Ehvx4Qco	41st Olympiad Open 2014	Tromso NOR	2014.08.08	6.3
b7D1Xesz	42nd Olympiad 2016	Baku AZE	2016.09.11	9.2
osU4h7ZT	World Blitz 2019	Moscow RUS	2019.12.30	15.1
J1tOgIW5	Carlsen Inv Prelim	chess24.com INT	2020.04.22	3.1
5dDr8w4P	chess.com Blitz Final 1m+1spm 2016	chess.com INT	2016.10.27	22
7Dbasb1N	Clutch-ch June	Lichess.org INT	2020.06.11	2.2
upErKiJh	Carlsen Tour Final	chess24.com INT	2020.08.18	2.55
5VhZIm1B	FTX Crypto Cup KO 2021	chess24.com INT	2021.05.29	2.24
vRNabPCI	Airthings Masters KO 2020	chess24.com INT	2020.12.30	1.32
aDlTfLDd	Meltwater Tour Final 2021	chess24.com INT	2021.09.27	3.5
Cqc5SyrP	chess.com Speed 2019	chess.com INT	2019.12.05	3.22
Sxov6E94	Saint Louis Blitz 2019	Saint Louis USA	2019.08.14	14.5
jYSkjcuG	Saint Louis Blitz 2019	Saint Louis USA	2019.08.13	5.1
91pLjvXB	Carlsen Inv Prelim	chess24.com INT	2020.04.22	3.3
RoHsVV05	Clutch-ch June	Lichess.org INT	2020.06.13	3.2
LSVO85Cp	3rd Norway Chess 2015	Stavanger NOR	2015.06.17	2.4
Kc2CTGlC	3rd GRENKE Chess Classic	Baden Baden GER	2015.02.08	6.3
BYevzpdi	3rd Sinquefield Cup 2015	Saint Louis USA	2015.09.01	9.2
CtG3Ko4C	Vugar Gashimov Mem 2014	Shamkir AZE	2014.04.23	4.2
PEiLTONx	Tata Steel India Rapid	Kolkata IND	2019.11.24	9.4
Qloag7DW	Vugar Gashimov Mem 2015	Shamkir AZE	2015.04.17	1.3
VIytwd64	GCT Rapid TB Paris 2017	Paris FRA	2017.06.25	2
iNHMHPQt	Vugar Gashimov Mem 2018	Shamkir AZE	2018.04.25	6.3
Fue6cZsZ	Sinquefield Cup	Saint Louis	2013.09.15	6
B0EL1LtT	Linares 20th	Linares	2003.03.02	8
RSXB88Pz	Norway Chess	Stavanger	2013.05.13	5
ItvPp7aI	Grand Slam Final 3rd	Bilbao	2010.10.15	6
BKEBQcHY	Nanjing Pearl Spring 3rd	Nanjing	2010.10.21	2
n1M9TAdH	London Classic 2nd	London	2010.12.10	3
sfQ6e6c7	Opera Euro Rapid KO 2021	chess24.com INT	2021.02.11	2.12
enZ12hVj	Vugar Gashimov Mem 2014	Shamkir AZE	2014.04.29	9.2
M0SYEbdM	Mainz Classic rap Prelim	Mainz	2008.08.02	6
aNu7HTso	8th Grand Slam Masters	Bilbao ESP	2015.10.31	5.1
8RjEsDdx	4th Sinquefield Cup 2016	Saint Louis USA	2016.08.08	4.5
oOAcwi26	Qatar Masters Open 2015	Doha QAT	2015.12.26	6.1
ycyVNNe6	Amber-blindfold 20th	Monte Carlo	2011.03.18	6
aPuS18QP	RUS-The World	Moscow	2002.09.11	9
F1O04Umm	Sofia MTel Masters 5th	Sofia	2009.05.22	9
WfNuXE4u	Sinquefield Cup	Saint Louis	2013.09.13	4
bHEacwVE	SpeedChess Final 2024	Paris FRA	2024.09.08	2.30
nOj6zqgz	chess.com Speed 5m+1spm 2018	chess.com INT	2018.12.02	4.7
AVtAS7RB	London FIDE GP 1st	London	2012.09.29	8
9fWPVa8k	Chessable Masters Final	chess24.com INT	2020.06.25	1.12
Gt25dwor	GCT Blitz Paris 2016	Paris FRA	2016.06.11	5.3
0qiAsGo2	GCT Blitz Paris 2016	Paris FRA	2016.06.12	11.5
SWQkWTRn	7th Sinquefield Cup 2019	Saint Louis USA	2019.08.27	10.4
WkbWJ9FY	GCT Blitz YourNextMove	Leuven BEL	2017.07.02	11.3
GmHrNCGa	GCT Blitz YourNextMove	Leuven BEL	2016.06.19	7.3
oycDquDF	WCh 2021	Dubai UAE	2021.12.10	11
UayafTnB	Clutch-ch June	Lichess.org INT	2020.06.11	2.5
oVs5EH8m	chess.com Speed 1m+1spm 2017	chess.com INT	2017.11.21	3.19
l2qKTr1O	chess.com Speed 1m+1spm 2017	chess.com INT	2017.11.21	3.23
LmrXVYKd	Casablanca Chess 2024	Casablanca MAR	2024.05.18	1.1
wrnAe2Wc	NIC Classic KO 2021	chess24.com INT	2021.04.29	2.31
6mQ2NmhQ	6th Sinquefield Cup 2018	Saint Louis USA	2018.08.20	3.1
T320IHuB	SpeedChess Final 2024	Paris FRA	2024.09.08	2.6
oPRsdMZb	4th GRENKE Chess Classic	Karlsruhe GER	2017.04.22	7.2
uldGpuyI	3rd Norway Blitz 2015	Stavanger NOR	2015.06.15	5.5
O7vkSean	Carlsen Inv Prelim	chess24.com INT	2020.04.30	7.4
1nSvjcEV	chess.com Speed 2019	chess.com INT	2019.11.18	2.31
6DthAjoX	Saint Louis Blitz 2017	Saint Louis USA	2017.08.17	1.5
99Jjiftn	EU-ch blitz	Warsaw	2011.12.16	9
7JPyKEXC	ROM-chT	Eforie Nord	2000.12.20	3
MxHHpDbg	Queens-Kings	Jinan	2002.07.24	1
a1zZkVRY	TCh-RUS Blitz 2018	Sochi RUS	2018.10.10	5.1
aGwGgxqM	Clutch-ch June	Lichess.org INT	2020.06.13	3.5
e7d46fUY	Clutch-ch June	Lichess.org INT	2020.06.14	3.10
kjCg2P9g	WCh 2018	London ENG	2018.11.24	11
8HJr7ebi	WCh 2018	London ENG	2018.11.16	6
p5pz4Js3	FIDE World Blitz 2014	Dubai UAE	2014.06.19	10.1
u6jBXenv	2nd Sinquefield Cup 2014	Saint Louis USA	2014.08.27	1.1
tMYtH8W6	5th Sinquefield Cup 2017	Saint Louis USA	2017.08.06	5.3
kTn1iL3J	Tata Steel-A 73rd	Wijk aan Zee	2011.01.15	1
j4EJbD40	9th London Classic 2017	London ENG	2017.12.08	6.3
3YAxTLTQ	Ultimate Blitz Challenge	Saint Louis USA	2016.04.28	3.1
jCdjuvmq	Wch Blitz 5th	Moscow	2010.11.16	8
coR471p1	Saint Louis Blitz 2019	Saint Louis USA	2019.08.14	12.4
oetwfx9X	Norway Chess	Stavanger	2013.05.10	3
fZVH1e5U	chess.com Blitz Final 1m+1spm 2016	chess.com INT	2016.10.27	25
JnQQrdOQ	chess.com Blitz Final 1m+1spm 2016	chess.com INT	2016.10.27	23
vmVobDAG	Saint Louis Rapid	Lichess.org INT	2020.09.16	5
Vac306Gi	Skilling Open Prelim	chess24.com INT	2020.11.23	10.5
OoJHBFl9	Wch Blitz	Astana	2012.07.10	18
GIqpuZ2S	Lindores Abbey Prelim	chess24.com INT	2020.05.21	10
71QYgHtn	EU-chT (Men) 10th	Debrecen	1992.11.??	1.2
q89OnKSL	Riga Interzonal	Riga	1979.??.??	15
CqtcEn6u	GER-ch 65th	Bad Wildbad	1993.??.??	3
5LR4a3w4	Metz op 06th	Metz	1988.??.??	?
RxhRsNmg	3rd Norway Chess 2015	Stavanger NOR	2015.06.22	6.1
rAY2ystg	GCT Rapid Paris 2016	Paris FRA	2016.06.10	9.2
ou3TQZzU	3rd Sinquefield Cup 2015	Saint Louis USA	2015.08.31	8.2
GRO6W4Up	Cote d'Ivoire Blitz 2019	Abidjan CIV	2019.05.11	3.2
G2rC8V4M	GCT Blitz Paris 2018	Paris FRA	2018.06.23	2.4
mbFAORpx	GCT Rapid YourNextMove	Leuven BEL	2016.06.17	2.2
ILdiFLsx	5th Hainan Danzhou 2014	Danzhou CHN	2014.06.26	2.5
2aEainlU	CGC KO 2022	chess.com INT	2022.09.23	2.3
HSVzjayd	World Blitz 2015	Berlin GER	2015.10.13	5.14
CV4JKRpO	World Cup	Khanty-Mansiysk	2007.11.24	1.1
M1gyq6VU	Bundesliga 1112	Germany	2011.11.20	5.2
c6dwyRDR	Dos Hermanas Internet f 7th	ICC INT	2006.03.25	3.2
qwpV2wk4	2nd Sinquefield Cup 2014	Saint Louis USA	2014.09.05	9.2
6YlcvH78	Nanjing Pearl Spring 3rd	Nanjing	2010.10.22	3
p1e9BdsY	Champions Showdown 60m	Saint Louis USA	2016.11.12	5.1
FCFgDv0K	Vugar Gashimov Mem 2014	Shamkir AZE	2014.04.20	1.1
6ToNbOnr	Chessable Masters Final	chess24.com INT	2020.07.04	3.24
KrEw3E6R	FIDE Candidates	London	2013.03.17	3
IxkY2IpJ	Carlsen Inv Final 4	chess24.com INT	2020.05.03	2.4
b6Ltr4hi	4th Norway Chess 2016	Stavanger NOR	2016.04.27	7.3
35l2nEZB	3rd GRENKE Chess Classic	Baden Baden GER	2015.02.02	1.3
YNb68tYJ	Magnus Carlsen Inv KO	chess24.com INT	2021.03.19	2.32
em58WdtD	Magnus Carlsen Inv KO	chess24.com INT	2021.03.19	2.22
MlmCSQYo	Linares 20th	Linares	2003.02.22	1
PVTasgpF	Botvinnik Memorial m 5'	Moscow	2001.12.09	3
BQ21cqaY	Botvinnik Memorial m	Moscow	2001.12.01	1
Ewk9ssJ6	Botvinnik Memorial m 5'	Moscow	2001.12.09	9
A2cM3wqU	41st Olympiad Open 2014	Tromso NOR	2014.08.06	5.3
IyXf8bOi	3rd Norway Chess 2015	Stavanger NOR	2015.06.16	1.2
csT4wq1I	Chessable Masters KO 2022	chess24.com INT	2022.05.24	2.14
kN6d9l2i	FIDE World Rapid 2014	Dubai UAE	2014.06.18	12.1
0H6H5Wpx	7th Sinquefield Cup TB	Saint Louis USA	2019.08.29	1
Um5Pxzih	Charity Cup KO 2022	chess24.com INT	2022.03.24	2.24
SAH980a5	Carlsen Tour Final	chess24.com INT	2020.08.12	1.41
va9vwOQB	Kosmos m 5'	Moscow	1998.11.28	13
72Yr5Ggz	Moscow Tal Memorial 4th	Moscow	2009.11.08	4
XNtK2YoR	Moscow Advanced rap m	Moscow	2007.11.23	1
IHRez3l8	Tata Steel-A 75th	Wijk aan Zee	2013.01.15	4
o9NGQ8O5	Legends of Chess Prelim	chess24.com INT	2020.07.26	6.2
Ow7wyZ2H	3rd Sinquefield Cup 2015	Saint Louis USA	2015.08.26	4.5
JsjRCJDP	Zuerich m	Zuerich	2012.04.21	1
LFnOHgBR	Zuerich m	Zuerich	2012.04.27	5
1jkK1e1E	Magnus Carlsen Inv Prelim	chess24.com INT	2021.03.14	10.4
BjlGJTNo	ICC Open Final 2016	ICC INT	2016.06.05	2.3
4EKiBQAx	World Teams 2013	Antalya TUR	2013.11.26	1.5
6AdyW0sp	Moscow Tal Memorial 7th	Moscow	2012.06.18	9
1R4fWTVm	Nakamura vs Aronian Blitz	Saint Louis USA	2014.11.25	7
fidio1sX	6th London Classic 2014	London ENG	2014.12.10	1.1
qeYPJL2y	6th Norway Chess 2018	Stavanger NOR	2018.06.03	6.1
VpWYyv3g	Magnus Carlsen Inv Prelim	chess24.com INT	2021.03.15	12.5
nlh6QPSg	Chessable Masters GpB	chess24.com INT	2020.06.23	8
uJ9AIo6J	Candidates Tournament	Ekaterinburg	2020.03.19	3
wDDEy97W	Clutch-ch June	Lichess.org INT	2020.06.12	2.7
tsWUg1l1	Corus	Wijk aan Zee	2000.01.20	5
mewHWXvN	2nd Sinquefield Cup 2014	Saint Louis USA	2014.08.27	1.2
70xqABbQ	83rd Tata Steel Masters	Wijk aan Zee NED	2021.01.27	10.1
bmkRfUAJ	Croatia GCT 2019	Zagreb CRO	2019.07.04	8.1
rOdJEc5O	Charity Cup KO 2022	chess24.com INT	2022.03.24	2.23
9ciha6L5	Legends of Chess Prelim	chess24.com INT	2020.07.28	8.3
Od8mrfTI	FTX Crypto Cup 2022	Miami USA	2022.08.20	6.4
abEUqedn	Lindores Abbey Final 8	chess24.com INT	2020.05.26	1.23
dYhrqOdu	84th Tata Steel Masters	Wijk aan Zee NED	2022.01.25	9.1
11qVtwTb	84th Tata Steel Masters	Wijk aan Zee NED	2022.01.21	6.1
OIqjIXYx	World Rapid 2025	Doha QAT	2025.12.27	6.3
